n_est,max_depth,lr,n_pairs,pi_hat,kup_rej,QS_x1e4,width,green,green_pct
100,3,0.01,13,0.010952007688476225,0,4.609911379689335,0.030651960257997688,13,100.0
100,3,0.05,13,0.015462362226848362,7,4.376650306888852,0.02698345901889521,11,84.61538461538461
100,5,0.01,13,0.01085728532080018,0,4.631568584945684,0.029670310786755097,13,100.0
100,5,0.05,13,0.013839044347096815,4,4.583951953944934,0.02760720424577823,9,69.23076923076923
500,3,0.01,13,0.01495974831521901,5,4.399557581004222,0.02713225294245679,8,61.53846153846154
500,3,0.05,13,0.015624135259283857,7,4.381746550808785,0.026936398356241086,11,84.61538461538461
500,5,0.01,13,0.015081743274711894,5,4.58534140173004,0.027111793245871565,9,69.23076923076923
500,5,0.05,13,0.013839044347096815,4,4.583951953944934,0.02760720424577823,9,69.23076923076923
