model,n_est,max_depth,lr,n_test,viol,pi_hat,kupiec_p,TL,QS,width,best_iter
Chronos-Small,100,3,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.00045877923875470105,0.030476151318280447,100
Chronos-Mini,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004636781502039494,0.03076817903954786,95
TimesFM-2.5,100,3,0.01,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00046437788827949497,0.030569077012316728,100
Moirai-2.0,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004631096261943604,0.030333131824482166,100
Moirai-1.1,100,3,0.01,1824,18,0.009868421052631578,0.9548626135239969,Green,0.00046095891828403006,0.030844744834132017,98
Lag-Llama,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004652335822119146,0.03055284238462559,100
GJR-GARCH,100,3,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.00044449428546882846,0.030641319976750483,100
GJR-GARCH-t,100,3,0.01,1902,21,0.011041009463722398,0.653592581200349,Green,0.0004458352011147524,0.030598044810180688,100
GARCH-N,100,3,0.01,1902,20,0.010515247108307046,0.8227871998864955,Green,0.000460967345959609,0.03098044135414717,100
Hist-Sim,100,3,0.01,1902,20,0.010515247108307046,0.8227871998864955,Green,0.00046902601069269856,0.031040397966693667,100
EWMA,100,3,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.000475443765950222,0.030511139221508315,100
Chronos-Small-A,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004602654412163094,0.030613525835304987,100
Chronos-Mini-A,100,3,0.01,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00046071533926526594,0.030546487775999852,100
Chronos-Small,100,3,0.05,1824,27,0.014802631578947368,0.05433300784199768,Green,0.00043317012086451553,0.02636240673005899,60
Chronos-Mini,100,3,0.05,1824,29,0.015899122807017545,0.019707544877046956,Green,0.0004397299812041945,0.02630915161701524,55
TimesFM-2.5,100,3,0.05,1824,26,0.01425438596491228,0.08607270366772923,Green,0.0004412509288195567,0.028059897930737022,36
Moirai-2.0,100,3,0.05,1824,24,0.013157894736842105,0.19607628987637782,Green,0.0004522555599299643,0.028531657798608907,29
Moirai-1.1,100,3,0.05,1824,29,0.015899122807017545,0.019707544877046956,Green,0.0004306919546472224,0.026645784270008768,62
Lag-Llama,100,3,0.05,1824,28,0.015350877192982455,0.033232742379692204,Green,0.00044083867268401974,0.027137588113047933,54
GJR-GARCH,100,3,0.05,1902,36,0.01892744479495268,0.0004957486068168926,Yellow,0.0004129080490856125,0.025198851024430327,100
GJR-GARCH-t,100,3,0.05,1902,35,0.01840168243953733,0.0009794634574257222,Yellow,0.0004286886165716384,0.025270083547861942,100
GARCH-N,100,3,0.05,1902,26,0.013669821240799159,0.12760586028236054,Green,0.00043703227203462753,0.02859302302123552,36
Hist-Sim,100,3,0.05,1902,28,0.014721345951629864,0.05316109913172806,Green,0.00045671892128085233,0.027617901681937406,48
EWMA,100,3,0.05,1902,30,0.015772870662460567,0.019607226817063506,Green,0.0004544191131938662,0.027350390639457534,46
Chronos-Small-A,100,3,0.05,1824,28,0.015350877192982455,0.033232742379692204,Green,0.0004352351065201255,0.026375538438900514,55
Chronos-Mini-A,100,3,0.05,1824,27,0.014802631578947368,0.05433300784199768,Green,0.0004267061021193119,0.027332692432337664,45
Chronos-Small,100,5,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.0004615630795836254,0.029514369569669383,100
Chronos-Mini,100,5,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.0004573267109868786,0.02950211608202403,100
TimesFM-2.5,100,5,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.00046994488103970075,0.029588883350352348,100
Moirai-2.0,100,5,0.01,1824,18,0.009868421052631578,0.9548626135239969,Green,0.0004691475285115205,0.029760560551288326,97
Moirai-1.1,100,5,0.01,1824,18,0.009868421052631578,0.9548626135239969,Green,0.00045954560102323623,0.029593986714934743,100
Lag-Llama,100,5,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.00047248790492807367,0.02973936901904104,100
GJR-GARCH,100,5,0.01,1902,21,0.011041009463722398,0.653592581200349,Green,0.00044310703251402146,0.029485713751085496,100
