n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width,model,symbol,alpha
4276,1833,0.001566463802174416,0.02182214948172395,0.01691216584833606,40,31,1.089879794613502e-05,0.0067947003920404425,0.2883797316388933,0.11036914805705378,Yellow,Green,0.00042538035571612,0.0004115102647302298,-0.02688170324833348,-0.02531523944615906,Moirai-1.1,ASX200,0.01
4276,1833,0.0023275177775359465,0.042007637752318604,0.03055100927441353,77,56,2.0749368122574552e-05,0.14104762025447104,0.8896703001643751,0.35581655773876497,Red,Yellow,0.0008030057252677334,0.000778314311100616,-0.020306193059239478,-0.01797867528170353,Moirai-1.1,ASX200,0.025
4276,1833,0.0018612660210611486,0.07310420076377523,0.05564648117839607,134,102,2.050665397612672e-05,0.27557369804243326,0.5232462278102009,0.5696085828469251,Red,Red,0.0012596184824015405,0.0012343429643497587,-0.015334953266585518,-0.013473687245524366,Moirai-1.1,ASX200,0.05
4276,1833,0.0015404130955480309,0.1331151118385161,0.09819967266775777,244,180,6.118254521791933e-06,0.796701219498744,0.07489331161463575,0.11541932685523326,Red,Red,0.0018984008458360275,0.00187371240014435,-0.011085865410493237,-0.009545452314945205,Moirai-1.1,ASX200,0.1
3253,1394,0.0004476249360444019,0.006456241032998565,0.006456241032998565,9,9,0.15503676163296243,0.15503676163296243,,,Green,Green,0.0002237738946563775,0.00022536016953733832,-0.018910101450295477,-0.018462476514251078,Moirai-1.1,AUDUSD,0.01
3253,1394,0.0012734012920735233,0.023672883787661407,0.015064562410329985,33,21,0.7488392879285841,0.010392383178755904,,,Yellow,Green,0.00043099687227244384,0.0004390191405571032,-0.014867076645547948,-0.013593675353474425,Moirai-1.1,AUDUSD,0.025
3253,1394,0.001058916463496166,0.05667144906743185,0.04160688665710186,79,58,0.26268068600506234,0.13916054627286356,0.1677820726094723,0.28575415416146244,Red,Red,0.0007234839653045499,0.0007238341778617865,-0.01154817683715659,-0.010489260373660426,Moirai-1.1,AUDUSD,0.05
3253,1394,0.001050088569212053,0.11406025824964132,0.08608321377331421,159,120,0.08625894082080998,0.07671921911072055,0.0002816586802050214,0.015734030448538716,Red,Red,0.0011942650859778497,0.0011960205920257714,-0.00873121747578982,-0.007681128906577766,Moirai-1.1,AUDUSD,0.1
4186,1794,0.0026504510147980255,0.012263099219620958,0.010033444816053512,22,18,0.3521456148268004,0.9886470566308652,0.27154663822220126,0.17261179044766717,Green,Green,0.0006306065655741717,0.0006266055598934865,-0.038197117127748086,-0.035546666112950064,Moirai-1.1,BOVESPA,0.01
4186,1794,0.0034424750614830543,0.03567447045707915,0.022853957636566332,64,41,0.006442964639565618,0.5547687446608477,0.2839038285797246,0.9479017634404431,Yellow,Yellow,0.001113279406981984,0.0011023279984082154,-0.0294154092401915,-0.025972934178708443,Moirai-1.1,BOVESPA,0.025
4186,1794,0.0031768453789875837,0.06688963210702341,0.04626532887402453,120,83,0.0017575520950180445,0.4625578948031618,0.22190384597217394,0.6405078291230205,Red,Red,0.001746181256895789,0.001727620403821667,-0.023030956354737866,-0.019854110975750287,Moirai-1.1,BOVESPA,0.05
4186,1794,0.002372569420690751,0.11705685618729098,0.0875139353400223,210,157,0.0187010565554252,0.07227933528420993,0.0006709449872319695,0.030127428077526552,Red,Red,0.002658003164627416,0.002652787370635305,-0.016758240692360867,-0.014385671271670116,Moirai-1.1,BOVESPA,0.1
2582,1106,0.02110206843646011,0.019891500904159132,0.006329113924050633,22,7,0.0035733940781650375,0.18827202104422913,,,Green,Green,0.0009195532614723968,0.0008805120321041483,-0.08171874782290904,-0.06061667938644892,Moirai-1.1,BTC,0.01
2582,1106,0.01743254511464564,0.04972875226039783,0.015370705244122965,55,17,3.2764810826702018e-06,0.027377971310364235,,,Red,Green,0.0018227913846268233,0.0017790485145034035,-0.06205807416008104,-0.044625529045435396,Moirai-1.1,BTC,0.025
2582,1106,0.014567809260108264,0.081374321880651,0.03164556962025317,90,35,1.0460469216710955e-05,0.00274453980000966,0.33985996014762143,,Red,Yellow,0.002962588318645352,0.002921046899877004,-0.04898689758387316,-0.0344190883237649,Moirai-1.1,BTC,0.05
2582,1106,0.008288279356510702,0.12115732368896925,0.07775768535262206,134,86,0.022731143967289813,0.010592164240361357,0.9981533998950942,0.23929122830921512,Red,Red,0.004605983640249027,0.004600262416787487,-0.033469768338652395,-0.025181488982141696,Moirai-1.1,BTC,0.1
2277,976,0.0013851102657890825,0.009221311475409836,0.004098360655737705,9,4,0.8043329241491248,0.035555766554956736,,,Green,Green,0.00015404954827538024,0.00015848940641416647,-0.014947005100688632,-0.013561894834899547,Moirai-1.1,CBU0,0.01
2277,976,0.0009751117635608088,0.02663934426229508,0.018442622950819672,26,18,0.745456251130199,0.16905112580210013,,,Yellow,Green,0.00032004969274776945,0.00032280835111358304,-0.011092270124474267,-0.010117158360913456,Moirai-1.1,CBU0,0.025
