,Chronos-Small-A,Chronos-Mini-A,TimesFM-2.5,Moirai-1.1,Moirai-2.0,Lag-Llama
GJR-GARCH-t,0.1121443800403632,0.11051831605432727,0.04873020924872895,0.007498316745206068,0.07338887044016129,0.0005039383165394984
GJR-GARCH,0.08510425920269249,0.082252259751316,0.026858690095503013,0.0027954194176618152,0.04873637832084765,3.9273708338782853e-05
GARCH-N,0.09252991796223498,0.08653957378638832,0.021470035885990946,0.0036391234921160365,0.04551562062870085,0.0005481682245633834
Hist-Sim,1.2347678435276066e-11,1.1230438801135278e-10,3.405187927474351e-05,0.06665161339925851,4.274681555394011e-07,0.1209986986329794
EWMA,0.14925826041456025,0.14609100380666895,0.03776120784370307,0.005096441364959681,0.07186450377472653,0.005806857428156453
