default,analytic,QS_default,QS_analytic,p_dk,p_cluster
Chronos-Small,Chronos-Small-A,0.0005809495152880121,0.0005028652006088507,6.438771738004334e-08,0.0007049259752656134
Chronos-Mini,Chronos-Mini-A,0.0005689202614016828,0.0005001168294671504,7.068567953183447e-12,0.0010527489957263825
