asset,model,obj,orig_pihat,orig_p,orig_n,comm_pihat,comm_p,comm_n
SP500,CAViaR-SAV,0.00035061601923844986,0.012645422357106728,0.2561406381532009,1977,0.01206140350877193,0.39141063360822603,1824
SP500,CAViaR-AS,0.0003410812403324766,0.014162873039959535,0.0800034316081647,1977,0.01425438596491228,0.0860727036677329,1824
STOXX,CAViaR-SAV,0.00033002290952257045,0.018159806295399514,0.002776293341767544,1652,0.015353805073431242,0.05353150566930043,1498
STOXX,CAViaR-AS,0.00031897494618181733,0.018765133171912834,0.001410253778481363,1652,0.01602136181575434,0.031249752853323876,1498
GDAXI,CAViaR-SAV,0.0004038700800004211,0.01602403605408112,0.01284992763650128,1997,0.016820401519262073,0.007342306216103767,1843
GDAXI,CAViaR-AS,0.0003949166084369454,0.015523284927391086,0.021739336737264026,1997,0.016277807921866522,0.013018603777362081,1843
FCHI,CAViaR-SAV,0.00040776178180988715,0.017412935323383085,0.00250652385168737,2010,0.018318965517241378,0.0012506156755184294,1856
FCHI,CAViaR-AS,0.0003967225694126468,0.014925373134328358,0.03860898844683036,2010,0.015625,0.024426628105974735,1856
FTSE100,CAViaR-SAV,0.0003279088438396151,0.015609264853977844,0.020245858855213683,1986,0.016366612111292964,0.012109886655179092,1833
FTSE100,CAViaR-AS,0.00031149207461915674,0.01460221550855992,0.0537428316175671,1986,0.014184397163120567,0.09027554520863568,1833
ICLN,CAViaR-SAV,0.0006077088624637831,0.007473841554559043,0.33097017993462086,1338,0.006751054852320675,0.23234634922963948,1185
ICLN,CAViaR-AS,0.0006014542896611273,0.008221225710014948,0.4998633731947827,1338,0.007594936708860759,0.38487928248212877,1185
NIKKEI,CAViaR-SAV,0.0004677551073617222,0.014018691588785047,0.09467622322118707,1926,0.013544018058690745,0.15485297502340267,1772
NIKKEI,CAViaR-AS,0.0004515158568412553,0.01142263759086189,0.5394988606104629,1926,0.011286681715575621,0.5937683130145301,1772
HSI,CAViaR-SAV,0.00043221295419174484,0.008260196179659268,0.42752309293850266,1937,0.008408071748878924,0.48716735323690596,1784
HSI,CAViaR-AS,0.0004110655982894295,0.007743933918430563,0.29876630027730333,1937,0.007847533632286996,0.34236895927507993,1784
BOVESPA,CAViaR-SAV,0.0005244227636357073,0.006673511293634497,0.11630872801759728,1948,0.006131549609810479,0.07611071317314966,1794
BOVESPA,CAViaR-AS,0.0005056681403070027,0.007186858316221766,0.18888540790887787,1948,0.007246376811594203,0.21768660497343006,1794
NIFTY,CAViaR-SAV,0.0004166174921663673,0.011747430249632892,0.5282354727580229,1362,0.008278145695364239,0.535314312425869,1208
NIFTY,CAViaR-AS,0.0003968148208013175,0.011747430249632892,0.5282354727580229,1362,0.008278145695364239,0.535314312425869,1208
ASX200,CAViaR-SAV,0.00030220995326209893,0.018117765475591345,0.0010931222371451943,1987,0.018548827059465357,0.0010108623175008047,1833
ASX200,CAViaR-AS,0.0002838371659671485,0.019627579265223957,0.00013823932534551275,1987,0.019639934533551555,0.0002474776485975605,1833
CBU0,CAViaR-SAV,0.00011503852117763597,0.01592920353982301,0.06516905662854777,1130,0.01639344262295082,0.0660775037643272,976
CBU0,CAViaR-AS,0.00011471706649681289,0.016814159292035398,0.03595371330682684,1130,0.017418032786885244,0.03507136753637563,976
TLT,CAViaR-SAV,0.00024241192175990632,0.011771300448430493,0.4645172052757137,1784,0.012875536480686695,0.2637656224270005,1631
TLT,CAViaR-AS,0.00023992225840443665,0.01569506726457399,0.02562425976526772,1784,0.01655426118945432,0.015054439055091628,1631
IBGL,CAViaR-SAV,0.0003554050979069861,0.005072463768115942,0.04210019693926459,1380,0.004078303425774877,0.018019017405971338,1226
IBGL,CAViaR-AS,0.00035158880399014937,0.006521739130434782,0.1655425638794873,1380,0.005709624796084829,0.1005550796222211,1226
DJCI,CAViaR-SAV,0.00033022213128716134,0.018890200708382526,0.02058386941174195,847,0.021645021645021644,0.007618574913951015,693
DJCI,CAViaR-AS,0.0003292882106338568,0.008264462809917356,0.6007338708142813,847,0.010101010101010102,0.9787146374865701,693
GOLD,CAViaR-SAV,0.0003869796697082478,0.0093603744149766,0.7756755235826716,1923,0.010169491525423728,0.9430255792092033,1770
GOLD,CAViaR-AS,0.0003848838016285304,0.008320332813312533,0.44583207733081853,1923,0.00847457627118644,0.5077385070936216,1770
WTI,CAViaR-SAV,0.0007141620611626674,0.016103896103896103,0.013410650509239841,1925,0.015237020316027089,0.03969450453928114,1772
WTI,CAViaR-AS,0.0007137514873136997,0.016103896103896103,0.013410650509239841,1925,0.015237020316027089,0.03969450453928114,1772
NATGAS,CAViaR-SAV,0.0009084872877538065,0.011428571428571429,0.5379505394218314,1925,0.01129305477131564,0.5920815997024045,1771
NATGAS,CAViaR-AS,0.0009035495610492496,0.011428571428571429,0.5379505394218314,1925,0.01129305477131564,0.5920815997024045,1771
BTC,CAViaR-SAV,0.001529972189452448,0.002380952380952381,0.001092889976688216,1260,0.0009033423667570009,8.590099648342342e-05,1107
BTC,CAViaR-AS,0.0014687760435899357,0.0007936507936507937,1.947307661320785e-05,1260,0.0,2.3917889948599225e-06,1107
