model,symbol,n_cal,n_test,qV,delta_cal,delta_test,S_raw_test,uMCB_in_test,uMCB_oos_test,S_raw_cal,uMCB_in_cal,improve_cal_qV,truncated
Chronos-Small,ASX200,4276,1833,0.026479514057737817,0.02600479832979411,0.026505443831934768,0.0029985664212519828,0.0025353847557673184,0.002535375277890225,0.0026404321488180888,0.002265828503775516,0.0022658336674620536,True
Chronos-Small,AUDUSD,3252,1395,0.021631863257192623,0.021566019607154523,0.013636097249159422,0.0017762818418232517,0.0015591780665219943,0.001521550388534699,0.0022712249996714442,0.0019189684394186222,0.001918966114954324,True
Chronos-Small,BOVESPA,4186,1794,0.0418381945086304,0.04131970058091216,0.03429011201189848,0.0037519491318614684,0.0030540277874821025,0.0030422160520193423,0.004674181946092378,0.004061039631113694,0.004060940887225906,True
Chronos-Small,BTC,2581,1107,0.10761549021774856,0.10589823440576743,0.0576394042534943,0.00586104513797183,0.005034260937245128,0.004681014944641544,0.009908829156412934,0.008377443208950865,0.00837693937659505,True
Chronos-Small,CBU0,2277,976,0.008038061683034886,0.007930087792791793,0.011131201122604914,0.001158499829408339,0.0010128523659129291,0.0009827773984492614,0.0008336072236147391,0.0006999770805986375,0.0006999414326687976,True
Chronos-Small,DJCI,1617,693,0.01857924247195986,0.01855997271076605,0.026346466425110144,0.0027641033397365596,0.002369769967097886,0.0023148878450690805,0.0023062859639008822,0.002030127312662153,0.002030131420635777,True
Chronos-Small,ETH,1776,762,0.12616460281247144,0.12320227428855648,0.08751486604870794,0.010438107107696255,0.00916753518003794,0.009039503162264225,0.010795829163618069,0.00909220249463004,0.009091359827056588,True
Chronos-Small,EURUSD,3689,1582,0.015414008109286406,0.014966968407953864,0.011379726896427462,0.001277966179458058,0.001122195543286934,0.0011028160439255077,0.0017159500570455065,0.0014174194223080202,0.0014174010304652581,True
Chronos-Small,FCHI,4330,1856,0.036039821760051584,0.03596238545458379,0.03603004061479488,0.0033374524706728708,0.0028170550706726892,0.002817057389478677,0.0036042702025624192,0.0030888035784858224,0.003088799896407107,True
Chronos-Small,FTSE100,4275,1833,0.030329217709992418,0.02971687968680323,0.03183319411721988,0.002591957587169616,0.0021325070219260856,0.0021308888533184815,0.0029716898024849583,0.00252535588322066,0.0025252596251659687,True
Chronos-Small,GBPUSD,3698,1585,0.015203177062875935,0.014902926051998538,0.012669260619811351,0.0014955882167032167,0.0012997069739322932,0.0012926123509907617,0.0015715949633330628,0.0013390187301865733,0.0013390026680774208,True
Chronos-Small,GDAXI,4299,1843,0.039583067493618763,0.03907865759011504,0.03647408503769775,0.0032760550903000113,0.0027716001194711876,0.002762875841963676,0.0038186540588770823,0.0032950339652315533,0.003295035138550705,True
Chronos-Small,GOLD,4127,1770,0.031126434335503515,0.031085223489160624,0.028050112817662357,0.0030717075665880737,0.0026108351753110328,0.0026060461169392997,0.0031274176239632105,0.0026949489042910496,0.00269495083090691,True
Chronos-Small,HSI,4160,1784,0.038906545780363636,0.03747232281815608,0.03250646700825653,0.003929869601362617,0.0033851138518605295,0.003375179948676775,0.003624712432134944,0.003081322503436171,0.0030812997681837354,True
Chronos-Small,IBGL,2860,1226,0.019096905566302277,0.01902627393818552,0.016762960333315802,0.00227222503775299,0.0020302623064079213,0.002028302909830285,0.0022300510372155902,0.0019222093577575545,0.0019222112367019515,True
Chronos-Small,ICLN,2762,1185,0.04212352727056173,0.04116511184933212,0.03455324867563496,0.004150148231161216,0.003650019361941966,0.0036305326520643996,0.004363989153391893,0.003673820251406821,0.0036736362314481893,True
Chronos-Small,NATGAS,4131,1771,0.07054923311252861,0.06928190492380078,0.10689898736026461,0.011748692349588337,0.01014829407922164,0.009867253600630267,0.0076668196081501345,0.006627290303397369,0.006627199050259128,True
Chronos-Small,NIFTY,2818,1208,0.0242198267630135,0.024166769992928123,0.02022746905147565,0.0026063345317976715,0.0022916282497432183,0.002284340864253466,0.0028688147459505937,0.002424845865854779,0.002424847482255519,True
Chronos-Small,NIKKEI,4134,1772,0.038378394714549076,0.03786842137566552,0.03266850921149746,0.003658194613931045,0.003118163277389376,0.003111218676504469,0.003925151316764228,0.0033331273909418344,0.003333142240077953,True
