model,asset,period,method,n,QS,normalised_QS
HS,NoDur,2015-2019,Raw,1258,0.00030905807933212287,0.032424332419123
HS,NoDur,2015-2019,Shift-CP,1258,0.0003015007220607098,0.031631464408980986
HS,NoDur,2015-2019,Vol-ERM,1258,0.0003005699520084141,0.03153381416263694
HS,NoDur,2015-2019,State-L1,1258,0.00029924689140163786,0.0313950073823144
HS,NoDur,2015-2019,POT-Shift,1258,0.0003008574361536945,0.03156397510038671
HS,NoDur,2015-2019,POT-Vol,1258,0.0003009646049425992,0.031575218541891
HS,NoDur,2015-2019,DtACI-projected-expected,1258,0.0003009293578049942,0.03157152064501351
HS,NoDur,2015-2019,Rolling500,1258,0.0003152609867803639,0.03307510049967749
HS,NoDur,2015-2019,Selected-rolling,1258,0.0003152609867803639,0.03307510049967749
HS,NoDur,2015-2019,Gate-selected-rolling,1258,0.0003152609867803639,0.03307510049967749
HS,NoDur,2015-2019,Loss-gate,1258,0.00030905807933212287,0.032424332419123
HS,NoDur,2015-2019,Past-minimum,1258,0.0003005699520084141,0.03153381416263694
HS,NoDur,2015-2019,State-L1-clipped,1258,0.00029926200962539153,0.03139659348649791
HS,NoDur,2015-2019,DtACI-projected-seed,1258,0.00029130671209911656,0.030561976213128488
HS,NoDur,2020-2021,Raw,505,0.000868612116654481,0.09112904627682263
HS,NoDur,2020-2021,Shift-CP,505,0.0008396618757748829,0.08809177821406142
HS,NoDur,2020-2021,Vol-ERM,505,0.0007586118750395128,0.07958854745532211
HS,NoDur,2020-2021,State-L1,505,0.0007571652927911821,0.07943678160020246
HS,NoDur,2020-2021,POT-Shift,505,0.0008342405602157592,0.08752300959226109
HS,NoDur,2020-2021,POT-Vol,505,0.0007845964391685721,0.08231467630109554
HS,NoDur,2020-2021,DtACI-projected-expected,505,0.0007765555510865481,0.08147107943192478
HS,NoDur,2020-2021,Rolling500,505,0.0009082089285013666,0.09528328224708234
HS,NoDur,2020-2021,Selected-rolling,505,0.0009082089285013666,0.09528328224708234
HS,NoDur,2020-2021,Gate-selected-rolling,505,0.0009082089285013666,0.09528328224708234
HS,NoDur,2020-2021,Loss-gate,505,0.000868612116654481,0.09112904627682263
HS,NoDur,2020-2021,Past-minimum,505,0.0007586118750395128,0.07958854745532211
