model,asset,loss_gate,past_minimum,selected_window,coverage_gate,state_p,state_penalty,pot_shift_threshold,pot_vol_threshold,pot_final_fallbacks
HS,NoDur,Raw,Inner-Vol,500,True,2,0.0001,0.95,0.95,0
HS,Durbl,Raw,Raw,500,True,4,0.01,0.95,0.95,0
HS,Manuf,Raw,Inner-Vol,500,True,4,0.0001,0.95,0.9,0
HS,Enrgy,Raw,Inner-Vol,125,True,4,0.0001,0.95,0.9,0
HS,Chems,Raw,Inner-Vol,125,True,2,0.0001,0.95,0.95,0
HS,BusEq,Raw,Inner-Vol,125,True,2,0.0001,0.95,0.9,0
HS,Telcm,Raw,Inner-Vol,125,True,2,0.0001,0.95,0.95,0
HS,Utils,Raw,Inner-Vol,500,True,2,0.001,0.95,0.9,0
HS,Shops,Raw,Raw,500,True,4,0.001,0.95,0.95,0
HS,Hlth,Raw,Inner-Vol,125,True,2,0.0001,0.9,0.95,0
HS,Money,Raw,Raw,500,True,4,0.0,0.95,0.9,0
HS,Other,Raw,Inner-Vol,125,True,4,0.001,0.95,0.95,0
GJR-GARCH-t,NoDur,Raw,Inner-Shift,500,True,2,0.0001,0.95,0.95,0
GJR-GARCH-t,Durbl,Raw,Rolling500,500,True,4,0.01,0.9,0.95,0
GJR-GARCH-t,Manuf,Raw,Inner-Shift,500,True,4,0.0,0.95,0.95,0
GJR-GARCH-t,Enrgy,Raw,Inner-Vol,500,True,4,0.0001,0.95,0.9,0
GJR-GARCH-t,Chems,Raw,Inner-Shift,500,True,2,0.0,0.95,0.95,0
GJR-GARCH-t,BusEq,Raw,Inner-Shift,500,True,2,1.0,0.9,0.95,0
GJR-GARCH-t,Telcm,Inner-Vol,Inner-Shift,500,True,4,0.001,0.9,0.9,0
GJR-GARCH-t,Utils,Raw,Inner-Vol,500,True,4,0.001,0.9,0.95,0
GJR-GARCH-t,Shops,Inner-Vol,Inner-Shift,250,True,2,0.0001,0.9,0.9,0
GJR-GARCH-t,Hlth,Raw,Inner-Shift,500,True,2,0.0001,0.9,0.9,0
GJR-GARCH-t,Money,Raw,Inner-Shift,500,True,2,0.0001,0.9,0.95,0
GJR-GARCH-t,Other,Raw,Inner-Shift,500,True,4,0.0001,0.9,0.95,0
CAViaR-AS,NoDur,Raw,Raw,500,True,4,0.01,0.95,0.95,0
CAViaR-AS,Durbl,Raw,Rolling500,500,True,2,0.0,0.95,0.95,0
CAViaR-AS,Manuf,Raw,Raw,500,True,2,0.001,0.95,0.95,0
CAViaR-AS,Enrgy,Raw,Raw,250,True,4,0.0001,0.95,0.95,0
CAViaR-AS,Chems,Raw,Raw,125,True,4,0.001,0.95,0.9,0
CAViaR-AS,BusEq,Raw,Raw,125,True,2,0.0001,0.95,0.95,0
CAViaR-AS,Telcm,Raw,Raw,500,True,4,0.0,0.95,0.95,0
CAViaR-AS,Utils,Raw,Rolling500,500,False,2,0.0001,0.95,0.95,0
CAViaR-AS,Shops,Raw,Raw,500,True,2,0.001,0.95,0.95,0
CAViaR-AS,Hlth,Raw,Raw,250,True,4,0.0,0.95,0.95,0
CAViaR-AS,Money,Raw,Raw,500,True,4,0.0,0.9,0.95,0
CAViaR-AS,Other,Raw,Raw,500,True,4,0.0,0.95,0.95,0
GAS-t,NoDur,Raw,Inner-Shift,500,False,4,0.001,0.9,0.95,0
GAS-t,Durbl,Raw,Raw,500,True,2,1.0,0.9,0.95,0
GAS-t,Manuf,Raw,Raw,500,True,2,1.0,0.95,0.95,0
GAS-t,Enrgy,Raw,Raw,500,False,2,1.0,0.95,0.9,0
GAS-t,Chems,Raw,Inner-Vol,500,False,2,0.0001,0.95,0.95,0
GAS-t,BusEq,Raw,Raw,500,False,2,0.0001,0.9,0.95,0
GAS-t,Telcm,Raw,Raw,500,False,4,0.0001,0.95,0.95,0
GAS-t,Utils,Raw,Raw,500,True,2,0.001,0.9,0.9,0
GAS-t,Shops,Raw,Raw,500,False,4,0.001,0.9,0.9,0
GAS-t,Hlth,Raw,Raw,500,True,4,0.0,0.95,0.95,0
GAS-t,Money,Raw,Inner-Shift,500,False,2,1.0,0.95,0.95,0
GAS-t,Other,Raw,Raw,500,True,2,1.0,0.95,0.95,0
