method,pairs,QS,normalised_QS,violation_rate,width,kupiec_rejections,kupiec_available,worse_than_raw,QS_x10000
State-L1,48,0.000456951472099975,0.03174871664714867,0.011958948814840218,0.03384108933385772,11,48,3,4.5695147209997495
State-L1-clipped,48,0.0004568356799779458,0.03174012451483791,0.011951792053131753,0.0338334445585852,11,48,3,4.568356799779458
POT-Shift,48,0.00046340410402893954,0.032208438343940674,0.010892591320279359,0.034370560918219314,9,48,4,4.634041040289396
POT-Vol,48,0.00045906743232572287,0.031885495314938624,0.011228959120577066,0.034336717131222744,11,48,1,4.590674323257229
Loss-gate,48,0.00047204775065633745,0.032805860310320845,0.01605977327378903,0.03101033826555331,41,48,0,4.720477506563374
Past-minimum,48,0.0004634130010245146,0.03218267491594826,0.013025306309401073,0.033163388159535685,21,48,2,4.634130010245146
DtACI-projected-seed,48,0.0004709235901169104,0.032711130392244735,0.01345471201190881,0.03488983935276644,13,48,19,4.709235901169104
Raw,48,0.00047238768592408126,0.032831189765114684,0.016202908507958275,0.030955564468829865,41,48,0,4.7238768592408125
Shift-CP,48,0.0004639030579226229,0.032237332851482114,0.011364937593037855,0.03413512520783327,11,48,4,4.639030579226229
Vol-ERM,48,0.000459867370956775,0.03194627717055846,0.011300526737661692,0.034366018000763096,15,48,4,4.59867370956775
Rolling500,48,0.0004742815233089354,0.03301060756429678,0.0109784724607809,0.035754531015851,1,48,24,4.742815233089354
Selected-rolling,48,0.00047323745498333334,0.03292554823473563,0.010935531890530122,0.03642797837065347,3,48,24,4.732374549833334
Gate-selected-rolling,48,0.0004735235568725771,0.0329366748923314,0.012044829955341757,0.0356515216166592,11,48,20,4.735235568725771
DtACI-projected-expected,48,0.0004701964592253104,0.03266951086256752,0.01336783601922202,0.03487998178157483,0,0,19,4.701964592253104
