method,block_calendar_days,draws,pairs,violation_rate_pct,bootstrap_sd_pct,lower_pct,upper_pct,excludes_nominal,kupiec_rejections,kupiec_undefined,independence_rejections,independence_undefined,joint_rejections,joint_undefined
Raw,20,999,240,1.7345027992116326,0.14750841840773546,1.4458587152350468,2.0389079940089014,True,133,0,51,0,134,0
Raw,60,999,240,1.7345027992116326,0.1612795492520223,1.4522544897839933,2.0735619389852458,True,133,0,51,0,134,0
Shift-CP,20,999,240,0.9576260456202363,0.11207988475655563,0.74894732751663,1.1981800271989873,False,29,0,42,0,51,0
Shift-CP,60,999,240,0.9576260456202363,0.12388732563593152,0.7439281366495483,1.2266231883630019,False,29,0,42,0,51,0
Rolling250,20,999,240,0.9023220645594024,0.09615368092772233,0.7175206408325308,1.1073954566966977,False,6,0,20,0,18,0
Rolling250,60,999,240,0.9023220645594024,0.10351006232207367,0.7083860260361893,1.1051760324746829,False,6,0,20,0,18,0
Rolling500,20,999,240,1.0633652298278546,0.11401556129450094,0.84949914100057,1.3119254663523412,False,3,0,44,0,34,0
Rolling500,60,999,240,1.0633652298278546,0.1284701123491678,0.8322697566555105,1.320518329741764,False,3,0,44,0,34,0
Selected-rolling,20,999,240,1.0294857413932652,0.1082101401252068,0.8341243270713231,1.2636972081175586,False,3,0,36,0,32,0
Selected-rolling,60,999,240,1.0294857413932652,0.1205486677678449,0.8149444439689492,1.274532733562243,False,3,0,36,0,32,0
Gate-selected-rolling,20,999,240,1.0617171135237917,0.11103034019235677,0.8559988216182791,1.2981529354170667,False,6,0,36,0,34,0
Gate-selected-rolling,60,999,240,1.0617171135237917,0.12252079186453227,0.8481269402484991,1.3112990115668575,False,6,0,36,0,34,0
Loss-gate,20,999,240,1.4841157679571175,0.1356949872522515,1.2233070046788506,1.7683537264289586,True,90,0,50,0,100,0
Loss-gate,60,999,240,1.4841157679571175,0.14718953623546235,1.2277386370293208,1.7884240879315005,True,90,0,50,0,100,0
Past-minimum,20,999,240,1.093429994324034,0.1143229525976766,0.8795147719578973,1.326472482982732,False,46,0,48,0,69,0
Past-minimum,60,999,240,1.093429994324034,0.12325511736890489,0.8838774839115212,1.3464019713082043,False,46,0,48,0,69,0
