model,kind,n,raw_pi,cor_pi,raw_kup,cor_kup,cc_pass,cc_defined,raw_qs,cor_qs,width,w_gjr,green,R,R_signed,n_qV_neg
CAViaR-AS,dynamic quantile,24,0.010993149849744088,0.010949871044783044,15,15,9,11,4.769438374456708,4.769781828070042,0.036286543850558454,1.0069328142853997,20,0.0010118303751458025,0.0010107788378910815,2
CAViaR-SAV,dynamic quantile,24,0.011358690034742434,0.011358690034742434,14,14,6,11,4.843374784162709,4.843152342515833,0.03633595610503052,1.0083039787771366,18,0.001083849123711716,0.001083729504367594,2
TimesFM-2.5,"TSFM, grid",24,0.014336685301682769,0.0102697799950807,13,20,8,16,5.032602391266667,5.024081984100916,0.03662196764919259,1.0162406511223259,22,0.09079191067017532,0.08834249533569745,3
GJR-GARCH-t,parametric,24,0.014494366003129663,0.01022718101311555,13,20,4,7,4.680620683968875,4.670076111139792,0.036884059702921475,1.0235135699858569,23,0.10108464179451314,0.10045560341040775,1
Moirai-1.1,"TSFM, sample",24,0.015413259461199038,0.010543706975897514,13,15,6,6,5.401458010413958,5.280886268399292,0.03866149187740093,1.0728363930417228,21,0.10561082185870548,0.10456795952807123,1
Hist-Sim,nonparametric,24,0.015818797088326914,0.010766466372430663,11,21,6,16,5.664289185394459,5.567002850185625,0.03918246881027749,1.0872932333338052,22,0.10876420995148765,0.10876420995148765,0
Chronos-Small-A,"TSFM, analytic",24,0.01750089132996759,0.011289453277558597,8,19,8,14,5.215843026741417,5.056175332304541,0.03537647167275615,0.9816787822957089,22,0.14500492699321252,0.14500492699321252,0
Moirai-2.0,"TSFM, grid",24,0.017831665944893965,0.011128588131335859,8,17,7,15,5.186332400659251,5.069738171736957,0.03608799881423497,1.001423292270546,21,0.15518340245092352,0.15279916219758546,2
Chronos-Mini-A,"TSFM, analytic",24,0.01780941698043324,0.010700556197397341,8,20,7,15,5.1826424922665835,5.035126280695834,0.035618276677261806,0.9883887460414413,22,0.1608020455903073,0.1608020455903073,0
GARCH-N,parametric,24,0.019253652973664492,0.010407515015925751,8,18,6,12,4.887414637484125,4.737355742346083,0.036463294302277204,1.0118375478557378,21,0.17131612600307058,0.17131612600307058,0
GJR-GARCH,parametric,24,0.01997473015595928,0.010659530035923003,7,17,5,6,4.824602925635042,4.6696940796505,0.036036708046216864,1.0,22,0.17858336605269595,0.17858336605269595,0
EWMA,parametric,24,0.020750876026377915,0.011429688224235166,5,16,7,10,5.06983681268175,4.852252043756792,0.03656431615752046,1.0146408520619292,20,0.18432358452755512,0.18432358452755512,0
GAS-t,score-driven,24,0.03334793158620739,0.011666195042330884,0,14,7,13,5.601839067559666,4.89469962473,0.03557570472852933,0.9872073964942552,19,0.32089642976235705,0.32089642976235705,0
Lag-Llama,"TSFM, sample",24,0.02937986348482181,0.009485619044985521,0,22,2,2,5.911160780031792,5.242727440161708,0.041101493688591555,1.1405451806496623,24,0.3573258799914763,0.3573258799914763,0
Chronos-Small,"TSFM, sample",24,0.38837474016134527,0.010823411682535538,0,14,4,13,37.89953171002304,5.832977511430041,0.04048226025978169,1.123361773441221,19,17.260434724304254,17.260434724304254,0
Chronos-Mini,"TSFM, sample",24,0.4188408561087112,0.010292238394798545,0,11,5,13,41.14707349240442,5.737443351480333,0.04088408506805715,1.1345122039344868,19,23.53881611227361,23.53881611227361,0
