model,n,raw_pi,cor_pi,raw_kup,cor_kup,cc,cc_degenerate,raw_qs,cor_qs,width,w_gjr,green,yellow,red,rbar,rbar_signed,n_qV_negative
Moirai-1.1,24,0.015413259461199038,0.010543706975897514,13,15,24,18,5.401458010413958,5.280886268399292,0.03866149187740093,1.0728363930417228,21,3,0,0.10561082185870548,0.10456795952807123,1
Lag-Llama,24,0.02937986348482181,0.009485619044985521,0,22,24,22,5.911160780031792,5.242727440161708,0.041101493688591555,1.1405451806496623,24,0,0,0.3573258799914763,0.3573258799914763,0
GJR-GARCH,24,0.01997473015595928,0.010659530035923003,7,17,23,18,4.824602925635042,4.6696940796505,0.036036708046216864,1.0,22,2,0,0.17858336605269595,0.17858336605269595,0
GARCH-N,24,0.019253652973664492,0.010407515015925751,8,18,18,12,4.887414637484125,4.737355742346083,0.036463294302277204,1.0118375478557378,21,3,0,0.17131612600307058,0.17131612600307058,0
Hist-Sim,24,0.015818797088326914,0.010766466372430663,11,21,14,8,5.664289185394459,5.567002850185625,0.03918246881027749,1.0872932333338052,22,2,0,0.10876420995148765,0.10876420995148765,0
EWMA,24,0.020750876026377915,0.011429688224235166,5,16,21,14,5.06983681268175,4.852252043756792,0.03656431615752046,1.0146408520619292,20,4,0,0.18432358452755512,0.18432358452755512,0
Chronos-Small,24,0.38837474016134527,0.010823411682535538,0,14,15,11,37.89953171002304,5.832977511430041,0.04048226025978169,1.123361773441221,19,5,0,17.260434724304254,17.260434724304254,0
Chronos-Mini,24,0.4188408561087112,0.010292238394798545,0,11,16,11,41.14707349240442,5.737443351480333,0.04088408506805715,1.1345122039344868,19,5,0,23.53881611227361,23.53881611227361,0
TimesFM-2.5,24,0.014336685301682769,0.0102697799950807,13,20,16,8,5.032602391266667,5.024081984100916,0.03662196764919259,1.0162406511223259,22,2,0,0.09079191067017532,0.08834249533569745,3
Moirai-2.0,24,0.017831665944893965,0.011128588131335859,8,17,16,9,5.186332400659251,5.069738171736957,0.03608799881423497,1.001423292270546,21,3,0,0.15518340245092352,0.15279916219758546,2
