model,asset,n_cal,rho,gap,fallback,truncated
Chronos-Small,ASX200,4276,-0.01838237129633418,9,True,True
Chronos-Small,AUDUSD,3252,-0.050645358452580766,9,True,True
Chronos-Small,BOVESPA,4186,-0.0038838158019748564,9,True,True
Chronos-Small,BTC,2581,-0.021833864685966792,8,True,True
Chronos-Small,CBU0,2277,-0.02459732996493316,8,True,True
Chronos-Small,DJCI,1617,-0.08601492026152972,8,True,True
Chronos-Small,ETH,1776,-0.03908538904688787,8,True,True
Chronos-Small,EURUSD,3689,-0.20657024453337838,9,True,True
Chronos-Small,FCHI,4330,-0.012367367566600168,9,True,True
Chronos-Small,FTSE100,4275,-0.03614883164860669,9,True,True
Chronos-Small,GBPUSD,3698,0.012245384263900287,5,False,True
Chronos-Small,GDAXI,4299,-0.0016076196498518755,9,True,True
Chronos-Small,GOLD,4127,0.00674650234666915,5,False,True
Chronos-Small,HSI,4160,-0.02364957629739004,9,True,True
Chronos-Small,IBGL,2860,0.007341531827596483,5,False,True
Chronos-Small,ICLN,2762,-0.04194283662259913,8,True,True
Chronos-Small,NATGAS,4131,-0.034496674754258105,9,True,True
Chronos-Small,NIFTY,2818,-0.029191451937731965,8,True,True
Chronos-Small,NIKKEI,4134,-0.026530603314629333,9,True,True
Chronos-Small,SP500,4254,-0.06372705377658448,9,True,True
Chronos-Small,STOXX,3495,-0.0018250568793757832,9,True,True
Chronos-Small,TLT,3803,-0.012010656789118022,9,True,True
Chronos-Small,USDJPY,4403,-0.18740153740109936,9,True,True
Chronos-Small,WTI,4132,-0.02765461901034501,9,True,True
Chronos-Mini,ASX200,4276,-0.028534920011647057,9,True,True
Chronos-Mini,AUDUSD,3252,-0.05098851649740496,9,True,True
Chronos-Mini,BOVESPA,4186,-0.015763586012010226,9,True,True
Chronos-Mini,BTC,2581,-0.03652743993171193,8,True,True
Chronos-Mini,CBU0,2277,0.011138743456280912,5,False,True
Chronos-Mini,DJCI,1617,-0.093221362139805,8,True,True
Chronos-Mini,ETH,1776,-0.04468234809769433,8,True,True
Chronos-Mini,EURUSD,3689,-0.21319350247384655,9,True,True
Chronos-Mini,FCHI,4330,-0.02658196798293371,9,True,True
Chronos-Mini,FTSE100,4275,-0.039383213912110075,9,True,True
Chronos-Mini,GBPUSD,3698,0.0041235599209447134,5,False,True
Chronos-Mini,GDAXI,4299,-0.017654800831639065,9,True,True
Chronos-Mini,GOLD,4127,-0.00020370976502381084,9,True,True
Chronos-Mini,HSI,4160,-0.009721136461862557,9,True,True
Chronos-Mini,IBGL,2860,0.003291516973400668,5,False,True
Chronos-Mini,ICLN,2762,0.0066147998504137145,5,False,True
Chronos-Mini,NATGAS,4131,-0.04876483406932085,9,True,True
Chronos-Mini,NIFTY,2818,0.03578135825328935,5,False,True
Chronos-Mini,NIKKEI,4134,-0.03911650046890601,9,True,True
Chronos-Mini,SP500,4254,-0.06287731759414351,9,True,True
Chronos-Mini,STOXX,3495,-0.014389546954724147,9,True,True
Chronos-Mini,TLT,3803,-0.02382618857760879,9,True,True
Chronos-Mini,USDJPY,4403,-0.19194544111522033,9,True,True
Chronos-Mini,WTI,4132,-0.029694773915137807,9,True,True
TimesFM-2.5,ASX200,4276,0.5093139751403098,13,False,False
TimesFM-2.5,AUDUSD,3252,0.4757094140486937,11,False,False
TimesFM-2.5,BOVESPA,4186,0.3582645087890825,9,False,False
TimesFM-2.5,BTC,2581,0.2913847248070557,7,False,False
TimesFM-2.5,CBU0,2277,0.35465099062496697,8,False,False
TimesFM-2.5,DJCI,1617,0.1587055955823061,5,False,False
TimesFM-2.5,ETH,1776,0.25340083181806894,6,False,False
TimesFM-2.5,EURUSD,3689,0.22114624730243967,6,False,False
TimesFM-2.5,FCHI,4330,0.4892573019777404,12,False,False
TimesFM-2.5,FTSE100,4275,0.5131077041750552,13,False,False
TimesFM-2.5,GBPUSD,3698,0.3630721104731259,9,False,False
TimesFM-2.5,GDAXI,4299,0.5050723703712048,13,False,False
TimesFM-2.5,GOLD,4127,0.28280819650210925,7,False,False
TimesFM-2.5,HSI,4160,0.5324244167327065,14,False,False
TimesFM-2.5,IBGL,2860,0.08318708149097286,5,False,False
TimesFM-2.5,ICLN,2762,0.2962681806968629,7,False,False
TimesFM-2.5,NATGAS,4131,0.1985162367180725,6,False,False
TimesFM-2.5,NIFTY,2818,0.3189689519359239,7,False,False
TimesFM-2.5,NIKKEI,4134,0.35890384869118885,9,False,False
TimesFM-2.5,SP500,4254,0.5904184515706634,16,False,False
TimesFM-2.5,STOXX,3495,0.4321554191842248,10,False,False
TimesFM-2.5,TLT,3803,0.31864662574616853,8,False,False
TimesFM-2.5,USDJPY,4403,0.17906812951584372,5,False,False
TimesFM-2.5,WTI,4132,0.45462264460855706,11,False,False
Moirai-2.0,ASX200,4276,0.35528195442881544,9,False,False
Moirai-2.0,AUDUSD,3252,0.3758847120610867,9,False,False
Moirai-2.0,BOVESPA,4186,0.2271690454272086,6,False,False
Moirai-2.0,BTC,2581,0.17696037564076025,5,False,False
Moirai-2.0,CBU0,2277,0.30410539363330413,7,False,False
Moirai-2.0,DJCI,1617,0.0624643546445495,5,False,False
Moirai-2.0,ETH,1776,0.06478962961067783,5,False,False
Moirai-2.0,EURUSD,3689,0.1629196017830012,5,False,False
Moirai-2.0,FCHI,4330,0.35659816201525363,9,False,False
Moirai-2.0,FTSE100,4275,0.3717738050916797,9,False,False
Moirai-2.0,GBPUSD,3698,0.3253709654430312,8,False,False
Moirai-2.0,GDAXI,4299,0.37556675093186703,9,False,False
Moirai-2.0,GOLD,4127,0.21850841637724078,6,False,False
Moirai-2.0,HSI,4160,0.4038481810679774,10,False,False
Moirai-2.0,IBGL,2860,0.01612885828662119,5,False,False
Moirai-2.0,ICLN,2762,0.23121118086063405,6,False,False
Moirai-2.0,NATGAS,4131,0.12589209245076205,5,False,False
Moirai-2.0,NIFTY,2818,0.2471863699628661,6,False,False
Moirai-2.0,NIKKEI,4134,0.22514919441968279,6,False,False
Moirai-2.0,SP500,4254,0.4743297463962749,12,False,False
Moirai-2.0,STOXX,3495,0.31049316999252247,7,False,False
Moirai-2.0,TLT,3803,0.22357844413838046,6,False,False
Moirai-2.0,USDJPY,4403,0.030943097361444794,5,False,False
