model,symbol,n_cal,n_test,q_order,q_level,q_plain,viol_order,pi_order,viol_level,pi_level,viol_plain,pi_plain
Chronos-Small,ASX200,4276,1833,0.026479514057737817,0.026480039173515463,0.02600479832979411,19,0.010365521003818877,19,0.010365521003818877,20,0.010911074740861976
Chronos-Small,AUDUSD,3252,1395,0.021631863257192623,0.021633713903635856,0.021566019607154523,1,0.0007168458781362007,1,0.0007168458781362007,1,0.0007168458781362007
Chronos-Small,BOVESPA,4186,1794,0.0418381945086304,0.041838404655785956,0.04131970058091216,14,0.007803790412486065,14,0.007803790412486065,14,0.007803790412486065
Chronos-Small,BTC,2581,1107,0.10761549021774856,0.10761917446028657,0.10589823440576743,1,0.0009033423667570009,1,0.0009033423667570009,1,0.0009033423667570009
Chronos-Small,CBU0,2277,976,0.008038061683034886,0.00803874613586175,0.007930087792791793,29,0.02971311475409836,29,0.02971311475409836,29,0.02971311475409836
Chronos-Small,DJCI,1617,693,0.01857924247195986,0.018579575469615216,0.01855997271076605,21,0.030303030303030304,21,0.030303030303030304,21,0.030303030303030304
Chronos-Small,ETH,1776,762,0.12616460281247144,0.12617680350370802,0.12320227428855648,3,0.003937007874015748,3,0.003937007874015748,3,0.003937007874015748
Chronos-Small,EURUSD,3689,1582,0.015414008109286406,0.015415270497626109,0.014966968407953864,4,0.0025284450063211127,4,0.0025284450063211127,5,0.0031605562579013905
Chronos-Small,FCHI,4330,1856,0.036039821760051584,0.03604129251730713,0.03596238545458379,19,0.010237068965517241,19,0.010237068965517241,19,0.010237068965517241
Chronos-Small,FTSE100,4275,1833,0.030329217709992418,0.030329966573517848,0.02971687968680323,21,0.011456628477905073,21,0.011456628477905073,23,0.012547735951991271
Chronos-Small,GBPUSD,3698,1585,0.015203177062875935,0.015203268138892917,0.014902926051998538,9,0.0056782334384858045,9,0.0056782334384858045,9,0.0056782334384858045
Chronos-Small,GDAXI,4299,1843,0.039583067493618763,0.039591897350398,0.03907865759011504,10,0.005425935973955507,10,0.005425935973955507,10,0.005425935973955507
Chronos-Small,GOLD,4127,1770,0.031126434335503515,0.03112645668838895,0.031085223489160624,14,0.007909604519774011,14,0.007909604519774011,14,0.007909604519774011
Chronos-Small,HSI,4160,1784,0.038906545780363636,0.03890838263287031,0.03747232281815608,12,0.006726457399103139,12,0.006726457399103139,13,0.0072869955156950675
Chronos-Small,IBGL,2860,1226,0.019096905566302277,0.019099193768618582,0.01902627393818552,11,0.00897226753670473,11,0.00897226753670473,11,0.00897226753670473
Chronos-Small,ICLN,2762,1185,0.04212352727056173,0.042126523211682566,0.04116511184933212,7,0.00590717299578059,7,0.00590717299578059,8,0.006751054852320675
