model,symbol,period,n,n_cal,rho,qV_plain,pi_plain_g0,pi_plain_glog,absdiff_plain,qV_conformal,pi_conformal_g0,pi_conformal_glog,absdiff_conformal
Chronos-Small-A,SP500,Full,6078,4254,0.3204486305923487,0.004323666634965249,0.013157894736842105,0.013208585580627407,5.069084378530285e-05,0.004417977048685195,0.013157894736842105,0.013208585580627407,5.069084378530285e-05
Chronos-Small-A,SP500,GFC,146,102,-0.033052304287110465,0.031630398725822184,0.0,0.0,0.0,0.0473410811629361,0.0,0.0,0.0
Chronos-Small-A,SP500,COVID,104,72,-0.23270029333606357,0.05072870750459959,0.0,0.0,0.0,0.06729170944245086,0.0,0.0,0.0
Lag-Llama,BTC,Full,3688,2581,0.04723604973826776,0.03612403019772374,0.0036133694670280035,0.003629764065335753,1.639459830774957e-05,0.03684647219935443,0.0027100271002710027,0.0027223230490018148,1.2295948730812068e-05
Lag-Llama,BTC,COVID,151,105,-0.2731674137421258,0.039903474516985976,0.0,0.0,0.0,0.406611562200978,0.0,0.0,0.0
Lag-Llama,BTC,SVB,122,85,0.338874532865264,-0.015956396202409535,0.0,0.0,0.0,-0.008856196206350198,0.0,0.0,0.0
GJR-GARCH,WTI,Full,6166,4316,0.4554971187500465,0.006754719009657034,0.014054054054054054,0.013594344752582926,0.00045970930147112843,0.007291047283296909,0.014054054054054054,0.013594344752582926,0.00045970930147112843
GJR-GARCH,WTI,GFC,146,102,0.2002480543202733,0.03366983993438472,0.0,0.0,0.0,0.05462165905057736,0.0,0.0,0.0
GJR-GARCH,WTI,COVID,102,71,0.42813593371406067,0.12134377638661194,0.0,0.0,0.0,0.19185296940432064,0.0,0.0,0.0
Moirai-2.0,NATGAS,Full,5902,4131,0.19280210973455372,-0.001194208381179513,0.015245623941276116,0.015288788221970554,4.316428069443823e-05,-0.0005185650753418841,0.015245623941276116,0.015288788221970554,4.316428069443823e-05
Moirai-2.0,NATGAS,GFC,146,102,-0.06332025838215392,0.0046675864227101035,0.022727272727272728,0.02564102564102564,0.0029137529137529122,0.00888402066827812,0.022727272727272728,0.02564102564102564,0.0029137529137529122
Moirai-2.0,NATGAS,COVID,104,72,0.06381320611653532,0.0035488085040719037,0.03125,0.037037037037037035,0.005787037037037035,0.0052576210064751855,0.03125,0.037037037037037035,0.005787037037037035
