model,symbol,p_dq_raw,p_dq_cp
Chronos-Small,ASX200,0.0,6.2147660464179924e-30
Chronos-Small,AUDUSD,0.0,0.0595928839511895
Chronos-Small,BOVESPA,0.0,1.3743183049992538e-54
Chronos-Small,BTC,0.0,0.1609201152928037
Chronos-Small,CBU0,0.0,2.8408896795451424e-20
Chronos-Small,DJCI,0.0,2.810720138361688e-14
Chronos-Small,ETH,0.0,0.6691246062047049
Chronos-Small,EURUSD,0.0,0.17890877027143406
Chronos-Small,FCHI,0.0,3.748551364840337e-24
Chronos-Small,FTSE100,0.0,9.665456040202721e-22
Chronos-Small,GBPUSD,0.0,0.008743243860227951
Chronos-Small,GDAXI,0.0,2.4352758346722603e-10
Chronos-Small,GOLD,0.0,0.04409807364471091
Chronos-Small,HSI,0.0,4.302607929771262e-08
Chronos-Small,IBGL,0.0,0.1842797438213724
Chronos-Small,ICLN,0.0,0.8157007030634734
Chronos-Small,NATGAS,0.0,8.713144379406515e-13
Chronos-Small,NIFTY,0.0,0.9353512149180012
Chronos-Small,NIKKEI,0.0,3.4808048079175605e-10
Chronos-Small,SP500,0.0,2.077542701937711e-52
Chronos-Small,STOXX,0.0,0.004934246071796361
Chronos-Small,TLT,0.0,4.767098526108174e-11
Chronos-Small,USDJPY,0.0,0.019204303394410455
Chronos-Small,WTI,0.0,4.624124699944643e-41
Chronos-Mini,ASX200,0.0,2.1890914902471185e-15
Chronos-Mini,AUDUSD,0.0,0.05957348106860931
Chronos-Mini,BOVESPA,0.0,3.6025936137746044e-17
Chronos-Mini,BTC,0.0,0.15602508225924797
Chronos-Mini,CBU0,0.0,1.4250881710555144e-20
Chronos-Mini,DJCI,0.0,1.0896205732906441e-14
Chronos-Mini,ETH,0.0,0.7757513252043655
Chronos-Mini,EURUSD,0.0,0.17402627652361682
Chronos-Mini,FCHI,0.0,1.6937666354352647e-12
Chronos-Mini,FTSE100,0.0,1.5658241973300507e-28
Chronos-Mini,GBPUSD,0.0,0.003773690401556778
Chronos-Mini,GDAXI,0.0,1.0542558038491523e-11
Chronos-Mini,GOLD,0.0,0.2851457045978394
Chronos-Mini,HSI,0.0,7.844184638820704e-07
Chronos-Mini,IBGL,0.0,0.22514495667947707
Chronos-Mini,ICLN,0.0,0.9454234011172519
Chronos-Mini,NATGAS,0.0,2.244620936650511e-12
Chronos-Mini,NIFTY,0.0,0.5212506562728203
