model,asset,method,gamma,violation,kupiec_p,christoffersen_p,zone,mean_var,var_path_vol
Chronos-Small,ASX200,Conformal static,0.05,0.010365521003818877,0.8757598217094379,0.04861949924728479,green,0.027220086750709818,0.0052726452268241734
Chronos-Small,ASX200,Conformal rolling $w{=}250$,0.05,0.009274413529732678,0.751949509243384,0.0014227531048543027,green,0.0319407565190874,0.005410472310593714
Chronos-Small,ASX200,ACI (first-half $\gamma$),0.05,0.0010911074740861974,9.913021330687595e-07,6.301905673223466e-06,green,0.08320135812999274,0.02082827063481692
Chronos-Small,AUDUSD,Conformal static,0.001,0.0007168458781362007,5.232900054811273e-06,3.11790221810445e-05,green,0.023225708212763336,0.0004359975194987527
Chronos-Small,AUDUSD,Conformal rolling $w{=}250$,0.001,0.007885304659498209,0.409778348917024,0.6523241124906419,green,0.018606953555314852,0.0006642628885841504
Chronos-Small,AUDUSD,ACI (first-half $\gamma$),0.001,0.0007168458781362007,5.232900054811273e-06,3.11790221810445e-05,green,0.053112417123489845,0.0010977507726183965
Chronos-Small,BOVESPA,Conformal static,0.05,0.007803790412486065,0.33088803308718684,0.0002832788812020966,green,0.04444548610984418,0.008013952880909374
Chronos-Small,BOVESPA,Conformal rolling $w{=}250$,0.05,0.00947603121516165,0.8219637326874112,0.032298662114921044,green,0.04916206391106707,0.008492787110738562
Chronos-Small,BOVESPA,ACI (first-half $\gamma$),0.05,0.0005574136008918618,1.0568259444343471e-07,7.272059420057529e-07,green,0.135809253363051,0.026031080195483915
Chronos-Small,BTC,Conformal static,0.001,0.0009033423667570009,8.59009964834329e-05,0.0004470726305930825,green,0.1133865077685847,0.0009888931957744475
Chronos-Small,BTC,Conformal rolling $w{=}250$,0.001,0.007226738934056007,0.3292522440224591,0.586134134474698,green,0.07254051326367679,0.0020081010412719264
Chronos-Small,BTC,ACI (first-half $\gamma$),0.001,0.0009033423667570009,8.59009964834329e-05,0.0004470726305930825,green,0.14970666614722103,0.002310726767465528
Chronos-Small,FCHI,Conformal static,0.05,0.010237068965517241,0.9185587125657224,0.047848985010188555,green,0.03735658398136486,0.0009753331519132462
Chronos-Small,FCHI,Conformal rolling $w{=}250$,0.05,0.009159482758620689,0.7120065114937537,3.857368586628562e-05,green,0.04050921489765364,0.001830993263741666
Chronos-Small,FCHI,ACI (first-half $\gamma$),0.05,0.0005387931034482759,5.751832327689228e-08,4.034662079061748e-07,green,0.09563086184529837,0.03798223703979723
Chronos-Small,CBU0,Conformal static,0.001,0.02971311475409836,5.534718215697922e-07,1.4805675551041658e-06,green,0.009596820732743547,0.0003802901981266712
Chronos-Small,CBU0,Conformal rolling $w{=}250$,0.001,0.006147540983606557,0.1927833966730602,0.4126066081007438,green,0.013154923167248788,0.0004014743047204936
Chronos-Small,CBU0,ACI (first-half $\gamma$),0.001,0.0010245901639344263,0.0003044859001862607,0.0014702479468309256,green,0.018570710687069916,0.0004023023060266024
Chronos-Small,DJCI,Conformal static,0.001,0.030303030303030304,1.518337482214555e-05,7.856287554383953e-05,red,0.02019713252305074,0.0006836204269734856
Chronos-Small,DJCI,Conformal rolling $w{=}250$,0.001,0.015873015873015872,0.15230893909471716,0.1342296167737081,yellow,0.0297521094169195,0.0009369464015781736
Chronos-Small,DJCI,ACI (first-half $\gamma$),0.001,0.001443001443001443,0.004577097564090387,0.017932481099500013,green,0.04887895314123721,0.0007572359375100839
Chronos-Small,ETH,Conformal static,0.001,0.003937007874015748,0.0552259083067376,0.15731591015155386,green,0.1330177097493617,0.001687070810149863
Chronos-Small,ETH,Conformal rolling $w{=}250$,0.001,0.013123359580052493,0.40831861205884046,0.20555926877683875,green,0.10620804489812165,0.0028772399843748978
Chronos-Small,ETH,ACI (first-half $\gamma$),0.001,0.0013123359580052493,0.002372546492816568,0.009857709299983449,green,0.15867613447836784,0.0019094703412752157
Chronos-Small,EURUSD,Conformal static,0.05,0.0025284450063211127,0.0003600025375741184,0.001704106100765702,green,0.016504071625557757,0.0002961804504934566
Chronos-Small,EURUSD,Conformal rolling $w{=}250$,0.05,0.008217446270543615,0.4621805271112076,0.6851714021448789,green,0.012954353434062564,0.0003918328396619845
Chronos-Small,EURUSD,ACI (first-half $\gamma$),0.05,0.0012642225031605564,1.011764542545212e-05,5.846553690029551e-05,green,0.022336316787390287,0.006442526939901334
Chronos-Small,FTSE100,Conformal static,0.001,0.011456628477905073,0.5401659942376459,0.05977156017742296,green,0.03182686482072091,0.0007483225350089815
Chronos-Small,FTSE100,Conformal rolling $w{=}250$,0.001,0.008183306055646482,0.41959790485917736,0.0004836756358055782,green,0.036382125665184416,0.0016370165097730485
Chronos-Small,FTSE100,ACI (first-half $\gamma$),0.001,0.0005455537370430987,7.208380453163594e-08,5.020856080033001e-07,green,0.11244412408511108,0.0018938082820796397
Chronos-Small,GBPUSD,Conformal static,0.05,0.0056782334384858045,0.059802583131664463,0.16156392385095836,green,0.016420214314950846,0.00039457670134877474
Chronos-Small,GBPUSD,Conformal rolling $w{=}250$,0.05,0.008832807570977918,0.6337277510885934,0.2506656757931953,green,0.015182199331954874,0.00046362098549207497
Chronos-Small,GBPUSD,ACI (first-half $\gamma$),0.05,0.0012618296529968455,9.84223596886485e-06,5.694482035383767e-05,green,0.034191322499053246,0.009590672636802498
Chronos-Small,GDAXI,Conformal static,0.001,0.005425935973955507,0.03067614254089579,0.0916220662946285,green,0.04115779198410037,0.0008422258181048573
Chronos-Small,GDAXI,Conformal rolling $w{=}250$,0.001,0.010309278350515464,0.8943749846942326,0.00011162972481365905,green,0.039785024953289734,0.0015708443099321202
Chronos-Small,GDAXI,ACI (first-half $\gamma$),0.001,0.0005425935973955507,6.5345934174585e-08,4.5655648965583106e-07,green,0.12684675021831454,0.0023391303040462916
Chronos-Small,GOLD,Conformal static,0.05,0.007909604519774011,0.35893888054701295,0.16694957711128777,yellow,0.03224496041196369,0.0006617844625630349
