asset,corr_flip,pi_flip,corr_ok,pi_ok
IBGL,0.8707834441125405,0.0464926590538336,-0.870783444136785,0.0024469820554649264
USDJPY,0.7654991632487115,0.0015889830508474577,-0.7654991632065395,0.012711864406779662
CBU0,0.7609484308678099,0.11475409836065574,-0.7609484307748723,0.005122950819672131
NATGAS,0.7145953062739463,0.07453416149068323,-0.7145953062305137,0.015245623941276116
ETH,0.6859508258838433,0.0026246719160104987,-0.6859508257528101,0.007874015748031496
GOLD,0.6526569899065453,0.003389830508474576,-0.6526569899174798,0.012429378531073447
FTSE100,0.6331089263940247,0.006001091107474086,-0.6331089264211807,0.011456628477905073
GBPUSD,0.6198680945893292,0.0018927444794952682,-0.6198680947339033,0.008201892744479496
EURUSD,0.6049296918907537,0.0,-0.6049296917974181,0.01390644753476612
NIFTY,0.5874358127429677,0.0016556291390728477,-0.5874358128854886,0.008278145695364239
STOXX,0.5477109488084684,0.0006675567423230974,-0.5477109487750328,0.00801068090787717
HSI,0.5431674673811001,0.002242152466367713,-0.5431674675031469,0.011771300448430493
GDAXI,0.5190494688160848,0.0032555615843733042,-0.5190494689039165,0.016820401519262073
ASX200,0.5016062164603163,0.009274413529732678,-0.5016062164718152,0.013638843426077468
AUDUSD,0.47853742832499097,0.0007168458781362007,-0.4785374283021452,0.007168458781362007
FCHI,0.4699834258843775,0.004310344827586207,-0.469983425922922,0.014547413793103448
BOVESPA,0.4602450211439275,0.008918617614269788,-0.46024502112278715,0.012263099219620958
ICLN,0.4202766502319843,0.0008438818565400844,-0.4202766502144991,0.004219409282700422
TLT,0.41554806463065197,0.028203556100551808,-0.41554806471682837,0.009809932556713672
BTC,0.4141281679644345,0.0,-0.4141281680198979,0.0018066847335140017
SP500,0.33363997502638487,0.004934210526315789,-0.33363997505703674,0.013157894736842105
DJCI,0.3291049093854513,0.020202020202020204,-0.3291049094292515,0.027417027417027416
WTI,0.28374655870791615,0.011851015801354402,-0.28374655867076576,0.01636568848758465
NIKKEI,0.11543093379471503,0.0028216704288939053,-0.11543093381831325,0.012415349887133182
