method,reference,block_calendar_days,draws,difference,lower,upper,simultaneous_lower,simultaneous_upper,simultaneous_family_size
Raw,Shift-CP,20,999,0.15929243240443172,0.0242436451303282,0.3071990910962559,-0.028428612996941494,0.34701347780580494,8.0
Shift-ERM,Shift-CP,20,999,-0.005906344607051303,-0.014406319678536934,0.003383476215695811,,,
Vol-CP,Shift-CP,20,999,-0.01945819355338564,-0.06427125087904496,0.018713505944120832,,,
Vol-ERM,Shift-CP,20,999,-0.032121454680556744,-0.08198621300429287,0.012950833571135726,-0.0961948389064297,0.03195192954531621,8.0
State2-ERM,Shift-CP,20,999,-0.0038848203714385385,-0.04774020747169843,0.04057879470336999,,,
State4-ERM,Shift-CP,20,999,0.040504558200529436,-0.018982951573375286,0.11325089884168504,,,
State-L1,Shift-CP,20,999,0.012378989386652205,-0.029191167892434193,0.05784250782041873,-0.04473774311895299,0.0694957218922574,8.0
State-L1-clipped,Shift-CP,20,999,0.002685288138369493,-0.03842466686717689,0.04690047084035789,,,
POT-Shift,Shift-CP,20,999,-0.013056947412841977,-0.024548746953276843,0.00037579041769902547,-0.029669570102120596,0.003555675276436644,8.0
POT-Vol,Shift-CP,20,999,-0.017347270570255133,-0.07083234600394468,0.031704161625047224,-0.08309049775971948,0.048395956619209216,8.0
ACI-existing,Shift-CP,20,999,0.20734543959290433,0.11011038448740056,0.29936619809781895,,,
DtACI-projected-seed,Shift-CP,20,999,0.13227082952892047,0.029647671636917276,0.21469392400855483,,,
DtACI-projected-expected,Shift-CP,20,999,0.13761876284830607,0.03944763411798606,0.2238703150371755,0.014978787333599572,0.26025873836301255,8.0
Rolling250,Shift-CP,20,999,0.2594136436767088,0.1410578363133869,0.3680719981698143,,,
Rolling500,Shift-CP,20,999,0.0853570393171679,0.01247783691729905,0.15568266970365804,,,
Selected-rolling,Shift-CP,20,999,0.11860155059450996,0.04980253281373494,0.18218533194591083,,,
Gate-selected-rolling,Shift-CP,20,999,0.0942559058284703,0.026358497291486534,0.1585839335217624,,,
