model,asset,w,k,is_max,n,mean_shift,sd_shift,pi_hat
Chronos-Small,ASX200,125,125,1,5609,0.028582925317153465,0.01716677743141978,0.010162239258334819
Chronos-Small,ASX200,250,249,0,5609,0.02810897053345688,0.014802170493034065,0.009805669459796756
Chronos-Small,ASX200,500,496,0,5609,0.026151850185490582,0.011583355457243002,0.01301479764663933
Chronos-Small,AUDUSD,125,125,1,4147,0.018146691427688568,0.00884111003274086,0.008198697853870267
Chronos-Small,AUDUSD,250,249,0,4147,0.01751344126227364,0.004889303445185456,0.008680974198215577
Chronos-Small,AUDUSD,500,496,0,4147,0.017234230102706038,0.00732451657941549,0.008439836026042922
Chronos-Small,BOVESPA,125,125,1,5480,0.04369927485611935,0.026466918077560565,0.009124087591240875
Chronos-Small,BOVESPA,250,249,0,5480,0.044345386766222766,0.027361579697020338,0.008211678832116789
Chronos-Small,BOVESPA,500,496,0,5480,0.04009463529236,0.01701519601919683,0.010948905109489052
Chronos-Small,BTC,125,125,1,3188,0.12212932440022448,0.07947952546507935,0.007841907151819323
Chronos-Small,BTC,250,249,0,3188,0.10341243450224881,0.033983288251010914,0.007214554579673777
Chronos-Small,BTC,500,496,0,3188,0.09481082984015354,0.023440634006348215,0.00878293601003764
Chronos-Small,CBU0,125,125,1,2753,0.010908252284638521,0.006573499431911625,0.007991282237559027
Chronos-Small,CBU0,250,249,0,2753,0.009642307544047055,0.0029139217570300696,0.009081002542680712
Chronos-Small,CBU0,500,496,0,2753,0.008744454280246415,0.0020770538385969776,0.012713403559752997
Chronos-Small,DJCI,125,125,1,1810,0.025389972887170414,0.00949311111040573,0.008287292817679558
Chronos-Small,DJCI,250,249,0,1810,0.024361209405518183,0.00866404808787413,0.010497237569060774
Chronos-Small,DJCI,500,496,0,1810,0.02148906429174673,0.005229548097846058,0.011602209944751382
Chronos-Small,ETH,125,125,1,2038,0.1351979719885158,0.06150229975485346,0.009813542688910697
Chronos-Small,ETH,250,249,0,2038,0.12389998402639499,0.039453065928715454,0.009322865554465163
Chronos-Small,ETH,500,496,0,2038,0.11035622016012711,0.026720602801454846,0.012757605495583905
Chronos-Small,EURUSD,125,125,1,4771,0.020134445221656982,0.023871191353909346,0.007964787256340389
Chronos-Small,EURUSD,250,249,0,4771,0.01869241813135207,0.019016741067471008,0.008593586250261999
Chronos-Small,EURUSD,500,496,0,4771,0.01596658763553814,0.011792840158460929,0.01341437853699434
Chronos-Small,FCHI,125,125,1,5686,0.03586096686682971,0.021057288210623967,0.009848751319029195
Chronos-Small,FCHI,250,249,0,5686,0.035927655483908194,0.01713958651654111,0.009321139641224059
Chronos-Small,FCHI,500,496,0,5686,0.03439133252116194,0.011816436109370516,0.012486809708054871
Chronos-Small,FTSE100,125,125,1,5608,0.030004940358323944,0.018892734770832604,0.010520684736091298
Chronos-Small,FTSE100,250,249,0,5608,0.030776452852359106,0.01651383017183816,0.010520684736091298
Chronos-Small,FTSE100,500,496,0,5608,0.028067924332720817,0.010603161358642463,0.012125534950071327
Chronos-Small,GBPUSD,125,125,1,4783,0.01725716894966435,0.012681605534845573,0.009617394940413967
Chronos-Small,GBPUSD,250,249,0,4783,0.015175355680100614,0.005798426802527737,0.010453690152623877
Chronos-Small,GBPUSD,500,496,0,4783,0.014227413977389474,0.004767414576805075,0.011499059167886265
Chronos-Small,GDAXI,125,125,1,5642,0.03517776509934502,0.019758038319525578,0.008684863523573201
Chronos-Small,GDAXI,250,249,0,5642,0.035356601558491664,0.01537161380502867,0.008862105636299186
Chronos-Small,GDAXI,500,496,0,5642,0.034468455056175136,0.011439396971539464,0.012584190003544842
Chronos-Small,GOLD,125,125,1,5397,0.034714332492621264,0.017843940823081973,0.008708541782471744
Chronos-Small,GOLD,250,249,0,5397,0.03371489641136815,0.012848118173393545,0.009079118028534372
Chronos-Small,GOLD,500,496,0,5397,0.029453565334371785,0.00793403772223328,0.013155456735223272
Chronos-Small,HSI,125,125,1,5444,0.04096963198701002,0.026518823653001598,0.011204996326230713
Chronos-Small,HSI,250,249,0,5444,0.03700693742870413,0.017504005003799047,0.010837619397501837
Chronos-Small,HSI,500,496,0,5444,0.034524516637222724,0.012767237606576448,0.01322556943423953
Chronos-Small,IBGL,125,125,1,3586,0.025149327694868218,0.021021578786715112,0.009202453987730062
Chronos-Small,IBGL,250,249,0,3586,0.021715908074032394,0.006478187346515959,0.008365867261572783
Chronos-Small,IBGL,500,496,0,3586,0.019675899938918887,0.0035411705072619913,0.009481316229782488
Chronos-Small,ICLN,125,125,1,3447,0.0429080308170315,0.022132270732873126,0.010153756890049319
