family,method,reference,cell,kind,n,horizon,h_factor,h,h_star,d,z_alpha,g,constant_population_target,primary,predicted_delta,mean_delta,MCSE,simultaneous_lower,simultaneous_upper,critical,leading_prediction,discrepancy,n_scaled_delta,n_scaled_prediction
primary,Vol-ERM,Shift-ERM,normal_n250_h0.5,normal,250,107,0.5,2.6397966760143885,5.279593352028777,0.16695540111894092,-2.3263478740408408,0.02665214220345808,0.2276186416577799,False,0.000185726158978611,0.00015950762616146732,1.823247136727654e-05,0.0001111254944857821,0.00020788975783715254,2.6536244429551656,0.000185726158978611,-2.6218532817143676e-05,0.03987690654036683,0.04643153974465275
primary,Vol-ERM,Shift-ERM,normal_n250_h2,normal,250,107,2.0,10.559186704057554,5.279593352028777,0.6678216044757637,-2.3263478740408408,0.02665214220345808,0.9799797103391393,False,-0.0007429046359144438,-0.0009914129810821236,2.0245446403849175e-05,-0.0010451367925179166,-0.0009376891696463307,2.6536244429551656,-0.0007429046359144438,-0.00024850834516767985,-0.2478532452705309,-0.18572615897861094
primary,Vol-ERM,Shift-ERM,normal_n1000_h0.5,normal,1000,428,0.5,2.6397966760143885,5.279593352028777,0.08347770055947046,-2.3263478740408408,0.02665214220345808,0.11253041605855164,True,4.643153974465275e-05,3.7018815100438375e-05,4.086682850928573e-06,2.617429359660861e-05,4.786333660426814e-05,2.6536244429551656,4.643153974465275e-05,-9.412724644214375e-06,0.037018815100438376,0.04643153974465275
primary,Vol-ERM,Shift-ERM,normal_n1000_h2,normal,1000,428,2.0,10.559186704057554,5.279593352028777,0.33391080223788183,-2.3263478740408408,0.02665214220345808,0.466086120026335,True,-0.00018572615897861095,-0.00022039336394144611,4.4694057582608276e-06,-0.00023225348830705161,-0.00020853323957584062,2.6536244429551656,-0.00018572615897861095,-3.466720496283517e-05,-0.22039336394144612,-0.18572615897861094
primary,Vol-ERM,Shift-ERM,normal_n4000_h0.5,normal,4000,1714,0.5,2.6397966760143885,5.279593352028777,0.04173885027973523,-2.3263478740408408,0.02665214220345808,0.05595525217665432,False,1.1607884936163188e-05,1.0007770042127792e-05,8.644665064237355e-07,7.71380059056571e-06,1.2301739493689875e-05,2.6536244429551656,1.1607884936163188e-05,-1.6001148940353951e-06,0.04003108016851117,0.04643153974465275
primary,Vol-ERM,Shift-ERM,normal_n4000_h2,normal,4000,1714,2.0,10.559186704057554,5.279593352028777,0.16695540111894092,-2.3263478740408408,0.02665214220345808,0.2276186416577799,False,-4.6431539744652737e-05,-5.0304062538416115e-05,9.031232418317711e-07,-5.2700612447941815e-05,-4.7907512628890414e-05,2.6536244429551656,-4.6431539744652737e-05,-3.872522793763378e-06,-0.20121625015366446,-0.18572615897861094
primary,Vol-ERM,Shift-ERM,t5_n250_h0.5,t5,250,107,0.5,4.994760313861343,9.989520627722685,0.31589637916838653,-2.6064635693843234,0.014086008532201327,0.433635227919473,False,0.000351412537390138,0.00032897577455616716,3.864596505503919e-05,0.000226423897064524,0.0004315276520478103,2.6536244429551656,0.000351412537390138,-2.2436762833970823e-05,0.08224394363904179,0.0878531343475345
primary,Vol-ERM,Shift-ERM,t5_n250_h2,t5,250,107,2.0,19.97904125544537,9.989520627722685,1.2635855166735461,-2.6064635693843234,0.014086008532201327,1.9033956301903123,False,-0.0014056501495605524,-0.0018330737149065339,4.419360521877633e-05,-0.0019503469459373898,-0.001715800483875678,2.6536244429551656,-0.0014056501495605524,-0.0004274235653459815,-0.4582684287266335,-0.3514125373901381
primary,Vol-ERM,Shift-ERM,t5_n1000_h0.5,t5,1000,428,0.5,4.994760313861343,9.989520627722685,0.15794818958419327,-2.6064635693843234,0.014086008532201327,0.21362985161524506,False,8.78531343475345e-05,8.14388505375164e-05,7.854374199670764e-06,6.059629117715364e-05,0.00010228140989787915,2.6536244429551656,8.78531343475345e-05,-6.4142838100180995e-06,0.0814388505375164,0.0878531343475345
primary,Vol-ERM,Shift-ERM,t5_n1000_h2,t5,1000,428,2.0,19.97904125544537,9.989520627722685,0.6317927583367731,-2.6064635693843234,0.014086008532201327,0.8943645834451651,False,-0.0003514125373901381,-0.0004097664112120688,8.831219141241499e-06,-0.00043320115018636077,-0.0003863316722377768,2.6536244429551656,-0.0003514125373901381,-5.8353873821930695e-05,-0.4097664112120688,-0.3514125373901381
