model,w,series,gain_x1e4,raw_pi_pct,cp_pi_pct,raw_green,cp_green,series_gain_positive,convergence_failures,mean_n_test
GJR-GARCH,250,24,0.11636164356948624,1.8901895800057495,1.0485902364487099,9,22,18,0,1603.0416666666667
GJR-GARCH,500,24,0.14958436987478424,1.8651225687662296,1.1122340637070838,7,22,21,0,1528.0
GJR-GARCH,1000,24,0.1485652668908051,1.864936669999938,1.176743912113018,9,22,20,0,1378.0833333333333
GARCH-N,250,24,0.1501180170845062,1.9253652973664492,1.040751501592575,8,21,19,0,1603.0416666666667
GARCH-N,500,24,0.16697266054512003,1.9066058948776905,1.0558483328250845,8,23,21,0,1528.0
GARCH-N,1000,24,0.13442833531294132,1.8886772889636725,1.1808374549581078,11,21,19,0,1378.0833333333333
EWMA,250,24,0.2175846384961168,2.0750876026377916,1.1429688224235166,5,20,21,0,1603.0416666666667
EWMA,500,24,0.24178397310591235,2.0729503658266184,1.1373789692276532,5,21,23,0,1528.0
EWMA,1000,24,0.28071132091109136,2.0960965967874596,1.1112833330054688,6,21,24,0,1378.0833333333333
Hist-Sim,250,24,0.09728645383826433,1.5818797088326915,1.0766466372430663,12,22,20,0,1603.0416666666667
Hist-Sim,500,24,0.01231778686474915,1.3657261450329958,1.0519034698378054,20,22,14,0,1528.0
Hist-Sim,1000,24,-0.03838840873742642,1.2323157149987365,1.0777569754761374,19,21,12,0,1378.0833333333333
