method,pairs,scaled_Green,scaled_Yellow,scaled_Red,binomial_Green,binomial_Yellow,binomial_Red,moved_down
Raw,240,111,128,1,91,87,62,81
Shift-CP,240,232,8,0,218,22,0,14
Shift-ERM,240,232,8,0,216,24,0,16
Vol-CP,240,228,12,0,219,20,1,10
Vol-ERM,240,221,19,0,213,23,4,12
State2-ERM,240,224,16,0,201,37,2,25
State4-ERM,240,215,25,0,195,38,7,27
State-L1,240,224,15,1,202,35,3,24
State-L1-clipped,240,225,15,0,203,35,2,24
POT-Shift,240,233,7,0,221,19,0,12
POT-Vol,240,232,8,0,224,16,0,8
ACI-existing,240,235,5,0,223,16,1,13
DtACI-projected-seed,240,221,19,0,179,61,0,42
Rolling250,240,237,3,0,232,7,1,6
Rolling500,240,236,4,0,232,8,0,4
Selected-rolling,240,235,5,0,234,6,0,1
Gate-selected-rolling,240,231,9,0,228,12,0,3
Loss-gate,240,151,89,0,129,82,29,51
Past-minimum,240,211,29,0,194,42,4,21
