model,asset,method,n_test,viol,pihat,TL,scaled_zone,binomial_zone
PatchTST-FM,ASX200,Raw,1868,40.0,0.0214132762312633,Yellow,Yellow,Red
PatchTST-FM,ASX200,Shift-CP,1868,17.0,0.0091006423982869,Green,Green,Green
PatchTST-FM,ASX200,Shift-ERM,1868,17.0,0.0091006423982869,Green,Green,Green
PatchTST-FM,ASX200,Vol-CP,1868,21.0,0.0112419700214132,Green,Green,Green
PatchTST-FM,ASX200,Vol-ERM,1868,21.0,0.0112419700214132,Green,Green,Green
PatchTST-FM,ASX200,State2-ERM,1868,23.0,0.0123126338329764,Green,Green,Green
PatchTST-FM,ASX200,State4-ERM,1868,22.0,0.0117773019271948,Green,Green,Green
PatchTST-FM,ASX200,State-L1,1868,23.0,0.0123126338329764,Green,Green,Green
PatchTST-FM,ASX200,State-L1-clipped,1868,23.0,0.0123126338329764,Green,Green,Green
PatchTST-FM,ASX200,POT-Shift,1868,17.0,0.0091006423982869,Green,Green,Green
PatchTST-FM,ASX200,POT-Vol,1868,21.0,0.0112419700214132,Green,Green,Green
PatchTST-FM,ASX200,ACI-existing,1868,21.0,0.0112419700214132,Green,Green,Green
PatchTST-FM,ASX200,DtACI-projected-seed,1868,21.0,0.0112419700214132,Green,Green,Green
PatchTST-FM,ASX200,Rolling250,1868,17.0,0.0091006423982869,Green,Green,Green
PatchTST-FM,ASX200,Rolling500,1868,23.0,0.0123126338329764,Green,Green,Green
PatchTST-FM,ASX200,Selected-rolling,1868,17.0,0.0091006423982869,Green,Green,Green
PatchTST-FM,ASX200,Gate-selected-rolling,1868,17.0,0.0091006423982869,Green,Green,Green
PatchTST-FM,ASX200,Loss-gate,1868,40.0,0.0214132762312633,Yellow,Yellow,Red
PatchTST-FM,ASX200,Past-minimum,1868,21.0,0.0112419700214132,Green,Green,Green
PatchTST-FM,ASX200,DtACI-projected-expected,1868,23.79727461275062,0.0127394403708515,,,
PatchTST-FM,AUDUSD,Raw,1430,21.0,0.0146853146853146,Green,Green,Yellow
PatchTST-FM,AUDUSD,Shift-CP,1430,13.0,0.009090909090909,Green,Green,Green
PatchTST-FM,AUDUSD,Shift-ERM,1430,14.0,0.0097902097902097,Green,Green,Green
PatchTST-FM,AUDUSD,Vol-CP,1430,14.0,0.0097902097902097,Green,Green,Green
PatchTST-FM,AUDUSD,Vol-ERM,1430,14.0,0.0097902097902097,Green,Green,Green
PatchTST-FM,AUDUSD,State2-ERM,1430,13.0,0.009090909090909,Green,Green,Green
PatchTST-FM,AUDUSD,State4-ERM,1430,13.0,0.009090909090909,Green,Green,Green
PatchTST-FM,AUDUSD,State-L1,1430,14.0,0.0097902097902097,Green,Green,Green
PatchTST-FM,AUDUSD,State-L1-clipped,1430,14.0,0.0097902097902097,Green,Green,Green
PatchTST-FM,AUDUSD,POT-Shift,1430,13.0,0.009090909090909,Green,Green,Green
PatchTST-FM,AUDUSD,POT-Vol,1430,12.0,0.0083916083916083,Green,Green,Green
PatchTST-FM,AUDUSD,ACI-existing,1430,17.0,0.0118881118881118,Green,Green,Green
PatchTST-FM,AUDUSD,DtACI-projected-seed,1430,18.0,0.0125874125874125,Green,Green,Green
PatchTST-FM,AUDUSD,Rolling250,1430,12.0,0.0083916083916083,Green,Green,Green
PatchTST-FM,AUDUSD,Rolling500,1430,13.0,0.009090909090909,Green,Green,Green
PatchTST-FM,AUDUSD,Selected-rolling,1430,13.0,0.009090909090909,Green,Green,Green
PatchTST-FM,AUDUSD,Gate-selected-rolling,1430,21.0,0.0146853146853146,Green,Green,Yellow
PatchTST-FM,AUDUSD,Loss-gate,1430,21.0,0.0146853146853146,Green,Green,Yellow
PatchTST-FM,AUDUSD,Past-minimum,1430,14.0,0.0097902097902097,Green,Green,Green
PatchTST-FM,AUDUSD,DtACI-projected-expected,1430,17.49515132888564,0.0122343715586612,,,
PatchTST-FM,BOVESPA,Raw,1829,30.0,0.0164024056861673,Yellow,Yellow,Yellow
PatchTST-FM,BOVESPA,Shift-CP,1829,15.0,0.0082012028430836,Green,Green,Green
PatchTST-FM,BOVESPA,Shift-ERM,1829,16.0,0.0087479496992892,Green,Green,Green
PatchTST-FM,BOVESPA,Vol-CP,1829,20.0,0.0109349371241115,Green,Green,Green
PatchTST-FM,BOVESPA,Vol-ERM,1829,15.0,0.0082012028430836,Green,Green,Green
PatchTST-FM,BOVESPA,State2-ERM,1829,29.0,0.0158556588299617,Green,Green,Yellow
PatchTST-FM,BOVESPA,State4-ERM,1829,24.0,0.0131219245489338,Green,Green,Green
PatchTST-FM,BOVESPA,State-L1,1829,25.0,0.0136686714051394,Green,Green,Green
PatchTST-FM,BOVESPA,State-L1-clipped,1829,24.0,0.0131219245489338,Green,Green,Green
PatchTST-FM,BOVESPA,POT-Shift,1829,14.0,0.007654455986878,Green,Green,Green
PatchTST-FM,BOVESPA,POT-Vol,1829,14.0,0.007654455986878,Green,Green,Green
PatchTST-FM,BOVESPA,ACI-existing,1829,24.0,0.0131219245489338,Green,Green,Green
