n_test,yellow_from,red_from,green_ceiling_rate,red_boundary_rate,scaled_green_ceiling_rate,scaled_red_boundary_rate,assets
765,12,20,0.01437908496732026,0.026143790849673203,0.016,0.036,DJCI
812,13,21,0.014778325123152709,0.02586206896551724,0.016,0.036,ETH
1010,16,24,0.01485148514851485,0.023762376237623763,0.016,0.036,CBU0
1157,17,26,0.013828867761452032,0.02247191011235955,0.016,0.036,BTC
1219,18,27,0.01394585726004922,0.022149302707136997,0.016,0.036,ICLN
1242,18,27,0.013687600644122383,0.021739130434782608,0.016,0.036,NIFTY
1260,19,28,0.014285714285714285,0.022222222222222223,0.016,0.036,IBGL
1309,19,28,0.013750954927425516,0.0213903743315508,0.016,0.036,UNG
1386,20,30,0.013708513708513708,0.021645021645021644,0.016,0.036,USO
1430,21,30,0.013986013986013986,0.02097902097902098,0.016,0.036,AUDUSD
1490,21,31,0.013422818791946308,0.02080536912751678,0.016,0.036,GLD
1532,22,32,0.01370757180156658,0.020887728459530026,0.016,0.036,STOXX
1617,23,33,0.013605442176870748,0.02040816326530612,0.016,0.036,EURUSD
1621,23,33,0.013571869216533004,0.020357803824799507,0.016,0.036,GBPUSD
1665,24,34,0.013813813813813814,0.02042042042042042,0.016,0.036,TLT
1806,25,36,0.013289036544850499,0.019933554817275746,0.016,0.036,NIKKEI
1817,25,36,0.013208585580627407,0.01981287837094111,0.016,0.036,HSI
1829,26,36,0.01366867140513942,0.019682886823400764,0.016,0.036,BOVESPA
1858,26,36,0.013455328310010764,0.0193756727664155,0.016,0.036,SP500
1867,26,37,0.01339046598821639,0.01981788966256026,0.016,0.036,FTSE100
1868,26,37,0.013383297644539615,0.01980728051391863,0.016,0.036,ASX200
1878,26,37,0.013312034078807242,0.019701810436634718,0.016,0.036,GDAXI
1891,26,37,0.013220518244315178,0.01956636700158646,0.016,0.036,FCHI
1923,27,37,0.013520540821632865,0.01924076963078523,0.016,0.036,USDJPY
