method,reference,block_calendar_days,draws,difference,lower,upper,simultaneous_lower,simultaneous_upper,simultaneous_family_size
Raw,Shift-CP,20,999,0.1752389302256879,0.020586479770089913,0.35669255414027146,,,
Shift-ERM,Shift-CP,20,999,-0.006662648884531554,-0.013484601478797374,0.0017171286960453115,,,
Vol-CP,Shift-CP,20,999,-0.025900233829723306,-0.0794877443089291,0.018689929143441145,,,
Vol-ERM,Shift-CP,20,999,-0.04304587150366418,-0.10474095223532366,0.010758941188042031,,,
State2-ERM,Shift-CP,20,999,-0.016094260849983024,-0.06494846477307788,0.02964061775163907,,,
State4-ERM,Shift-CP,20,999,0.01588237386668603,-0.05583322725518248,0.09387819533733816,,,
State-L1,Shift-CP,20,999,0.009977174153217878,-0.03775939434849535,0.05838357762387888,-0.053448582701663166,0.07340293100809892,6.0
State-L1-clipped,Shift-CP,20,999,-0.005517987699050933,-0.05249793603801653,0.03946871271694484,,,
POT-Shift,Shift-CP,20,999,-0.018544736045091527,-0.032703174681675155,-0.001585279620660878,-0.038052615772550785,0.0009631436823677349,6.0
POT-Vol,Shift-CP,20,999,-0.03121644490916174,-0.09497352848871471,0.021737954537289026,-0.10707704879443124,0.04464415897610775,6.0
ACI-existing,Shift-CP,20,999,0.19970455179829985,0.09825316344097325,0.3000418677635866,,,
DtACI-projected-seed,Shift-CP,20,999,0.11693258382986242,-0.0010603973796278314,0.2276423773359202,,,
DtACI-projected-expected,Shift-CP,20,999,0.11184949239531508,0.0010343085811381739,0.21791481463817103,-0.030339662347863477,0.25403864713849367,6.0
Rolling250,Shift-CP,20,999,0.2537257504928327,0.12776236922549433,0.3687460574772625,,,
Rolling500,Shift-CP,20,999,0.07166369627644971,-0.010478374305345197,0.1575962235008785,,,
Selected-rolling,Shift-CP,20,999,0.10528371985012554,0.019530844937619113,0.18941761370667987,,,
Gate-selected-rolling,Shift-CP,20,999,0.09307296000965015,0.007012078419697693,0.18035265082498853,,,
Loss-gate,Shift-CP,20,999,0.055337688802823075,-0.06254003863853679,0.19006263209641905,-0.11103243980531749,0.22170781741096365,6.0
Past-minimum,Shift-CP,20,999,-0.0029139540139752444,-0.07452558408762158,0.07439246460606697,-0.09784886099789329,0.0920209529699428,6.0
Loss-gate,Raw,20,999,-0.11990124142286483,-0.18734749846266266,-0.061874755311236686,,,
Loss-gate,Vol-ERM,20,999,0.09838356030648725,-0.013475549813164546,0.21634707820616664,,,
