model,asset,gate_selected,past_minimum_selected,state_p,state_penalty,pot_shift_threshold,pot_vol_threshold
Moirai-1.1,ASX200,Raw,Inner-Vol,2,0.001,0.9,0.9
Moirai-1.1,AUDUSD,Raw,Raw,4,0.01,0.95,0.9
Moirai-1.1,BOVESPA,Raw,Inner-Vol,2,0.001,0.9,0.95
Moirai-1.1,BTC,Raw,Inner-Vol,2,1.0,0.9,0.95
Moirai-1.1,CBU0,Raw,Raw,2,0.001,0.9,0.95
Moirai-1.1,DJCI,Raw,Inner-Vol,2,0.001,0.95,0.95
Moirai-1.1,ETH,Raw,Raw,4,0.001,0.95,0.95
Moirai-1.1,EURUSD,Raw,Raw,2,0.001,0.95,0.95
Moirai-1.1,FCHI,Raw,Inner-Vol,2,1.0,0.9,0.95
Moirai-1.1,FTSE100,Raw,Inner-Vol,2,0.0001,0.95,0.9
Moirai-1.1,GBPUSD,Raw,Inner-Vol,4,0.001,0.9,0.9
Moirai-1.1,GDAXI,Inner-Shift,Inner-Vol,2,0.001,0.9,0.9
Moirai-1.1,GLD,Raw,Rolling500,2,0.001,0.9,0.9
Moirai-1.1,HSI,Raw,Inner-Shift,4,0.01,0.9,0.9
Moirai-1.1,IBGL,Raw,Raw,2,0.001,0.95,0.95
Moirai-1.1,ICLN,Raw,Inner-Vol,4,0.001,0.9,0.9
Moirai-1.1,NIFTY,Raw,Rolling500,4,0.0001,0.9,0.9
Moirai-1.1,NIKKEI,Inner-Vol,Inner-Vol,2,0.01,0.9,0.9
Moirai-1.1,SP500,Inner-Shift,Inner-Vol,2,1.0,0.9,0.9
Moirai-1.1,STOXX,Raw,Inner-Vol,4,0.0001,0.95,0.9
Moirai-1.1,TLT,Raw,Raw,4,0.001,0.95,0.95
Moirai-1.1,UNG,Inner-Vol,Rolling500,2,0.0001,0.9,0.9
Moirai-1.1,USDJPY,Raw,Raw,2,0.001,0.95,0.95
Moirai-1.1,USO,Raw,Inner-Vol,4,0.0,0.9,0.9
Lag-Llama,ASX200,Inner-Vol,Inner-Vol,2,0.001,0.95,0.9
Lag-Llama,AUDUSD,Rolling500,Rolling500,4,0.01,0.95,0.95
Lag-Llama,BOVESPA,Rolling500,Inner-Vol,4,0.001,0.95,0.95
Lag-Llama,BTC,Raw,Inner-Shift,4,0.01,0.9,0.95
Lag-Llama,CBU0,Inner-Shift,Inner-Vol,4,0.0001,0.95,0.95
Lag-Llama,DJCI,Inner-Shift,Inner-Vol,4,0.001,0.95,0.95
Lag-Llama,ETH,Raw,Raw,4,0.0001,0.95,0.95
Lag-Llama,EURUSD,Raw,Inner-Vol,4,0.0001,0.9,0.95
Lag-Llama,FCHI,Inner-Vol,Inner-Vol,4,0.0001,0.9,0.95
Lag-Llama,FTSE100,Inner-Vol,Inner-Vol,4,0.0001,0.95,0.9
Lag-Llama,GBPUSD,Raw,Inner-Vol,2,0.0001,0.95,0.95
Lag-Llama,GDAXI,Inner-Vol,Inner-Vol,2,0.0001,0.95,0.9
Lag-Llama,GLD,Rolling500,Inner-Vol,2,0.0001,0.95,0.9
Lag-Llama,HSI,Inner-Vol,Inner-Vol,2,0.0001,0.9,0.9
Lag-Llama,IBGL,Raw,Inner-Vol,2,0.001,0.95,0.95
Lag-Llama,ICLN,Inner-Shift,Inner-Vol,4,0.001,0.9,0.9
Lag-Llama,NIFTY,Inner-Shift,Inner-Vol,4,0.001,0.9,0.9
Lag-Llama,NIKKEI,Inner-Vol,Inner-Vol,4,0.001,0.95,0.9
Lag-Llama,SP500,Inner-Vol,Inner-Vol,2,0.01,0.95,0.9
Lag-Llama,STOXX,Raw,Inner-Vol,4,0.0,0.9,0.95
Lag-Llama,TLT,Rolling500,Inner-Vol,2,0.001,0.95,0.95
Lag-Llama,UNG,Inner-Vol,Inner-Vol,2,0.0,0.9,0.9
Lag-Llama,USDJPY,Raw,Inner-Vol,4,0.001,0.9,0.95
Lag-Llama,USO,Inner-Shift,Inner-Vol,4,0.001,0.95,0.9
GJR-GARCH,ASX200,Inner-Vol,Inner-Shift,4,0.001,0.9,0.9
GJR-GARCH,AUDUSD,Raw,Raw,2,0.001,0.95,0.9
GJR-GARCH,BOVESPA,Raw,Raw,2,0.0001,0.95,0.95
GJR-GARCH,BTC,Raw,Inner-Shift,2,0.0001,0.95,0.95
GJR-GARCH,CBU0,Inner-Vol,Inner-Shift,4,0.001,0.9,0.95
GJR-GARCH,DJCI,Inner-Shift,Rolling500,4,0.0001,0.9,0.9
GJR-GARCH,ETH,Raw,Raw,4,0.001,0.95,0.95
