method,pairs,QS,normalised_QS,violation_rate,width,kupiec_rejections,kupiec_available,test_observations,worse_than_raw,QS_x10000
ACI-existing,168,0.0004936041646296113,0.03347309584587762,0.012278976933070824,0.037897174985540134,5,168,263179,97,4.936041646296113
DtACI-projected-expected,168,0.0004848186586893149,0.03289121183466534,0.012666514395379786,0.03653280757359499,0,0,263179,88,4.848186586893148
DtACI-projected-seed,168,0.0004853269678327667,0.03291807925614056,0.012746973609441846,0.0365446355925086,20,168,263179,86,4.853269678327667
Gate-selected-rolling,168,0.00048294100545075115,0.03281615777112609,0.010322227234156336,0.0377445005621781,4,168,263179,61,4.829410054507512
Loss-gate,168,0.0004791674783300667,0.032479534511109145,0.015097620443787601,0.03290232907049649,72,168,263179,5,4.791674783300667
POT-Shift,168,0.00047177923584527796,0.032005449133094596,0.009170615781821836,0.03711335534819563,29,168,263179,35,4.71779235845278
POT-Vol,168,0.00047051206495886606,0.032216334802476654,0.009312855778972081,0.03721918927814232,28,168,263179,37,4.70512064958866
Past-minimum,168,0.0004733423140483875,0.03197474578195976,0.010997822201779875,0.03612526561832395,34,168,263179,31,4.733423140483875
Raw,168,0.0004911576024723548,0.03335272680939542,0.018516431708187547,0.03118351943628946,109,168,263179,0,4.911576024723548
Rolling250,168,0.0004990062844990661,0.03385988384655252,0.008880601197438063,0.04091229521909808,6,168,263179,109,4.9900628449906606
Rolling500,168,0.00048080007907743094,0.03266241795804906,0.010321359747963065,0.037372491137390836,0,168,263179,78,4.808000790774309
Selected-rolling,168,0.0004841620814347994,0.03292358192901216,0.010039456515306014,0.038104486010187934,1,168,263179,76,4.841620814347994
Shift-CP,168,0.0004736337094497827,0.03205107434007708,0.009483206450001853,0.03723451676533344,29,168,263179,36,4.736337094497827
Shift-ERM,168,0.0004729674445613292,0.03203087342213005,0.009747507077670213,0.0369302057497895,32,168,263179,34,4.729674445613292
State-L1,168,0.0004746314268651048,0.03202647552299998,0.01046383827938153,0.03679402479022468,34,168,263179,44,4.746314268651048
State-L1-clipped,168,0.0004730819106798792,0.03189749994506356,0.010340965454007285,0.03679428296512565,33,168,263179,41,4.730819106798792
State2-ERM,168,0.0004720242833647857,0.03188974567974093,0.010408323478852347,0.036853590416907486,32,168,263179,36,4.720242833647857
State4-ERM,168,0.00047522194683645235,0.03214570977677188,0.010936237517201382,0.03660053819912753,38,168,263179,55,4.752219468364523
Vol-CP,168,0.0004710436860668107,0.03190920910738816,0.009806965499698905,0.037168052766593886,24,168,263179,39,4.710436860668107
Vol-ERM,168,0.00046932912229941316,0.0318789414913175,0.010116112225001002,0.036657462016916505,32,168,263179,35,4.693291222994132
