model,asset,asset_label,window,n_cal,n_test,q_hat_V,q_hat_E,n_violations_cal,raw_pi_hat,raw_kupiec_p,raw_TL,raw_chr_p,raw_Z2,raw_Z3,corr_pi_hat,corr_kupiec_p,corr_TL,corr_chr_p,corr_Z2,corr_Z3,corr_gamma,corr_gap,raw_avg_var,corr_avg_var,var_increase_pct
GPT-3.5,CRIX,CRIX,30,599,257,-0.0024270249946274068,-0.009990571800989542,5,0.007782101167315175,0.71003584968699,G,,0.5632301714963457,-0.007782101167315175,0.011673151750972763,0.7928490508026104,G,,0.19337152252785494,-0.007782101167315175,0.9883268482490273,0.0016731517509727123,0.07811581409699896,0.07568878910237155,-3.106957307791347
GPT-3.5,CRIX,CRIX,45,588,253,0.004849417764420445,-0.004777316712369625,5,0.003952569169960474,0.27076082497574383,G,,0.8195167044881879,-0.003952569169960474,0.003952569169960474,0.27076082497574383,G,,0.8066579708091646,-0.003952569169960474,0.9960474308300395,0.006047430830039557,0.09082879942472218,0.09567821718914261,5.339075045728836
GPT-3.5,CRIX,CRIX,60,578,248,-0.018652161365760426,-0.007946443797993238,2,0.004032258064516129,0.2830501325030347,G,,0.8157109469416193,-0.004032258064516129,0.008064516129032258,0.7512396683249372,G,,0.6375940641860132,-0.004032258064516129,0.9919354838709677,0.001935483870967758,0.09861754127598356,0.07996537991022314,-18.91363455671836
GPT-3.5,CRIX,CRIX,90,557,239,-0.026841496752027426,-0.021001794907340915,1,0.0,1.0,G,,1.0,0.0,0.0041841004184100415,0.3065311663535747,G,,0.8003208601193159,0.0,0.99581589958159,0.005815899581590012,0.10909976418324448,0.08225826743121703,-24.60270831286523
GPT-3.5,CRIX,CRIX,120,536,230,-0.06523649706348614,-0.017010862700682222,1,0.0,1.0,G,,1.0,0.0,0.021739130434782608,0.12153468907317155,Y,,0.3881798511041912,0.0,0.9782608695652174,0.011739130434782585,0.11744803784684936,0.05221154078336327,-55.54498675282562
GPT-3.5,CRIX,CRIX,150,515,221,-0.06906744790845876,0.0,0,0.0,1.0,G,,1.0,0.0,0.013574660633484163,0.612483287913344,G,,0.6851155209278713,0.0,0.9864253393665159,0.003574660633484106,0.12370078641505326,0.05463333850659451,-55.834283604888924
GPT-3.5,SP500,S&P 500,30,401,173,-0.005808111402302379,-0.0034541083614563414,2,0.005780346820809248,0.5447185109527728,G,,0.7676938557716095,-0.005780346820809248,0.011560693641618497,0.8404498925205324,G,,0.4874903177625928,-0.005780346820809248,0.9884393063583815,0.0015606936416184825,0.02217822165219244,0.016370110249890057,-26.18835492487839
GPT-3.5,SP500,S&P 500,45,391,168,-0.009259642545276498,0.0,0,0.0,1.0,G,,1.0,0.0,0.03571428571428571,0.009381179812367635,Y,,0.034897348552682006,0.0,0.9642857142857143,0.02571428571428569,0.023705357567969928,0.014445715022693428,-39.06139158089685
GPT-3.5,SP500,S&P 500,60,380,164,-0.009914341629763455,0.0,0,0.0,1.0,G,,1.0,0.0,0.03048780487804878,0.033945720899518306,Y,,0.19606360440637116,0.0,0.9695121951219512,0.0204878048780488,0.0248517831760653,0.014937441546301842,-39.89388431214038
GPT-3.5,SP500,S&P 500,90,359,155,-0.009924422777535484,0.0,0,0.0,1.0,G,,1.0,0.0,0.01935483870967742,0.2996190295605662,Y,,0.49401239147556364,0.0,0.9806451612903225,0.00935483870967746,0.026265155513383546,0.016340732735848063,-37.78550929378066
