model,s_pi,s_grn,s_cc,r_pi,r_grn,r_cc
Chronos-Small,0.010823411682535538,19,4,0.009224622962152972,24,5
Chronos-Small-A,0.011289453277558597,22,8,0.00909974902374422,24,8
Chronos-Mini,0.010292238394798545,19,5,0.009250916322158284,24,5
Chronos-Mini-A,0.010700556197397341,22,7,0.009001189286611096,24,7
TimesFM-2.5,0.0102697799950807,22,8,0.009736286210913497,24,6
Moirai-1.1,0.010543706975897514,21,6,0.008476189772960137,24,5
Moirai-2.0,0.011128588131335859,21,7,0.008771537211941125,24,7
Lag-Llama,0.009485619044985521,24,2,0.009074614752086109,24,2
GJR-GARCH,0.010659530035923003,22,5,0.008474746604836525,24,6
GJR-GARCH-t,0.01022718101311555,23,4,0.008754877143591425,24,7
GARCH-N,0.010407515015925751,21,6,0.008694725708363275,24,10
Hist-Sim,0.010766466372430663,22,6,0.01257582815541003,21,9
EWMA,0.011429688224235166,20,7,0.008532159424025387,24,5
