edge,delta,q,und,n_block,feasible
-1.4,0.056382513460373075,-1.4000000000000006,46.28737510684946,2,True
-1.6,0.037634643924988866,-1.5999999999997125,38.614142979267584,2,True
-1.8,0.024353580492638728,-1.8,30.940910851663617,2,True
-1.9,0.019250469601931906,-1.9000000000002675,27.104294787856897,2,True
-2.0,0.014955656976413418,-1.9999999999984748,23.267678724129205,2,True
-2.05,0.013069340473658455,-2.0499999999997303,21.349370692182802,2,True
-2.085,0.011841584356230858,-2.084999999999935,20.006555069846186,3,True
-2.1,0.011337404594067766,-2.0999999999999672,19.43106266027548,3,True
-2.15,0.00974663204013034,-2.1499999999999972,17.512754628376094,5,True
-2.2,0.008284929938988458,-2.199999999989254,15.594446596890032,5,True
-2.3,0.005705472285572531,-2.300000000000107,11.757830532677193,7,True
-2.4,0.0035215971789636018,-2.4000000000000004,7.921214468884818,10,True
