series,asset,ratio
Chronos-Small (default),ASX200,-0.15449155454196428
Chronos-Small (default),AUDUSD,-0.2388829928244518
Chronos-Small (default),BOVESPA,-0.2146424783783573
Chronos-Small (default),BTC,-0.18706444339562933
Chronos-Small (default),CBU0,-0.2641766565827536
Chronos-Small (default),DJCI,-0.25885394690676183
Chronos-Small (default),ETH,-0.20052376820813214
Chronos-Small (default),EURUSD,-0.24741060346436755
Chronos-Small (default),FCHI,-0.19951124846866852
Chronos-Small (default),FTSE100,-0.19714566278523232
Chronos-Small (default),GBPUSD,-0.24724108984864746
Chronos-Small (default),GDAXI,-0.16769554359020966
Chronos-Small (default),GOLD,-0.17480057319997733
Chronos-Small (default),HSI,-0.21681044286388032
Chronos-Small (default),IBGL,-0.21319435360608885
Chronos-Small (default),ICLN,-0.2660518301236201
Chronos-Small (default),NATGAS,-0.2829688337434562
Chronos-Small (default),NIFTY,-0.18138220130303984
Chronos-Small (default),NIKKEI,-0.19576465533783272
Chronos-Small (default),SP500,-0.16314386397052794
Chronos-Small (default),STOXX,-0.15884248914964844
Chronos-Small (default),TLT,-0.25283073464539046
Chronos-Small (default),USDJPY,-0.21608424809352902
Chronos-Small (default),WTI,-0.20295442758405507
Chronos-Small (analytic),ASX200,-2.363499113295148
Chronos-Small (analytic),AUDUSD,-2.384950595540012
Chronos-Small (analytic),BOVESPA,-2.3066191927943396
Chronos-Small (analytic),BTC,-2.352261736279249
Chronos-Small (analytic),CBU0,-2.4250982273295114
Chronos-Small (analytic),DJCI,-2.4358960042833333
Chronos-Small (analytic),ETH,-2.3514689788932124
Chronos-Small (analytic),EURUSD,-2.390690347866804
Chronos-Small (analytic),FCHI,-2.3238659729024143
Chronos-Small (analytic),FTSE100,-2.3443621258059975
Chronos-Small (analytic),GBPUSD,-2.414012620290895
Chronos-Small (analytic),GDAXI,-2.3000708283425046
Chronos-Small (analytic),GOLD,-2.3884751666125705
Chronos-Small (analytic),HSI,-2.362850472688432
Chronos-Small (analytic),IBGL,-2.4447586781262935
Chronos-Small (analytic),ICLN,-2.36744253214793
Chronos-Small (analytic),NATGAS,-2.2740569073478762
Chronos-Small (analytic),NIFTY,-2.300143217755832
Chronos-Small (analytic),NIKKEI,-2.350306814295843
Chronos-Small (analytic),SP500,-2.337882900575792
Chronos-Small (analytic),STOXX,-2.2972866379255965
Chronos-Small (analytic),TLT,-2.4103017087124603
Chronos-Small (analytic),USDJPY,-2.4036754364325863
Chronos-Small (analytic),WTI,-2.4162693464505924
Chronos-Mini (default),ASX200,-0.09856947177616132
Chronos-Mini (default),AUDUSD,-0.15412347883147604
Chronos-Mini (default),BOVESPA,-0.12108401463332868
Chronos-Mini (default),BTC,-0.12199691563314803
Chronos-Mini (default),CBU0,-0.15995011014467247
Chronos-Mini (default),DJCI,-0.17241660058261757
Chronos-Mini (default),ETH,-0.12768175275063887
Chronos-Mini (default),EURUSD,-0.1657709640057774
Chronos-Mini (default),FCHI,-0.12597074516284235
Chronos-Mini (default),FTSE100,-0.11914986724976619
Chronos-Mini (default),GBPUSD,-0.16524699834050532
Chronos-Mini (default),GDAXI,-0.11165517175819617
Chronos-Mini (default),GOLD,-0.0737420369414111
Chronos-Mini (default),HSI,-0.14081923013725223
Chronos-Mini (default),IBGL,-0.12817760723459953
Chronos-Mini (default),ICLN,-0.1689343728496338
Chronos-Mini (default),NATGAS,-0.17063038288134552
Chronos-Mini (default),NIFTY,-0.10143590073515979
Chronos-Mini (default),NIKKEI,-0.10530168152281312
Chronos-Mini (default),SP500,-0.11392212516380658
Chronos-Mini (default),STOXX,-0.10852767654564788
Chronos-Mini (default),TLT,-0.1545343863474793
Chronos-Mini (default),USDJPY,-0.13598387795362027
Chronos-Mini (default),WTI,-0.11356158623643178
Chronos-Mini (analytic),ASX200,-2.3356299119715205
Chronos-Mini (analytic),AUDUSD,-2.3438570060880872
Chronos-Mini (analytic),BOVESPA,-2.290035016396252
Chronos-Mini (analytic),BTC,-2.2886048474205967
Chronos-Mini (analytic),CBU0,-2.3457216060283512
Chronos-Mini (analytic),DJCI,-2.3908474907990174
Chronos-Mini (analytic),ETH,-2.2792960322756404
Chronos-Mini (analytic),EURUSD,-2.3647759593035147
Chronos-Mini (analytic),FCHI,-2.306173602208169
Chronos-Mini (analytic),FTSE100,-2.320407338778166
Chronos-Mini (analytic),GBPUSD,-2.3828171469994053
Chronos-Mini (analytic),GDAXI,-2.300656275076819
Chronos-Mini (analytic),GOLD,-2.3462299232265407
Chronos-Mini (analytic),HSI,-2.3056452925154187
Chronos-Mini (analytic),IBGL,-2.3700387406842784
Chronos-Mini (analytic),ICLN,-2.338709124565553
Chronos-Mini (analytic),NATGAS,-2.2808427130275746
Chronos-Mini (analytic),NIFTY,-2.258944566008418
Chronos-Mini (analytic),NIKKEI,-2.294582108034996
Chronos-Mini (analytic),SP500,-2.250584918338786
Chronos-Mini (analytic),STOXX,-2.267321694366066
Chronos-Mini (analytic),TLT,-2.3550643798154245
Chronos-Mini (analytic),USDJPY,-2.3788172324053454
Chronos-Mini (analytic),WTI,-2.3809375024707076
TimesFM 2.5,ASX200,-2.3529144373948103
TimesFM 2.5,AUDUSD,-2.4416883037484656
TimesFM 2.5,BOVESPA,-2.379773667600564
TimesFM 2.5,BTC,-2.7352581223847463
TimesFM 2.5,CBU0,-2.4975857658498244
TimesFM 2.5,DJCI,-2.466688916647199
TimesFM 2.5,ETH,-2.6456763433059387
TimesFM 2.5,EURUSD,-2.41427784476779
TimesFM 2.5,FCHI,-2.421964884313951
TimesFM 2.5,FTSE100,-2.442474021487301
TimesFM 2.5,GBPUSD,-2.4280136655500737
TimesFM 2.5,GDAXI,-2.4163353856499916
TimesFM 2.5,GOLD,-2.4340760924006712
TimesFM 2.5,HSI,-2.4063638825697193
TimesFM 2.5,IBGL,-2.4706866567870707
TimesFM 2.5,ICLN,-2.4186690844579615
TimesFM 2.5,NATGAS,-2.4156035589102904
TimesFM 2.5,NIFTY,-2.3501196172176146
TimesFM 2.5,NIKKEI,-2.435104375095629
TimesFM 2.5,SP500,-2.3465317673376616
TimesFM 2.5,STOXX,-2.5156586203014566
TimesFM 2.5,TLT,-2.5465496161827716
TimesFM 2.5,USDJPY,-2.468848812094021
TimesFM 2.5,WTI,-2.413421072652471
Moirai 1.1,ASX200,-2.5730749014000542
Moirai 1.1,AUDUSD,-2.727245066264633
Moirai 1.1,BOVESPA,-2.531606527389258
Moirai 1.1,BTC,-2.204865399995329
Moirai 1.1,CBU0,-2.667381174861875
Moirai 1.1,DJCI,-2.540555577655241
Moirai 1.1,ETH,-2.336930380774439
Moirai 1.1,EURUSD,-2.684996771274025
Moirai 1.1,FCHI,-2.489230329329637
Moirai 1.1,FTSE100,-2.4980652464150492
Moirai 1.1,GBPUSD,-2.6570968261208674
Moirai 1.1,GDAXI,-2.4589386712550314
Moirai 1.1,GOLD,-2.5250982772892705
Moirai 1.1,HSI,-2.484273310412041
