series,scale_ratio
Moirai 1.1,-2.528352402339264
Hist. Sim.,-2.5090768082131865
TimesFM 2.5,-2.4310448789753725
Chronos-Small (analytic),-2.36317479299179
Moirai 2.0,-2.331007500280407
Chronos-Mini (analytic),-2.328018625374843
GJR-GARCH-t,-2.277609549240183
GARCH-N,-2.2003469390715678
GJR-GARCH,-2.136824863664135
EWMA,-2.127303521348235
Lag-Llama,-2.0846236453293594
Chronos-Small (default),-0.20807439059507196
Chronos-Mini (default),-0.1268262489567406
