method,pairs,pair_equal_mean_var_pct,pooled_mean_var_pct,pair_days,ratio_mean,ratio_median,ratio_min,ratio_max,pairs_wider_than_raw,pair_equal_pct_change_vs_raw,pooled_pct_change_vs_raw
Raw,240,3.177916151534053,3.003104765992804,362520,1.0,1.0,1.0,1.0,0,0.0,0.0
Shift-CP,240,3.685260453748289,3.4623571531757125,362520,1.1592871970846876,1.1362380217951538,0.9815404025324536,1.6928713367007167,235,15.964684970348554,15.292586272163678
Shift-ERM,240,3.651117001104707,3.434797087712841,362520,1.1502087645038752,1.1280466394560782,0.9750317859413158,1.6854308175078467,233,14.890287440158833,14.374867191065977
Vol-CP,240,3.693514002872047,3.4704701084439136,362520,1.1608228218762031,1.141307625458597,0.9901450083960991,1.5139848002637097,235,16.224400731564394,15.562738527924846
Vol-ERM,240,3.6354774457123056,3.4217341529081398,362520,1.1476472351580536,1.1336919797690168,0.9601734578020408,1.4942850755096022,232,14.398155028645965,13.939886202303065
State2-ERM,240,3.6599045272249904,3.440964847420257,362520,1.1462334761037283,1.1277371159384324,0.9291690415233828,1.6963557835545817,226,15.166805941631601,14.580246629614347
State4-ERM,240,3.640151178226108,3.4223617486026097,362520,1.144679431968277,1.1258549354163505,0.9110145745976441,1.634736465634929,226,14.545224123327593,13.96078443074904
State-L1,240,3.6531221027620173,3.4326583406985565,362520,1.1439847616350114,1.126947207571248,0.9459258904316717,1.6545290242473285,226,14.953382297345108,14.30364932885535
POT-Shift,240,3.6757311917144566,3.4620950348578368,362520,1.1624783488044423,1.145120318055831,0.9926691741833528,1.6049990776649323,239,15.664826145274379,15.283858027953112
POT-Vol,240,3.698888787943217,3.485331440494755,362520,1.1784469241919358,1.156146563213273,0.9883676520804796,1.7589745981159197,237,16.393529960118002,16.057604115670276
Rolling250,240,4.075085999503053,3.871719206873033,362520,1.2952571056225273,1.2881078798236854,1.0359225849465603,1.7119046571577619,240,28.231388280521983,28.92388073557841
Rolling500,240,3.722454492663521,3.533090542722434,362520,1.1804277507103544,1.1662703145681144,0.9428830929585538,1.5334620473894645,237,17.13507579067519,17.647928328415176
Selected-rolling,240,3.7962623434195786,3.601814621684263,362520,1.2082716890292626,1.1807719432014419,0.9428830929585538,1.8560559405470949,237,19.457599332412713,19.93636260949858
Gate-selected-rolling,240,3.7360274008000287,3.5508416833407193,362520,1.1902155435089947,1.1719892231780742,0.9905399698664782,1.8560559405470949,186,17.562176679726505,18.239021280592517
Loss-gate,240,3.306567249400793,3.138320311727865,362520,1.0458671920503728,1.0,1.0,1.5196115243059354,58,4.048284842400185,4.50252509556921
Past-minimum,240,3.5755877970163805,3.390305594765037,362520,1.1334343753822873,1.1185297739778437,0.9907516913875096,1.6429153827310867,188,12.513597795535357,12.893350680166083
