model,method,law,assets,observations,scored_days,FZ0,QS_x10000,VaR_mean,ES_mean,pi_mean,shortfall_gap,es_excess_days
Moirai-1.1,Raw,draws,24,36252,36252,-3.124824197811659,5.112614974651518,-0.03449405501802044,-0.05189045279738466,0.01380661186421558,0.001454124169811932,166
Moirai-1.1,Static,draws,24,36252,36252,-3.167464584693654,5.02964570659366,-0.03888280341227776,-0.05627920119164198,0.009143086567474312,0.0018129121336575538,116
Lag-Llama,Raw,draws,24,36252,36252,-2.8376069489076152,5.65634681963566,-0.029496158297071872,-0.04629396684941439,0.028454909942031505,0.0033216440670418984,351
Lag-Llama,Static,draws,24,36252,36252,-3.1557266532034802,5.052307553950801,-0.04073779519307866,-0.05753560374542118,0.009106887777675056,0.0013564416279779898,116
GJR-GARCH,Raw,normal,24,36252,36252,-3.2022849226122823,4.598675034061745,-0.0292505227017948,-0.03354786954489414,0.019211391405507285,-0.004914393941821625,432
GJR-GARCH,Static,normal,24,36252,36252,-3.3232643749220756,4.437948346621703,-0.034819753929038626,-0.03911710077213797,0.009778547364084417,-0.006183429190779444,231
GJR-GARCH-t,Raw,student,24,36252,36252,-3.2774170528309594,4.502685611782938,-0.032073102736943526,-0.04128564157341337,0.014636533156966272,-0.0014965268202683966,242
GJR-GARCH-t,Static,student,24,36252,36252,-3.3194996563065495,4.470187328095382,-0.0353092785164312,-0.04452181735290104,0.00952609103586023,-0.001657597388585658,169
GARCH-N,Raw,normal,24,36252,36252,-3.1689985822636513,4.735437263912464,-0.029464110506483825,-0.03380734099147708,0.01978075473279381,-0.004794268840478924,450
GARCH-N,Static,normal,24,36252,36252,-3.3075043352674727,4.519826283911244,-0.035753199506895934,-0.04009642999188919,0.00942871012341033,-0.00638539957975381,229
Hist-Sim,Raw,window,24,36252,36252,-3.129296249952624,5.1495742367249075,-0.03406770124825744,-0.047095170787242645,0.014401424748948526,-0.00013196393466029924,226
Hist-Sim,Static,window,24,36252,36252,-3.163653296629608,5.08846808318953,-0.03804449432382533,-0.05107196386281054,0.009399739360166592,-0.0007045360862364501,160
EWMA,Raw,normal,24,36252,36252,-3.130688026008389,4.834978071931965,-0.029515214326987126,-0.03381453385309965,0.02006466570325184,-0.005414384547584683,483
EWMA,Static,normal,24,36252,36252,-3.285363780572195,4.6119100361829934,-0.03544378252877864,-0.03974310205489116,0.010704916141676074,-0.006687751044822966,259
