comparison,block_calendar_days,pairs,estimate,bootstrap_sd,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,critical,draws,seed
Moirai-1.1,20,24,-0.04264038688199545,0.017240941923684437,-0.07830409919865536,-0.011281985311525265,-0.08321466165541433,-0.0020661121085765663,2.353367638091785,999,3101910551
Lag-Llama,20,24,-0.3181197042958646,0.06450986521808698,-0.44776039329191974,-0.2010512258918881,-0.4699351334377734,-0.16630427515395585,2.353367638091785,999,3101910551
GJR-GARCH,20,24,-0.1209794523097923,0.0316218344524505,-0.18643694360281837,-0.06248375964548684,-0.19539725416728518,-0.04656165045229943,2.353367638091785,999,3101910551
GJR-GARCH-t,20,24,-0.0420826034755902,0.0177530645519867,-0.07942953070891963,-0.010904740633812984,-0.08386209106919013,-0.0003031158819902721,2.353367638091785,999,3101910551
GARCH-N,20,24,-0.13850575300382104,0.03609569692419374,-0.21312787263240965,-0.0703935158306713,-0.22345219801958777,-0.053559307988054305,2.353367638091785,999,3101910551
Hist-Sim,20,24,-0.03435704667698433,0.022946779821986268,-0.08041826987869306,0.005928002435797842,-0.0883592557084644,0.019645162354495725,2.353367638091785,999,3101910551
EWMA,20,24,-0.1546757545638059,0.03719838320946429,-0.22886576551494,-0.0858172824773971,-0.24221722579829597,-0.0671342833293158,2.353367638091785,999,3101910551
All,20,168,-0.1216229573154077,0.030052268765486535,-0.18651632452623854,-0.06735957501464036,-0.19234699407934028,-0.05089892055147513,2.353367638091785,999,3101910551
Moirai-1.1,60,24,-0.04264038688199545,0.018857529036838235,-0.08326786052114234,-0.010466879316258153,-0.08699822608753387,0.0017174523235429645,2.3522614823440153,999,1902726503
Lag-Llama,60,24,-0.3181197042958646,0.0788400520180323,-0.48610065098883953,-0.18734764858947114,-0.5035721219238806,-0.13266728666784866,2.3522614823440153,999,1902726503
GJR-GARCH,60,24,-0.1209794523097923,0.03184184529208173,-0.18709595590560893,-0.06403204040376297,-0.1958797985171133,-0.04607910610247133,2.3522614823440153,999,1902726503
GJR-GARCH-t,60,24,-0.0420826034755902,0.017823960966102215,-0.07996829130924718,-0.01114235108144303,-0.08400922031895566,-0.0001559866322247347,2.3522614823440153,999,1902726503
GARCH-N,60,24,-0.13850575300382104,0.03647370078933038,-0.21696713724895708,-0.07258479577937119,-0.2243014344891034,-0.05271007151853868,2.3522614823440153,999,1902726503
Hist-Sim,60,24,-0.03435704667698433,0.02494577920058622,-0.08724912074683035,0.0101877608388755,-0.09303604223758177,0.024321948883613116,2.3522614823440153,999,1902726503
EWMA,60,24,-0.1546757545638059,0.03646653254418123,-0.23243824850924652,-0.09024667171742048,-0.24045457446212792,-0.06889693466548387,2.3522614823440153,999,1902726503
All,60,168,-0.1216229573154077,0.03232612610123672,-0.19339079566427655,-0.06730930807566961,-0.19766245861674236,-0.04558345601407306,2.3522614823440153,999,1902726503
