model,asset,method,law,n_test,scored_days,qV,FZ0,QS,VaR_mean,ES_mean,violations,pihat,shortfall_gap,es_excess_days
Moirai-1.1,ASX200,Raw,draws,1868,1868,0.0019832767592025576,-3.2568953239719436,0.0004174644944731861,-0.02515249191897042,-0.04016735001708474,40,0.021413276231263382,0.004440212390245486,8
Moirai-1.1,ASX200,Static,draws,1868,1868,0.0019832767592025576,-3.334783942895278,0.0004009666017294005,-0.027135768678172974,-0.0421506267762873,26,0.013918629550321198,0.005526322870826746,4
Lag-Llama,ASX200,Raw,draws,1868,1868,0.00723108265208303,-2.6751479917546384,0.0004768263912883422,-0.01957418406962535,-0.031187270462664538,77,0.04122055674518201,0.002797313634833661,24
Lag-Llama,ASX200,Static,draws,1868,1868,0.00723108265208303,-3.332071459710451,0.00036822803370916844,-0.02680526672170838,-0.03841835311474756,27,0.014453961456102784,0.0057334132452514985,7
GJR-GARCH,ASX200,Raw,normal,1868,1868,0.0028367806627021524,-3.23026862220204,0.0003596936880429737,-0.01953873664149465,-0.022419753793105936,53,0.028372591006423982,-0.0030748001367002006,36
GJR-GARCH,ASX200,Static,normal,1868,1868,0.0028367806627021524,-3.474984669245609,0.0003227008903123651,-0.022375517304196804,-0.02525653445580809,34,0.018201284796573874,-0.002559815162396574,17
GJR-GARCH-t,ASX200,Raw,student,1868,1868,0.0021944984624532697,-3.3607140555447774,0.0003462396848766717,-0.020957271695667523,-0.02637891551764755,48,0.02569593147751606,-0.000488767474749312,21
GJR-GARCH-t,ASX200,Static,student,1868,1868,0.0021944984624532697,-3.4893191496812475,0.0003239478475752531,-0.02315177015812079,-0.028573413980100815,31,0.016595289079229122,-0.00046309695899849517,12
GARCH-N,ASX200,Raw,normal,1868,1868,0.0035527055428165224,-3.1287170249532275,0.00037698042216345454,-0.019666563457181447,-0.022596706186123434,53,0.028372591006423982,-0.003699504303833344,38
GARCH-N,ASX200,Static,normal,1868,1868,0.0035527055428165224,-3.439511791095613,0.0003323165988261086,-0.023219268999997968,-0.026149411728939958,31,0.016595289079229122,-0.003231528196551961,19
Hist-Sim,ASX200,Raw,window,1868,1868,0.0026695887990744287,-3.1813641425300987,0.0004504576422087383,-0.02780735277741777,-0.03684809055998122,31,0.016595289079229122,-0.0003227180724882874,13
Hist-Sim,ASX200,Static,window,1868,1868,0.0026695887990744287,-3.231192424677076,0.0004414907600563472,-0.030476941576492205,-0.03951767935905565,18,0.009635974304068522,-0.00231072963781985,10
EWMA,ASX200,Raw,normal,1868,1868,0.003311090851315531,-3.1091297224045813,0.000399466642902465,-0.020474217713475865,-0.023456584808026832,54,0.028907922912205567,-0.0039144700303481985,38
EWMA,ASX200,Static,normal,1868,1868,0.003311090851315531,-3.410013651848604,0.000354245901780073,-0.023785308564791392,-0.026767675659342367,34,0.018201284796573874,-0.0033683628962848703,24
Moirai-1.1,AUDUSD,Raw,draws,1430,1430,0.0008843846966506176,-3.779747400171978,0.00022691243179499972,-0.01828055783559835,-0.02708512115360635,11,0.007692307692307693,-0.00039095457404671153,4
Moirai-1.1,AUDUSD,Static,draws,1430,1430,0.0008843846966506176,-3.7789460960300127,0.00022927477290406382,-0.019164942532248968,-0.027969505850256968,7,0.0048951048951048955,-0.0016121641684693894,4
