model,asset,n_test,es_nonneg_raw,es_nonneg_static,var_nonneg_raw,var_nonneg_static,scored_days
Moirai-1.1,ASX200,1868,0,0,0,0,1868
Lag-Llama,ASX200,1868,0,0,0,0,1868
GJR-GARCH,ASX200,1868,0,0,0,0,1868
GJR-GARCH-t,ASX200,1868,0,0,0,0,1868
GARCH-N,ASX200,1868,0,0,0,0,1868
Hist-Sim,ASX200,1868,0,0,0,0,1868
EWMA,ASX200,1868,0,0,0,0,1868
Moirai-1.1,AUDUSD,1430,0,0,0,0,1430
Lag-Llama,AUDUSD,1430,0,0,0,0,1430
GJR-GARCH,AUDUSD,1430,0,0,0,0,1430
GJR-GARCH-t,AUDUSD,1430,0,0,0,0,1430
GARCH-N,AUDUSD,1430,0,0,0,0,1430
Hist-Sim,AUDUSD,1430,0,0,0,0,1430
EWMA,AUDUSD,1430,0,0,0,0,1430
Moirai-1.1,BOVESPA,1829,0,0,0,0,1829
Lag-Llama,BOVESPA,1829,0,0,0,0,1829
GJR-GARCH,BOVESPA,1829,0,0,0,0,1829
GJR-GARCH-t,BOVESPA,1829,0,0,0,0,1829
GARCH-N,BOVESPA,1829,0,0,0,0,1829
Hist-Sim,BOVESPA,1829,0,0,0,0,1829
EWMA,BOVESPA,1829,0,0,0,0,1829
Moirai-1.1,BTC,1157,0,0,0,0,1157
Lag-Llama,BTC,1157,0,0,0,0,1157
GJR-GARCH,BTC,1157,0,0,0,0,1157
GJR-GARCH-t,BTC,1157,0,0,0,0,1157
GARCH-N,BTC,1157,0,0,0,0,1157
Hist-Sim,BTC,1157,0,0,0,0,1157
EWMA,BTC,1157,0,0,0,0,1157
Moirai-1.1,CBU0,1010,0,0,0,0,1010
Lag-Llama,CBU0,1010,0,0,0,0,1010
GJR-GARCH,CBU0,1010,0,0,0,0,1010
GJR-GARCH-t,CBU0,1010,0,0,0,0,1010
GARCH-N,CBU0,1010,0,0,0,0,1010
Hist-Sim,CBU0,1010,0,0,0,0,1010
EWMA,CBU0,1010,0,0,0,0,1010
Moirai-1.1,DJCI,765,0,0,0,0,765
Lag-Llama,DJCI,765,0,0,0,0,765
GJR-GARCH,DJCI,765,0,0,0,0,765
GJR-GARCH-t,DJCI,765,0,0,0,0,765
GARCH-N,DJCI,765,0,0,0,0,765
Hist-Sim,DJCI,765,0,0,0,0,765
EWMA,DJCI,765,0,0,0,0,765
Moirai-1.1,ETH,812,0,0,0,0,812
Lag-Llama,ETH,812,0,0,0,0,812
GJR-GARCH,ETH,812,0,0,0,0,812
GJR-GARCH-t,ETH,812,0,0,0,0,812
GARCH-N,ETH,812,0,0,0,0,812
Hist-Sim,ETH,812,0,0,0,0,812
EWMA,ETH,812,0,0,0,0,812
Moirai-1.1,EURUSD,1617,0,0,0,0,1617
Lag-Llama,EURUSD,1617,0,0,0,0,1617
GJR-GARCH,EURUSD,1617,0,0,0,0,1617
GJR-GARCH-t,EURUSD,1617,0,0,0,0,1617
GARCH-N,EURUSD,1617,0,0,0,0,1617
Hist-Sim,EURUSD,1617,0,0,0,0,1617
EWMA,EURUSD,1617,0,0,0,0,1617
Moirai-1.1,FCHI,1891,0,0,0,0,1891
Lag-Llama,FCHI,1891,0,0,0,0,1891
GJR-GARCH,FCHI,1891,0,0,0,0,1891
GJR-GARCH-t,FCHI,1891,0,0,0,0,1891
GARCH-N,FCHI,1891,0,0,0,0,1891
Hist-Sim,FCHI,1891,0,0,0,0,1891
EWMA,FCHI,1891,0,0,0,0,1891
Moirai-1.1,FTSE100,1867,0,0,0,0,1867
Lag-Llama,FTSE100,1867,0,0,0,0,1867
GJR-GARCH,FTSE100,1867,0,0,0,0,1867
GJR-GARCH-t,FTSE100,1867,0,0,0,0,1867
GARCH-N,FTSE100,1867,0,0,0,0,1867
Hist-Sim,FTSE100,1867,0,0,0,0,1867
EWMA,FTSE100,1867,0,0,0,0,1867
Moirai-1.1,GBPUSD,1621,0,0,0,0,1621
Lag-Llama,GBPUSD,1621,0,0,0,0,1621
GJR-GARCH,GBPUSD,1621,0,0,0,0,1621
GJR-GARCH-t,GBPUSD,1621,0,0,0,0,1621
GARCH-N,GBPUSD,1621,0,0,0,0,1621
Hist-Sim,GBPUSD,1621,0,0,0,0,1621
EWMA,GBPUSD,1621,0,0,0,0,1621
Moirai-1.1,GDAXI,1878,0,0,0,0,1878
Lag-Llama,GDAXI,1878,0,0,0,0,1878
GJR-GARCH,GDAXI,1878,0,0,0,0,1878
