model,asset,n_test,es_nonneg_raw,es_nonneg_static,var_nonneg_raw,var_nonneg_static,scored_days
GJR-GARCH-t,GDAXI,1878,0,0,0,0,1878
GARCH-N,GDAXI,1878,0,0,0,0,1878
Hist-Sim,GDAXI,1878,0,0,0,0,1878
EWMA,GDAXI,1878,0,0,0,0,1878
Moirai-1.1,GLD,1490,0,0,0,0,1490
Lag-Llama,GLD,1490,0,0,0,0,1490
GJR-GARCH,GLD,1490,0,0,0,0,1490
GJR-GARCH-t,GLD,1490,0,0,0,0,1490
GARCH-N,GLD,1490,0,0,0,0,1490
Hist-Sim,GLD,1490,0,0,0,0,1490
EWMA,GLD,1490,0,0,0,0,1490
Moirai-1.1,HSI,1817,0,0,0,0,1817
Lag-Llama,HSI,1817,0,0,0,0,1817
GJR-GARCH,HSI,1817,0,0,0,0,1817
GJR-GARCH-t,HSI,1817,0,0,0,0,1817
GARCH-N,HSI,1817,0,0,0,0,1817
Hist-Sim,HSI,1817,0,0,0,0,1817
EWMA,HSI,1817,0,0,0,0,1817
Moirai-1.1,IBGL,1260,0,0,0,0,1260
Lag-Llama,IBGL,1260,0,0,0,0,1260
GJR-GARCH,IBGL,1260,0,0,0,0,1260
GJR-GARCH-t,IBGL,1260,0,0,0,0,1260
GARCH-N,IBGL,1260,0,0,0,0,1260
Hist-Sim,IBGL,1260,0,0,0,0,1260
EWMA,IBGL,1260,0,0,0,0,1260
Moirai-1.1,ICLN,1219,0,0,0,0,1219
Lag-Llama,ICLN,1219,0,0,0,0,1219
GJR-GARCH,ICLN,1219,0,0,0,0,1219
GJR-GARCH-t,ICLN,1219,0,0,0,0,1219
GARCH-N,ICLN,1219,0,0,0,0,1219
Hist-Sim,ICLN,1219,0,0,0,0,1219
EWMA,ICLN,1219,0,0,0,0,1219
Moirai-1.1,NIFTY,1242,0,0,0,0,1242
Lag-Llama,NIFTY,1242,0,0,0,0,1242
GJR-GARCH,NIFTY,1242,0,0,0,0,1242
GJR-GARCH-t,NIFTY,1242,0,0,0,0,1242
GARCH-N,NIFTY,1242,0,0,0,0,1242
Hist-Sim,NIFTY,1242,0,0,0,0,1242
EWMA,NIFTY,1242,0,0,0,0,1242
Moirai-1.1,NIKKEI,1806,0,0,0,0,1806
Lag-Llama,NIKKEI,1806,0,0,0,0,1806
GJR-GARCH,NIKKEI,1806,0,0,0,0,1806
GJR-GARCH-t,NIKKEI,1806,0,0,0,0,1806
GARCH-N,NIKKEI,1806,0,0,0,0,1806
Hist-Sim,NIKKEI,1806,0,0,0,0,1806
EWMA,NIKKEI,1806,0,0,0,0,1806
Moirai-1.1,SP500,1858,0,0,0,0,1858
Lag-Llama,SP500,1858,0,0,0,0,1858
GJR-GARCH,SP500,1858,0,0,0,0,1858
GJR-GARCH-t,SP500,1858,0,0,0,0,1858
GARCH-N,SP500,1858,0,0,0,0,1858
Hist-Sim,SP500,1858,0,0,0,0,1858
EWMA,SP500,1858,0,0,0,0,1858
Moirai-1.1,STOXX,1532,0,0,0,0,1532
Lag-Llama,STOXX,1532,0,0,0,0,1532
GJR-GARCH,STOXX,1532,0,0,0,0,1532
GJR-GARCH-t,STOXX,1532,0,0,0,0,1532
GARCH-N,STOXX,1532,0,0,0,0,1532
Hist-Sim,STOXX,1532,0,0,0,0,1532
EWMA,STOXX,1532,0,0,0,0,1532
Moirai-1.1,TLT,1665,0,0,0,0,1665
Lag-Llama,TLT,1665,0,0,0,0,1665
GJR-GARCH,TLT,1665,0,0,0,0,1665
GJR-GARCH-t,TLT,1665,0,0,0,0,1665
GARCH-N,TLT,1665,0,0,0,0,1665
Hist-Sim,TLT,1665,0,0,0,0,1665
EWMA,TLT,1665,0,0,0,0,1665
Moirai-1.1,UNG,1309,0,0,0,0,1309
Lag-Llama,UNG,1309,0,0,0,0,1309
GJR-GARCH,UNG,1309,0,0,0,0,1309
GJR-GARCH-t,UNG,1309,0,0,0,0,1309
GARCH-N,UNG,1309,0,0,0,0,1309
Hist-Sim,UNG,1309,0,0,0,0,1309
EWMA,UNG,1309,0,0,0,0,1309
Moirai-1.1,USDJPY,1923,0,0,0,0,1923
Lag-Llama,USDJPY,1923,0,0,0,0,1923
GJR-GARCH,USDJPY,1923,0,0,0,0,1923
GJR-GARCH-t,USDJPY,1923,0,0,0,0,1923
GARCH-N,USDJPY,1923,0,0,0,0,1923
Hist-Sim,USDJPY,1923,0,0,0,0,1923
EWMA,USDJPY,1923,0,0,0,0,1923
Moirai-1.1,USO,1386,0,0,0,0,1386
Lag-Llama,USO,1386,0,0,0,0,1386
GJR-GARCH,USO,1386,0,0,0,0,1386
GJR-GARCH-t,USO,1386,0,0,0,0,1386
GARCH-N,USO,1386,0,0,0,0,1386
Hist-Sim,USO,1386,0,0,0,0,1386
EWMA,USO,1386,0,0,0,0,1386
