model,asset,n,frac_positive,frac_increasing,frac_decreasing,recon_as_negppf,recon_as_ppf,negation_recovers_ppf,median_|mu|/sigma,pihat_stored,pihat_corrected,scale_corrected
Moirai-2.0,SP500,6078,1.0,0.0,1.0,4.444525303348712e-10,0.3669236149019446,4.444525303348712e-10,0.11314235705293657,0.9911154985192497,0.020072392234287594,-2.2772957854771976
Moirai-2.0,STOXX,4993,1.0,0.0,1.0,2.2594232040873408e-10,0.3024059974923365,2.2594232040873408e-10,0.10073203011155776,0.9915882235129181,0.022631684358101343,-2.283310805818352
Moirai-2.0,GDAXI,6142,1.0,0.0,1.0,1.7765552917659022e-10,0.3295879650648975,1.7765552917659022e-10,0.10010625081439563,0.9902311950504722,0.020026050146532075,-2.301383572368193
Moirai-2.0,FCHI,6186,1.0,0.0,1.0,1.9687679264634994e-10,0.3352697687564479,1.9687679264634994e-10,0.08978634331239806,0.9894924021985128,0.020530229550598123,-2.2890419982308434
Moirai-2.0,FTSE100,6108,1.0,0.0,1.0,1.6265690183647763e-10,0.28729859022164905,1.6265690183647763e-10,0.08115718220561742,0.9908316961362148,0.018664047151277015,-2.2808130144720127
Moirai-2.0,ICLN,3947,1.0,0.0,1.0,2.6305384259739384e-10,0.419605728444719,2.6305384259739384e-10,0.07340472558477262,0.9860653661008361,0.015961489739042312,-2.363299214060853
Moirai-2.0,NIKKEI,5906,1.0,0.0,1.0,2.1393960214499685e-10,0.38530476698762867,2.1393960214499685e-10,0.08277363122854929,0.9901794784964443,0.01930240433457501,-2.288869765766088
Moirai-2.0,HSI,5944,1.0,0.0,1.0,1.7266475749178056e-10,0.35601564369757255,1.7266475749178056e-10,0.07057271459169949,0.9875504710632571,0.017833109017496636,-2.369941042959793
Moirai-2.0,BOVESPA,5980,1.0,0.0,1.0,2.2617813177916446e-10,0.5277845698389971,2.2617813177916446e-10,0.07393096009337782,0.991304347826087,0.014214046822742474,-2.318559926922983
Moirai-2.0,NIFTY,4026,1.0,0.0,1.0,1.2404950677780135e-10,0.34267141976085397,1.2404950677780135e-10,0.10361074870689033,0.9913065076999503,0.015399900645802286,-2.266302681636375
Moirai-2.0,ASX200,6109,1.0,0.0,1.0,1.5311442391752195e-10,0.251522322258664,1.5311442391752195e-10,0.09650411642847348,0.9936159764282206,0.022262236045179244,-2.2929667685946997
Moirai-2.0,CBU0,3253,1.0,0.0,1.0,8.860323585935248e-11,0.13569865818729693,8.860323585935248e-11,0.0945607842479688,0.984014755610206,0.01168152474638795,-2.4945006124267
Moirai-2.0,TLT,5434,1.0,0.0,1.0,1.0199929789678208e-10,0.2206272467456573,1.0199929789678208e-10,0.05863271425708923,0.9891424365108575,0.009937430990062569,-2.446243972196562
Moirai-2.0,IBGL,4086,1.0,0.0,1.0,9.140477610913855e-11,0.27457559081824545,9.140477610913855e-11,0.06958608975108813,0.9884973078805678,0.0149290259422418,-2.4466852418357248
Moirai-2.0,DJCI,2310,1.0,0.0,1.0,9.387482458045326e-11,0.13979380504880967,9.387482458045326e-11,0.048107433576258435,0.9878787878787879,0.017316017316017316,-2.365317851228595
Moirai-2.0,GOLD,5897,1.0,0.0,1.0,1.3466893572511296e-10,0.23095380893797718,1.3466893572511296e-10,0.09548631197199425,0.9852467356282856,0.02051890791928099,-2.3434550736378315
Moirai-2.0,WTI,5904,1.0,0.0,1.0,4.2674019873345514e-10,0.9164653588543155,4.2674019873345514e-10,0.07354470880164404,0.9903455284552846,0.013888888888888888,-2.373149296454214
Moirai-2.0,NATGAS,5902,1.0,0.0,1.0,3.9470751667103343e-10,0.5650723110143726,3.9470751667103343e-10,0.06641363417211976,0.981531684174856,0.011013215859030838,-2.306591193575447
Moirai-2.0,BTC,3688,1.0,0.0,1.0,3.9043329680410466e-10,0.7263402552718885,3.9043329680410466e-10,0.12436173405628459,0.9747830802603037,0.018709327548806942,-2.2170012014017906
Moirai-2.0,ETH,2538,1.0,0.0,1.0,3.5314216828563616e-10,0.5095921967693167,3.5314216828563616e-10,0.08949271883683066,0.9814814814814815,0.019700551615445233,-2.2526035476280817
Moirai-2.0,EURUSD,5271,1.0,0.0,1.0,1.4462719216679076e-10,0.273394825621194,1.4462719216679076e-10,0.060905686558462555,0.9891861126920888,0.009865300701954089,-2.458022411263661
Moirai-2.0,GBPUSD,5283,1.0,0.0,1.0,1.3122954806155107e-10,0.17273503696907694,1.3122954806155107e-10,0.06064698032987381,0.9899678213136476,0.013817906492523187,-2.4674830418979483
Moirai-2.0,USDJPY,6291,1.0,0.0,1.0,1.6790072110417498e-10,0.30503098237390364,1.6790072110417498e-10,0.07605466244058602,0.9858528055952949,0.015895724050230486,-2.3713315083393836
Moirai-2.0,AUDUSD,4647,1.0,0.0,1.0,1.85529508422988e-10,0.20074190721040525,1.85529508422988e-10,0.0572387691803753,0.9905315257155154,0.013341941037228319,-2.4198715404838373
TimesFM-2.5,SP500,6078,1.0,0.0,1.0,1.8925312705864172e-10,0.2982960956260224,1.8925312705864172e-10,0.09247434753672956,0.989634748272458,0.017604475156301414,-2.3465317673376616
TimesFM-2.5,STOXX,4993,1.0,0.0,1.0,1.341044497671362e-10,0.25696593572426446,1.341044497671362e-10,0.09763513658441272,0.993991588223513,0.016422992189064692,-2.5156586203014566
TimesFM-2.5,GDAXI,6142,1.0,0.0,1.0,1.834089269348027e-10,0.2898825241829739,1.834089269348027e-10,0.08752767459565611,0.9913708889612504,0.017746662324975578,-2.4163353856499916
TimesFM-2.5,FCHI,6186,1.0,0.0,1.0,1.9859264233090812e-10,0.25743450843758375,1.9859264233090812e-10,0.08106061290358435,0.991270611057226,0.01600387972841901,-2.421964884313951
TimesFM-2.5,FTSE100,6108,1.0,0.0,1.0,1.7246280792360125e-10,0.23929627982000132,1.7246280792360125e-10,0.08055329703011105,0.9932874918140144,0.016863130320890634,-2.442474021487301
TimesFM-2.5,ICLN,3947,1.0,0.0,1.0,2.6445343137559973e-10,0.3045928710476541,2.6445343137559973e-10,0.08174107444839514,0.9873321510007601,0.01418799087914872,-2.4186690844579615
TimesFM-2.5,NIKKEI,5906,1.0,0.0,1.0,2.952563749047954e-10,0.3230214390302072,2.952563749047954e-10,0.07340482717919224,0.9918726718591263,0.01473078225533356,-2.435104375095629
TimesFM-2.5,HSI,5944,1.0,0.0,1.0,2.7706245631087256e-10,0.32405427121543096,2.7706245631087256e-10,0.07708334486649832,0.9883916554508748,0.01699192462987887,-2.4063638825697193
TimesFM-2.5,BOVESPA,5980,1.0,0.0,1.0,3.4202279897144194e-10,0.44880158432374195,3.4202279897144194e-10,0.06174068340882526,0.9921404682274247,0.013879598662207358,-2.379773667600564
TimesFM-2.5,NIFTY,4026,1.0,0.0,1.0,2.244072844215239e-10,0.2620360102230284,2.244072844215239e-10,0.1000028380971987,0.9898161947342276,0.01366120218579235,-2.3501196172176146
TimesFM-2.5,ASX200,6109,1.0,0.0,1.0,1.9138733653445428e-10,0.19818967396199189,1.9138733653445428e-10,0.08319990246024435,0.9929612047798331,0.019643149451628743,-2.3529144373948103
