DGP,T,est_window,mean_qV,std_qV,CV,mean_corr_pi,mean_raw_pi,green_pct,n_valid
Normal (correct),250,50,0.007246655117672909,0.0062878496532547115,0.8676899274425391,0.007533333333333333,0.0157,72.6,500
Normal (correct),500,100,0.0062415548946402576,0.005037529546542178,0.8070952882058284,0.008066666666666666,0.014916666666666665,75.4,500
Normal (correct),1000,200,0.0035922155751535794,0.0033429315069450015,0.9306043685315517,0.009266666666666666,0.014025000000000003,75.4,500
Normal (correct),2000,250,0.002418398664614084,0.0021382466225222446,0.8841580397016369,0.01012952380952381,0.013725714285714286,83.2,500
Normal (correct),5000,250,0.00220644507382774,0.0011795398944862917,0.5345883785994393,0.009903157894736843,0.013698245614035088,94.19999999999999,500
Student-t(5),250,50,0.01841710675362017,0.01932124578336042,1.049092348859982,0.008166666666666668,0.0211,68.4,500
Student-t(5),500,100,0.01459824430951534,0.012267540094914466,0.8403435258936112,0.007566666666666667,0.019983333333333336,77.0,500
Student-t(5),1000,200,0.009095819239209033,0.006248086554408298,0.6869185050946139,0.009408333333333335,0.018916666666666672,76.4,500
Student-t(5),2000,250,0.007333540369384415,0.0038436498095382036,0.5241192679029111,0.00969904761904762,0.01813333333333333,86.8,500
Student-t(5),5000,250,0.0063823882009849085,0.0018279156002344705,0.2863999403784923,0.01017684210526316,0.018384561403508772,94.39999999999999,500
Student-t(3),250,50,0.02716076171606035,0.04224201350528585,1.5552587938028208,0.008366666666666666,0.023466666666666663,67.2,500
Student-t(3),500,100,0.018070692946443433,0.020599865422760048,1.139959905456442,0.0083,0.021,73.8,500
Student-t(3),1000,200,0.011813699318796158,0.009994570253755095,0.8460152898807283,0.008583333333333332,0.017708333333333336,80.60000000000001,500
Student-t(3),2000,250,0.008506241969177274,0.004744717231990797,0.5577924128167856,0.009763809523809524,0.01864761904761905,89.4,500
Student-t(3),5000,250,0.007599505624359461,0.0021904242829863837,0.2882324708024685,0.009893333333333334,0.01855578947368421,96.0,500
Skewed-t(3),250,50,0.029742539856818306,0.022239658383443123,0.7477390461778203,0.0074,0.027666666666666666,69.6,500
Skewed-t(3),500,100,0.02538478863770906,0.016810749368293715,0.6622371219322022,0.0066500000000000005,0.023566666666666666,79.80000000000001,500
Skewed-t(3),1000,200,0.01600040374897573,0.00954944055792558,0.5968249744033423,0.008791666666666668,0.021933333333333332,78.8,500
Skewed-t(3),2000,250,0.011641198628892187,0.004918213631925433,0.42248343909526315,0.009900952380952384,0.021546666666666665,87.6,500
Skewed-t(3),5000,250,0.011225819485563995,0.002972967845198043,0.26483303504222333,0.009448421052631578,0.021555087719298243,97.0,500
Mix. Normals,250,50,0.03151941267319427,0.024018684690381823,0.7620283074249207,0.007633333333333333,0.01773333333333333,70.0,500
Mix. Normals,500,100,0.022862778668266096,0.017091976521841145,0.7475896420921523,0.007533333333333333,0.017016666666666666,77.60000000000001,500
Mix. Normals,1000,200,0.015406727664285096,0.010314042438516224,0.6694505584352988,0.008416666666666666,0.0155,82.19999999999999,500
Mix. Normals,2000,250,0.009987409229852992,0.005499204031341978,0.5506136681477427,0.009893333333333334,0.015725714285714287,88.4,500
Mix. Normals,5000,250,0.009043843895240176,0.0035513254811164042,0.39267876825975356,0.00990877192982456,0.015731929824561404,96.39999999999999,500
