check,variant,mean_qV,green,pihat,ess
Weighted CP,lambda=0.0005,0.004900830727421646,23.0,0.011004398638134865,2780.3870120753686
Weighted CP,lambda=0.002,0.007045717539546141,17.0,0.010698412446108295,991.7138039476994
Weighted CP,lambda=0.01,0.03291962946197223,24.0,0.0031743006550735767,200.0016647565336
Cal. fraction,f_c=0.50,0.004226388909376779,22.0,0.011159165519750635,
Cal. fraction,f_c=0.60,0.004373918445128268,21.0,0.011044325883980579,
Cal. fraction,f_c=0.70,0.0043412517469217414,22.0,0.011311902990202323,
Cal. fraction,f_c=0.80,0.004740162289868478,23.0,0.00866664513998248,
Rolling (250d),,0.01170972998617746,,0.009099749023744276,
