asset,model,qV_point,qV_lo,qV_hi,qV_se,R,replacement
SP500,Chronos-Small-A,0.004417977048685195,0.0011684431309509913,0.007349802137231555,0.001618899587301071,0.17688903026042624,No
SP500,TimesFM-2.5,0.0038626757775037605,0.000856569535346928,0.006553416611639603,0.001370205125975975,0.15044590078678977,No
SP500,Moirai-2.0,0.004562603474665597,0.0017012540342927456,0.007114745193501425,0.001584667333120979,0.18678671168717634,No
SP500,Moirai-1.1,0.003502250784425242,0.0006649850669196641,0.005528304238182624,0.0013662515714268051,0.12325170867793424,No
SP500,Lag-Llama,0.008219084752491997,0.005329338525218684,0.013388924934053522,0.002295909461942238,0.32519692726769767,No
SP500,GJR-GARCH,0.0036279778138180174,0.002452556775812218,0.005130527774177041,0.0007420460153256735,0.1504496212510349,No
SP500,GJR-GARCH-t,0.0024391911893791307,0.001164710935642313,0.003268809693292329,0.0005795965565223907,0.09327923904676036,No
SP500,GARCH-N,0.004796365698355258,0.0026355175098189635,0.006103662532250746,0.0009786573450755924,0.19218357455979795,No
BTC,Chronos-Small-A,0.02023728220757834,0.011956964439517284,0.029241185655830768,0.005160084636635281,0.3413919317992155,No
BTC,TimesFM-2.5,0.01084113110710122,-0.0017033132932634115,0.02086949604556554,0.005861157649666476,0.15339187177989594,No
BTC,Moirai-2.0,0.03086718346836146,0.01717821535689769,0.04160113363209547,0.0064263200179925616,0.5234453923741065,No
BTC,Moirai-1.1,0.022927631213099223,0.011238361124888935,0.03566362311373718,0.005215209371005825,0.38477699738017457,No
BTC,Lag-Llama,0.03684647219935443,0.02106626417703475,0.04608902096474497,0.006396214762826852,0.6252131855889844,No
BTC,GJR-GARCH,0.02782738913654375,0.019842512316041075,0.03808903304680422,0.004906482645242422,0.5033700155996464,No
BTC,GJR-GARCH-t,0.017441646517076012,0.010790687209630945,0.02951022489794818,0.004866276394600947,0.24511149104440202,No
BTC,GARCH-N,0.026398994484491095,0.01931526001627568,0.0386497979278001,0.005552091336941389,0.4627586508817094,No
GOLD,Chronos-Small-A,0.004610988736879526,0.0011817875473479015,0.007279062646737992,0.0016370916103221932,0.2010194174161422,No
GOLD,TimesFM-2.5,0.004476841542951925,0.001293135855689291,0.007481915720104582,0.0017754592374807344,0.17939217261771742,No
GOLD,Moirai-2.0,0.005199167326491502,0.0020384345242255852,0.007952027341182513,0.0015978248079626754,0.23566939356798236,No
GOLD,Moirai-1.1,0.004428363482144128,0.0017897364500487067,0.006496796240326105,0.0013227422338728924,0.17021580608574174,No
GOLD,Lag-Llama,0.009904797092721202,0.00662698617058273,0.013035385140522718,0.001560206485799934,0.4478756471577933,No
GOLD,GJR-GARCH,0.005932211168241223,0.0031721534551482702,0.00920931026737025,0.0013989335308933412,0.26187804417465466,No
GOLD,GJR-GARCH-t,0.0038991280252561496,0.0017905335599806838,0.00682309539486986,0.0012509105989546487,0.15130229732172487,No
GOLD,GARCH-N,0.0058154549334591965,0.0029737142318507093,0.00784465216191452,0.0011707443725026954,0.2471123517848026,No
EURUSD,Chronos-Small-A,0.0005695504559574995,-0.0013896433571433796,0.0027197590919362767,0.0012130448827437556,0.05407280450830897,No
EURUSD,TimesFM-2.5,0.00020206050815201222,-0.0011560388108962788,0.0020273705548130693,0.0009072614246827694,0.018358486820620183,No
EURUSD,Moirai-2.0,-0.0002587385426591985,-0.001605940378182711,0.001834479865384214,0.0010048695254050663,0.023412089330126087,No
EURUSD,Moirai-1.1,-0.00016161325282183954,-0.0013669396792596303,0.001903378048186695,0.0007290290136504494,0.012514347967614038,No
EURUSD,Lag-Llama,0.0032323802098128893,0.0013150890477186998,0.0050302336047395825,0.0009772500943903313,0.30918787149248855,No
EURUSD,GJR-GARCH,0.0011164623700521854,0.0001899004680340939,0.0025174608368155396,0.000649855799678024,0.10640266390016818,No
EURUSD,GJR-GARCH-t,0.0005438647763226405,-0.0004598551312551873,0.0020173964003180334,0.0006287617177374078,0.04836589991815003,No
EURUSD,GARCH-N,0.0011837784228271968,-0.00023070565830786603,0.002334091842989921,0.0006595900195915165,0.11145005213705586,No
