n_test,qV,pi_hat,violations,p_kupiec,TL,model,asset,period,gap_label,gap_value,rho_hat,n_total
1824,0.004323666634965249,0.013157894736842105,24,0.1960762898764311,Green,Chronos-Small-A,SP500,Full,g=0,0,0.3204486305923487,6078
1817,0.004323666634965249,0.013208585580627407,24,0.19015078536094854,Green,Chronos-Small-A,SP500,Full,g=c*log(n),7,0.3204486305923487,6078
44,0.031630398725822184,0.0,0,0.0,Green,Chronos-Small-A,SP500,GFC,g=0,0,-0.033052304287110465,146
39,0.031630398725822184,0.0,0,0.0,Green,Chronos-Small-A,SP500,GFC,g=c*log(n),5,-0.033052304287110465,146
32,0.05072870750459959,0.0,0,0.0,Green,Chronos-Small-A,SP500,COVID,g=0,0,-0.23270029333606357,104
27,0.05072870750459959,0.0,0,0.0,Green,Chronos-Small-A,SP500,COVID,g=c*log(n),5,-0.23270029333606357,104
1107,0.03612403019772374,0.0036133694670280035,4,0.013969792334106113,Green,Lag-Llama,BTC,Full,g=0,0,0.04723604973826776,3688
1102,0.03612403019772374,0.003629764065335753,4,0.014487599150595498,Green,Lag-Llama,BTC,Full,g=c*log(n),5,0.04723604973826776,3688
46,0.039903474516985976,0.0,0,0.0,Green,Lag-Llama,BTC,COVID,g=0,0,-0.2731674137421258,151
41,0.039903474516985976,0.0,0,0.0,Green,Lag-Llama,BTC,COVID,g=c*log(n),5,-0.2731674137421258,151
37,-0.015956396202409535,0.0,0,0.0,Green,Lag-Llama,BTC,SVB,g=0,0,0.338874532865264,122
32,-0.015956396202409535,0.0,0,0.0,Green,Lag-Llama,BTC,SVB,g=c*log(n),5,0.338874532865264,122
1850,0.006754719009657034,0.014054054054054054,26,0.09862143806139267,Green,GJR-GARCH,WTI,Full,g=0,0,0.4554971187500465,6166
1839,0.006754719009657034,0.013594344752582926,25,0.14187840197612744,Green,GJR-GARCH,WTI,Full,g=c*log(n),11,0.4554971187500465,6166
44,0.03366983993438472,0.0,0,0.0,Green,GJR-GARCH,WTI,GFC,g=0,0,0.2002480543202733,146
39,0.03366983993438472,0.0,0,0.0,Green,GJR-GARCH,WTI,GFC,g=c*log(n),5,0.2002480543202733,146
31,0.12134377638661194,0.0,0,0.0,Green,GJR-GARCH,WTI,COVID,g=0,0,0.42813593371406067,102
26,0.12134377638661194,0.0,0,0.0,Green,GJR-GARCH,WTI,COVID,g=c*log(n),5,0.42813593371406067,102
1771,-0.001194208381179513,0.015245623941276116,27,0.03944703006414274,Green,Moirai-2.0,NATGAS,Full,g=0,0,0.19280210973455372,5902
1766,-0.001194208381179513,0.015288788221970554,27,0.0382277981830621,Green,Moirai-2.0,NATGAS,Full,g=c*log(n),5,0.19280210973455372,5902
44,0.0046675864227101035,0.022727272727272728,1,0.4669470016814937,Yellow,Moirai-2.0,NATGAS,GFC,g=0,0,-0.06332025838215392,146
39,0.0046675864227101035,0.02564102564102564,1,0.41204039997884156,Yellow,Moirai-2.0,NATGAS,GFC,g=c*log(n),5,-0.06332025838215392,146
32,0.0035488085040719037,0.03125,1,0.3339369535115171,Yellow,Moirai-2.0,NATGAS,COVID,g=0,0,0.06381320611653532,104
27,0.0035488085040719037,0.037037037037037035,1,0.2776030665985145,Yellow,Moirai-2.0,NATGAS,COVID,g=c*log(n),5,0.06381320611653532,104
