DGP,period,mean_qV,std_qV,t_stat,p_val
Student-t(5),Pre-crisis,0.011995512904727097,0.004591866253586677,,
Student-t(5),During crisis,0.023433993163726935,0.0122014432055863,,
Student-t(5),Post-crisis,0.011980710818987985,0.005214857053110735,0.03005148647326881,0.976041054786743
Skewed-t(3),Pre-crisis,0.022124553603742506,0.009525093986064274,,
Skewed-t(3),During crisis,0.0368229903842053,0.0199224442684341,,
Skewed-t(3),Post-crisis,0.020991263533278577,0.006379945387978784,1.3945000037201118,0.1639445443119294
