DGP,T,fc,mean_qV,std_qV,mean_corr_pi,green_pct,n_valid
Student-t(5),250,0.4,0.012023947763275776,0.017872029445992674,0.013083333333333334,62.4,500
Student-t(5),250,0.5,0.01435842581760432,0.016165638662489636,0.01064,75.4,500
Student-t(5),250,0.6,0.016658959989857357,0.01781567823512016,0.009775000000000002,80.80000000000001,500
Student-t(5),250,0.7,0.018956127580555766,0.02031147302694134,0.0068000000000000005,71.6,500
Student-t(5),250,0.8,0.021549294113594335,0.025070505948703053,0.0072,79.4,500
Student-t(5),500,0.4,0.020127595634705658,0.018828301241720746,0.006549999999999999,85.2,500
Student-t(5),500,0.5,0.011147609316740126,0.011242424508036242,0.009170000000000001,83.2,500
Student-t(5),500,0.6,0.013216709844704237,0.013549825034266104,0.0095625,75.8,500
Student-t(5),500,0.7,0.01427230069805791,0.012120854557360962,0.007383333333333333,78.4,500
Student-t(5),500,0.8,0.010271924868387985,0.00907847468397077,0.010075,79.80000000000001,500
Student-t(5),1000,0.4,0.009919705704812739,0.008849929716493076,0.009787500000000001,81.39999999999999,500
Student-t(5),1000,0.5,0.008923774433292045,0.008361693912364992,0.010765,78.0,500
Student-t(5),1000,0.6,0.010276976338794009,0.006871017218082069,0.00848125,87.2,500
Student-t(5),1000,0.7,0.009258567933288995,0.006908446818410629,0.009041666666666667,80.0,500
Student-t(5),1000,0.8,0.008838467324367149,0.0062831099842628555,0.0104875,75.4,500
Skewed-t(3),250,0.4,0.020084170468891795,0.02303141993372472,0.013816666666666666,61.0,500
Skewed-t(3),250,0.5,0.02384282832857877,0.024407008395622837,0.011680000000000001,71.0,500
Skewed-t(3),250,0.6,0.027632818941931838,0.024584943372189656,0.009824999999999999,80.60000000000001,500
Skewed-t(3),250,0.7,0.031209205955831175,0.024442862386156446,0.007166666666666666,71.0,500
Skewed-t(3),250,0.8,0.03526472356374783,0.025360049020463484,0.0069,80.60000000000001,500
Skewed-t(3),500,0.4,0.0330613259189888,0.028940451641378775,0.006875,83.8,500
Skewed-t(3),500,0.5,0.017802148566591226,0.015447409938702968,0.01057,80.60000000000001,500
Skewed-t(3),500,0.6,0.021662017505604352,0.016059620211621994,0.008424999999999998,81.2,500
Skewed-t(3),500,0.7,0.025024341525012126,0.017023748447753503,0.00675,79.0,500
Skewed-t(3),500,0.8,0.016222734970862396,0.011009468186936738,0.0099,80.0,500
Skewed-t(3),1000,0.4,0.017034928363942943,0.015026048259358101,0.010179166666666668,78.8,500
Skewed-t(3),1000,0.5,0.013931019347504707,0.009688996236372451,0.010175,81.8,500
Skewed-t(3),1000,0.6,0.01738001497709457,0.01169812308243179,0.008381250000000002,90.0,500
Skewed-t(3),1000,0.7,0.016435247591485555,0.009494207565927639,0.0086,80.4,500
Skewed-t(3),1000,0.8,0.01450380679136881,0.007382285302814712,0.0097125,76.6,500
