model,method,QS,violation_rate
Chronos-2,ACI-existing,0.00048383252930041666,0.012121125549886903
Chronos-2,DtACI-projected-expected,0.0004813876335060417,0.012689372845641153
Chronos-2,DtACI-projected-seed,0.0004788190971985917,0.01290808416107365
Chronos-2,Gate-selected-rolling,0.0004695719822407542,0.01168663703234648
Chronos-2,Loss-gate,0.0004656539623249208,0.013002642389546607
Chronos-2,POT-Shift,0.0004636257606048708,0.010087270834273422
Chronos-2,POT-Vol,0.00046679515094157916,0.009812528555516408
Chronos-2,Past-minimum,0.000467053266723275,0.01138161966145453
Chronos-2,Raw,0.00046595641602133745,0.013484331866854554
Chronos-2,Rolling250,0.0004909935899946499,0.00857692862725153
Chronos-2,Rolling500,0.00047325974296765,0.010821035946395384
Chronos-2,Selected-rolling,0.0004736054495183875,0.010754119458172682
Chronos-2,Shift-CP,0.00046380948973260004,0.010191415814753262
Chronos-2,Shift-ERM,0.0004636120383131625,0.010393704999409229
Chronos-2,State-L1,0.0004650556255403167,0.010391386100812321
Chronos-2,State-L1-clipped,0.0004650977402067083,0.010391386100812321
Chronos-2,State2-ERM,0.0004651217296081542,0.010344067035920017
Chronos-2,State4-ERM,0.00047986681388196667,0.0113069577933894
Chronos-2,Vol-CP,0.00046574143167515833,0.01042570776691052
Chronos-2,Vol-ERM,0.0004645251013891208,0.011577567516110084
EWMA,ACI-existing,0.00048264144594932084,0.011815500350971155
EWMA,DtACI-projected-expected,0.0004745945716776167,0.012391426280903445
EWMA,DtACI-projected-seed,0.00047452834102688755,0.012644970800457489
EWMA,Gate-selected-rolling,0.00046646609106082085,0.010825157247757166
EWMA,Loss-gate,0.000474833184201675,0.017772906338671096
EWMA,POT-Shift,0.0004585761465798458,0.010294469242674935
EWMA,POT-Vol,0.0004660134560496542,0.0105916935070908
EWMA,Past-minimum,0.00047032687117679164,0.012365338167026736
EWMA,Raw,0.00048349780719315416,0.020064665703251782
EWMA,Rolling250,0.0004862259153773083,0.008319009766911575
EWMA,Rolling500,0.00046426257760540834,0.010499287900148693
EWMA,Selected-rolling,0.0004664031946701875,0.010599932022531941
EWMA,Shift-CP,0.0004611910036182458,0.010704916141676025
EWMA,Shift-ERM,0.000460284205506225,0.01103850587167983
EWMA,State-L1,0.0004640068867080333,0.011356738058504507
EWMA,State-L1-clipped,0.00046361373364173334,0.011140062724824496
EWMA,State2-ERM,0.0004633106826692042,0.011037192624210644
EWMA,State4-ERM,0.00046675820801716665,0.011708894717821024
EWMA,Vol-CP,0.00046643803486426665,0.010995310978193363
EWMA,Vol-ERM,0.0004653238848577375,0.012714112745926482
GARCH-N,ACI-existing,0.0004696290995185833,0.012168618975552983
GARCH-N,DtACI-projected-expected,0.00046443622423164994,0.012648847093562274
GARCH-N,DtACI-projected-seed,0.00046170991318161245,0.012618914946054412
GARCH-N,Gate-selected-rolling,0.00045714232079560835,0.010547725295052686
GARCH-N,Loss-gate,0.0004649539467163625,0.0168393396545139
GARCH-N,POT-Shift,0.00045096665038482083,0.009516800419163538
GARCH-N,POT-Vol,0.0004556666678043584,0.009194893812902524
GARCH-N,Past-minimum,0.0004591441460730583,0.01127227753683109
GARCH-N,Raw,0.00047354372639119995,0.019780754732793768
GARCH-N,Rolling250,0.00047405476263497087,0.008478513496791304
GARCH-N,Rolling500,0.0004557238535208167,0.010543626571258421
GARCH-N,Selected-rolling,0.0004574560654492542,0.010422600169927562
GARCH-N,Shift-CP,0.000451982628391075,0.009428710123410287
GARCH-N,Shift-ERM,0.00045149044284108333,0.009710983651358649
GARCH-N,State-L1,0.0004539433374736625,0.010075216153625376
GARCH-N,State-L1-clipped,0.0004539335708649875,0.010075216153625376
GARCH-N,State2-ERM,0.00045295407129357915,0.010045999141452534
GARCH-N,State4-ERM,0.00045874749037822085,0.0104288687790716
GARCH-N,Vol-CP,0.0004553483715172084,0.009608101246986763
GARCH-N,Vol-ERM,0.0004533617707405042,0.010904836859402597
GJR-GARCH,ACI-existing,0.0004592335782505042,0.011916705691941696
GJR-GARCH,DtACI-projected-expected,0.0004597154824237625,0.012195970377493157
GJR-GARCH,DtACI-projected-seed,0.000462229174706475,0.012108138577469929
GJR-GARCH,Gate-selected-rolling,0.0004541987263039209,0.009995800438375104
GJR-GARCH,Loss-gate,0.0004518664379634875,0.015718647813224202
GJR-GARCH,POT-Shift,0.00044287195712740837,0.009671804749985595
GJR-GARCH,POT-Vol,0.00044632235152565833,0.009541333463530154
GJR-GARCH,Past-minimum,0.00044823656814789166,0.011961142296697279
GJR-GARCH,Raw,0.00045986750340612086,0.019211391405507237
GJR-GARCH,Rolling250,0.00046759279720739164,0.00820901474293473
GJR-GARCH,Rolling500,0.00044972519749948334,0.010202627788429187
GJR-GARCH,Selected-rolling,0.0004541987263039209,0.009995800438375104
GJR-GARCH,Shift-CP,0.00044379483466212085,0.009778547364084362
GJR-GARCH,Shift-ERM,0.0004435093627905959,0.010178844421456454
GJR-GARCH,State-L1,0.00044532182044440413,0.010539127451284663
