model,asset,gate_selected,past_minimum_selected,state_p,state_penalty,pot_shift_threshold,pot_vol_threshold
PatchTST-FM,ASX200,Raw,Inner-Vol,2,0.0,0.9,0.95
PatchTST-FM,AUDUSD,Raw,Inner-Vol,2,1.0,0.9,0.9
PatchTST-FM,BOVESPA,Raw,Inner-Vol,2,0.001,0.95,0.95
PatchTST-FM,BTC,Raw,Inner-Shift,4,0.001,0.95,0.95
PatchTST-FM,CBU0,Raw,Inner-Vol,4,0.0001,0.9,0.95
PatchTST-FM,DJCI,Raw,Inner-Shift,2,1.0,0.9,0.9
PatchTST-FM,ETH,Raw,Raw,4,0.001,0.95,0.95
PatchTST-FM,EURUSD,Raw,Raw,2,0.001,0.95,0.95
PatchTST-FM,FCHI,Inner-Vol,Inner-Vol,4,0.01,0.9,0.9
PatchTST-FM,FTSE100,Inner-Vol,Inner-Vol,2,1.0,0.9,0.9
PatchTST-FM,GBPUSD,Raw,Inner-Vol,4,0.0001,0.9,0.9
PatchTST-FM,GDAXI,Inner-Vol,Inner-Vol,2,0.0001,0.9,0.9
PatchTST-FM,GLD,Raw,Inner-Vol,2,1.0,0.95,0.9
PatchTST-FM,HSI,Inner-Vol,Inner-Vol,2,0.001,0.9,0.95
PatchTST-FM,IBGL,Raw,Inner-Vol,4,0.001,0.95,0.95
PatchTST-FM,ICLN,Inner-Shift,Inner-Vol,2,0.0001,0.9,0.9
PatchTST-FM,NIFTY,Inner-Shift,Inner-Vol,2,0.0001,0.9,0.9
PatchTST-FM,NIKKEI,Raw,Inner-Shift,4,0.01,0.9,0.9
PatchTST-FM,SP500,Inner-Shift,Rolling500,4,0.0,0.9,0.9
PatchTST-FM,STOXX,Raw,Inner-Vol,2,0.0001,0.95,0.95
PatchTST-FM,TLT,Raw,Inner-Vol,2,0.001,0.95,0.95
PatchTST-FM,UNG,Raw,Inner-Vol,4,0.001,0.9,0.95
PatchTST-FM,USDJPY,Raw,Raw,2,0.001,0.95,0.9
PatchTST-FM,USO,Raw,Inner-Vol,2,0.0,0.95,0.9
Chronos-2,ASX200,Raw,Inner-Vol,4,0.0001,0.95,0.95
Chronos-2,AUDUSD,Raw,Inner-Shift,4,0.0,0.9,0.9
