method,pairs,QS,normalised_QS,violation_rate,width,kupiec_rejections,kupiec_available,test_observations,worse_than_raw,QS_x10000
ACI-existing,240,0.000493801090172775,0.03362325837869508,0.01241550096395799,0.03788272134467478,6,240,362520,157,4.9380109017277505
DtACI-projected-expected,240,0.0004868284224983175,0.03316625224327404,0.012902413044606662,0.03660472934879114,0,0,362520,142,4.868284224983175
DtACI-projected-seed,240,0.00048629362916637417,0.03316415462917407,0.012908498873483167,0.03662252232615836,27,240,362520,137,4.8629362916637415
Gate-selected-rolling,240,0.00048249213679633294,0.03293042836772678,0.010617171135237866,0.03736034097756948,6,240,362520,81,4.82492136796333
Loss-gate,240,0.0004800075987611454,0.03264284551065256,0.014841157679571124,0.03306567249400788,90,240,362520,3,4.800075987611454
POT-Shift,240,0.0004717608514722029,0.03216379605283637,0.009436820006582443,0.03675731191714452,27,240,362520,53,4.717608514722029
POT-Vol,240,0.0004713318191564625,0.03238527515368418,0.009329470957575765,0.03698888787943212,31,240,362520,66,4.713318191564625
Past-minimum,240,0.00047476941523334873,0.03220955902073031,0.01093429994324029,0.03575587797016376,46,240,362520,49,4.747694152333487
Raw,240,0.0004889957894539292,0.03328955048554285,0.017345027992116277,0.03177916151534047,133,240,362520,0,4.889957894539292
Rolling250,240,0.0004990079105811538,0.03406185862401849,0.009023220645593973,0.04075085999503049,6,240,362520,172,4.990079105811538
Rolling500,240,0.00048160225014520335,0.03286780852551552,0.010633652298278498,0.03722454492663516,3,240,362520,128,4.816022501452034
Selected-rolling,240,0.0004849267012729383,0.033112155595425706,0.010294857413932603,0.03796269040376499,3,240,362520,129,4.849267012729383
Shift-CP,240,0.0004730665462134871,0.032193786015587866,0.009576260456202317,0.03685260453748285,29,240,362520,52,4.730665462134871
Shift-ERM,240,0.00047247591175278165,0.03217501958171578,0.009901501837147128,0.03651117001104702,30,240,362520,52,4.7247591175278165
State-L1,240,0.00047430444515215043,0.03217592776734384,0.010574860422875613,0.03653329853802824,38,240,362520,70,4.743044451521504
State-L1-clipped,240,0.0004733350750273229,0.03210233361458933,0.010447095420009553,0.03653455194206679,36,240,362520,65,4.733350750273229
State2-ERM,240,0.0004726780641763404,0.03209117971157547,0.010473634382048479,0.03659911364691127,40,240,362520,60,4.726780641763404
State4-ERM,240,0.0004771170020335396,0.03241862971780734,0.010905291834937176,0.036407258303078796,43,240,362520,85,4.771170020335396
Vol-CP,240,0.00047112072685815,0.032079811433460656,0.009803850934804398,0.03693514002872042,27,240,362520,66,4.7112072685815
Vol-ERM,240,0.00046985440074543084,0.0320468477439675,0.010251058625612106,0.03635477445712301,37,240,362520,57,4.698544007454308
