model,asset,lp_max_gap,lp_max_dual_violation,pot_final_fallbacks,pot_all_fallbacks,pot_final_irregular_shapes,dtaci_projection_events,test_days_any_nonfinite_expert,mean_nonfinite_output_probability,primary_path_nonfinite_forecasts,expected_pinball_loss
PatchTST-FM,ASX200,1.0942358130705543e-12,6.5822870724771106e-12,0,0,0,381,1048,0.1242434953315022,245,infinite
PatchTST-FM,AUDUSD,3.979039320256561e-13,2.354569664242412e-12,0,0,0,249,843,0.09513728943246319,122,infinite
PatchTST-FM,BOVESPA,7.105427357601002e-13,7.001915213808259e-12,0,0,0,306,1160,0.09708777081616675,185,infinite
PatchTST-FM,BTC,1.0231815394945443e-12,3.0548896745585807e-12,0,0,0,164,545,0.05374128006338814,54,infinite
PatchTST-FM,CBU0,3.339550858072471e-12,5.5493387662863825e-12,0,0,0,155,535,0.08938259153893673,81,infinite
PatchTST-FM,DJCI,1.7053025658242404e-13,1.2562520468328842e-13,0,0,0,144,536,0.22465092626306196,169,infinite
PatchTST-FM,ETH,2.7000623958883807e-13,6.248335182590381e-13,0,0,0,114,551,0.11412504288680785,98,infinite
PatchTST-FM,EURUSD,7.389644451905042e-13,1.5899746796943504e-12,0,0,0,307,1001,0.09501130256112017,149,infinite
PatchTST-FM,FCHI,9.805489753489383e-13,2.2454323725085383e-12,0,0,0,357,1222,0.10402857167440285,202,infinite
PatchTST-FM,FTSE100,9.094947017729282e-13,5.4276712394101195e-12,0,0,0,366,1176,0.09455778227601822,172,infinite
PatchTST-FM,GBPUSD,5.115907697472721e-13,3.839835076199245e-12,0,0,0,292,870,0.11121055398521455,181,infinite
PatchTST-FM,GDAXI,6.252776074688882e-13,2.1917086201472813e-12,0,0,0,399,987,0.09968840962221792,188,infinite
PatchTST-FM,GLD,8.526512829121202e-13,3.304023721284466e-12,0,0,0,226,850,0.08919317958856306,135,infinite
PatchTST-FM,HSI,8.242295734817162e-13,2.2225866980196685e-12,0,0,0,346,838,0.08738890404304663,149,infinite
PatchTST-FM,IBGL,1.4210854715202004e-12,5.594191776481239e-12,0,0,0,230,678,0.13137390086140638,158,infinite
PatchTST-FM,ICLN,6.821210263296962e-13,7.456829809252815e-12,0,0,0,206,733,0.08401260137015075,99,infinite
PatchTST-FM,NIFTY,5.400124791776761e-13,7.665513710840206e-12,0,0,0,193,756,0.09064910661125655,113,infinite
PatchTST-FM,NIKKEI,8.100187187665142e-13,2.21768783892351e-12,0,0,0,309,867,0.09131327182230255,166,infinite
PatchTST-FM,SP500,5.115907697472721e-13,5.276759262480212e-12,0,0,0,412,1192,0.10922764680973929,180,infinite
PatchTST-FM,STOXX,9.947598300641403e-13,1.818347555859745e-12,0,0,0,255,870,0.06344518970993153,103,infinite
PatchTST-FM,TLT,6.110667527536862e-13,1.9401390216611247e-12,0,0,0,292,1078,0.08055080580174279,126,infinite
PatchTST-FM,UNG,5.115907697472721e-13,2.352697897611833e-12,0,0,0,220,718,0.09784588556548696,129,infinite
PatchTST-FM,USDJPY,2.0179413695586845e-12,1.7208329253754044e-11,0,0,0,353,996,0.10732397559408999,196,infinite
PatchTST-FM,USO,1.1937117960769683e-12,2.4133160747563664e-12,0,0,0,240,1085,0.1288496114238517,184,infinite
Chronos-2,ASX200,7.247535904753022e-13,6.578651092071463e-12,0,0,0,330,978,0.08479600923413969,165,infinite
Chronos-2,AUDUSD,4.831690603168681e-13,2.284641226202311e-12,0,0,0,199,894,0.05835750786018155,91,infinite
Chronos-2,BOVESPA,6.394884621840902e-13,6.983619085307132e-12,0,0,0,311,1176,0.1092511242080986,212,infinite
Chronos-2,BTC,3.979039320256561e-13,3.0857715490036434e-12,0,0,0,204,735,0.07208220917248874,75,infinite
Chronos-2,CBU0,2.5437429940211587e-12,5.545786052607582e-12,0,0,0,160,632,0.07902307710994733,69,infinite
Chronos-2,DJCI,9.947598300641403e-14,2.296808576662812e-13,0,0,0,111,507,0.14989365511902253,108,infinite
Chronos-2,ETH,2.842170943040401e-14,2.30818836266522e-13,0,0,0,118,331,0.08165913668838659,71,infinite
Chronos-2,EURUSD,5.542233338928781e-13,1.6461519647403833e-12,0,0,0,276,1041,0.0835073890867374,130,infinite
Chronos-2,FCHI,3.410605131648481e-13,2.2614195840631405e-12,0,0,0,323,1285,0.09281999134314152,161,infinite
Chronos-2,FTSE100,5.400124791776761e-13,5.428295739861471e-12,0,0,0,331,1172,0.08821651310546678,163,infinite
Chronos-2,GBPUSD,2.5579538487363607e-13,3.8353386729495135e-12,0,0,0,242,911,0.10855898102051333,167,infinite
Chronos-2,GDAXI,4.831690603168681e-13,2.0779107601232027e-12,0,0,0,298,964,0.08007754288866917,153,infinite
Chronos-2,GLD,2.5579538487363607e-13,3.297362383136715e-12,0,0,0,244,801,0.09095319350748689,145,infinite
Chronos-2,HSI,1.7053025658242404e-13,2.3085179601256556e-12,0,0,0,302,1067,0.08281114335062306,142,infinite
Chronos-2,IBGL,8.526512829121202e-14,2.0646904325127835e-12,0,0,0,198,731,0.1043581023335403,141,infinite
Chronos-2,ICLN,4.121147867408581e-13,7.492673148590256e-12,0,0,0,173,762,0.09972598383251742,132,infinite
Chronos-2,NIFTY,6.963318810448982e-13,7.660184640322005e-12,0,0,0,187,808,0.07681854692871486,86,infinite
Chronos-2,NIKKEI,5.115907697472721e-13,2.1157693652629206e-12,0,0,0,302,961,0.08124044051295409,139,infinite
Chronos-2,SP500,4.263256414560601e-13,2.0694244928787242e-12,0,0,0,306,1291,0.08416772900908417,146,infinite
Chronos-2,STOXX,8.242295734817162e-13,2.1715094999930074e-12,0,0,0,231,852,0.06388309182204523,98,infinite
Chronos-2,TLT,2.5579538487363607e-13,1.7889266457071784e-12,0,0,0,281,1071,0.06900878387418265,124,infinite
