excluded,method,pairs,QS,normalised_QS
commodities,ACI-existing,200,0.00044057052066505647,0.03224025642662716
commodities,DtACI-projected-expected,200,0.000432743485173664,0.03170515493960045
commodities,DtACI-projected-seed,200,0.000431196189738259,0.031656166815762166
commodities,Gate-selected-rolling,200,0.0004300587444963795,0.03154991038181896
commodities,Loss-gate,200,0.00042881090265437454,0.03127457443760719
commodities,POT-Shift,200,0.000420567253722475,0.030820282302760495
commodities,POT-Vol,200,0.00042122618006011257,0.031153276804142597
commodities,Past-minimum,200,0.00042488240340490547,0.030906053420594798
commodities,Raw,200,0.00043643258095062506,0.03187724045341154
commodities,Rolling250,200,0.000445525750791829,0.03267196031048765
commodities,Rolling500,200,0.000429129325621168,0.03147604449747701
commodities,Selected-rolling,200,0.00043247404958683753,0.03173665272722471
commodities,Shift-CP,200,0.000422112439277571,0.03085618991281156
commodities,Shift-ERM,200,0.00042142420021353206,0.03083507427644569
commodities,State-L1,200,0.0004249409312517115,0.030915047826346794
commodities,State-L1-clipped,200,0.000423783534522521,0.03082511298804328
commodities,State2-ERM,200,0.0004227061432255895,0.030785310424288018
commodities,State4-ERM,200,0.000427602418250936,0.031232670232621284
commodities,Vol-CP,200,0.0004206877797430275,0.030772846426927382
commodities,Vol-ERM,200,0.00041958498832782645,0.030754478284705362
crypto,ACI-existing,220,0.0004367888194603169,0.03424865137541611
crypto,DtACI-projected-expected,220,0.00043051343877761184,0.03378096359671053
crypto,DtACI-projected-seed,220,0.00043089437828645313,0.03380126415064537
crypto,Gate-selected-rolling,220,0.00042826530156707046,0.033583348760741864
crypto,Loss-gate,220,0.00042241893981096997,0.0331963833869495
crypto,POT-Shift,220,0.00041769491675232637,0.032771887296882865
crypto,POT-Vol,220,0.00041684784989605,0.03300588951163219
crypto,Past-minimum,220,0.0004165687913910041,0.032720167502267535
crypto,Raw,220,0.0004320375646041818,0.03389701273764981
crypto,Rolling250,220,0.0004426024835006591,0.034729685910997676
crypto,Rolling500,220,0.0004271306993416777,0.03351140950106593
crypto,Selected-rolling,220,0.00043033902500232184,0.03376778736183018
crypto,Shift-CP,220,0.0004176585540518586,0.032767859614984726
crypto,Shift-ERM,220,0.0004175882193514309,0.03276174683780981
crypto,State-L1,220,0.0004164022055581959,0.03268882260396562
crypto,State-L1-clipped,220,0.00041534471087656595,0.03260853807368796
crypto,State2-ERM,220,0.00041542368980097176,0.032612976297122565
crypto,State4-ERM,220,0.00041883658007491775,0.03294061198267104
crypto,Vol-CP,220,0.00041577690190301134,0.032651122062263144
crypto,Vol-ERM,220,0.0004155908592275918,0.03264625973446741
bonds,ACI-existing,210,0.0005299198920731943,0.0332018091063461
bonds,DtACI-projected-expected,210,0.0005222263076898871,0.032710782426609915
bonds,DtACI-projected-seed,210,0.0005216362994614895,0.03270827344893714
bonds,Gate-selected-rolling,210,0.0005177326748286572,0.032531334118502744
bonds,Loss-gate,210,0.0005153433866374885,0.0322718007573825
