contrast,point,bootstrap_sd,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,block_calendar_days,draws,pairs,simultaneous_family_size,note,units
1_all_pairs,-0.15929243240442875,0.0653609902008244,-0.29972044388498725,-0.045541158263174765,-0.2902584649473098,-0.028326399861547703,5,999,240,1,sensitivity only; not in the nine-contrast family; simultaneous band equals the max-|z| band of a single contrast,loss x 1e4
1_all_pairs,-0.15929243240442875,0.0697899605973505,-0.3080253607671457,-0.036643990734195664,-0.2951565919137467,-0.023428272895110767,10,999,240,1,sensitivity only; not in the nine-contrast family; simultaneous band equals the max-|z| band of a single contrast,loss x 1e4
