contrast,point,bootstrap_sd,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,block_calendar_days,draws,pairs,simultaneous_family_size,simultaneous_critical_value,units
1_all_pairs,-0.15929243240442875,0.07246164882796588,-0.3071990910962508,-0.0242436451303246,-0.3371561663915964,0.01857130158273888,20,999,240,9,2.4545913164278264,loss x 1e4
2_classical_only,-0.13860202808263328,0.0742311463750062,-0.288759370773309,3.2493960608888396e-05,-0.3208091553832064,0.04360509921793991,20,999,120,9,2.4545913164278264,loss x 1e4
3_foundation_only,-0.17998283672622425,0.07268166040699096,-0.3304312746098532,-0.04517644726701956,-0.3583866092247805,-0.0015790642276680919,20,999,120,9,2.4545913164278264,loss x 1e4
4_excluding_lag_llama,-0.10987611759549246,0.0638901399507141,-0.24011647868390454,0.00891689358468565,-0.2667003003238739,0.04694806513288892,20,999,216,9,2.4545913164278264,loss x 1e4
5_equities_only,-0.1752196279506575,0.07587398477141775,-0.3312404887521835,-0.03515099926318177,-0.36145925211335667,0.011019996212041663,20,999,110,9,2.4545913164278264,loss x 1e4
6_fx_bonds_commodities,-0.11236058309584475,0.049132150046941575,-0.218531840905517,-0.021251146282156682,-0.23295993195849657,0.008238765766807066,20,999,110,9,2.4545913164278264,loss x 1e4
7_crypto_only,-0.3298180280973829,0.5294624964373917,-1.3762872136074058,0.5824681717537445,-1.6294320742268036,0.9697960180320375,20,999,20,9,2.4545913164278264,loss x 1e4
8_pair_normalised,-0.0010957644699552355,0.0004303418273576868,-0.0019846123812152414,-0.0002811376037694377,-0.002152077782483096,-3.945115742737455e-05,20,999,240,9,2.4545913164278264,loss / calibration SD
9_date_weighted,-0.03200308337977001,0.11177807582947784,-0.26912371016704423,0.1579512834518712,-0.3063725776778174,0.2423664109182774,20,999,240,9,2.4545913164278264,loss x 1e4
1_all_pairs,-0.15929243240442875,0.07721793196220711,-0.3248797371683041,-0.023917693777823743,-0.35373650869906076,0.03515164389020323,60,999,240,9,2.518120744153043,loss x 1e4
2_classical_only,-0.13860202808263328,0.07625045155477661,-0.30803106793906676,-0.0019465252656039587,-0.3306098718937529,0.053405815728486385,60,999,120,9,2.518120744153043,loss x 1e4
3_foundation_only,-0.17998283672622425,0.08041684680745279,-0.35333489110326605,-0.04154586402159482,-0.3824821668514485,0.02251649339899998,60,999,120,9,2.518120744153043,loss x 1e4
4_excluding_lag_llama,-0.10987611759549246,0.0665104462245412,-0.25523973005084993,0.009163333813355995,-0.2773574519363851,0.05760521674540018,60,999,216,9,2.518120744153043,loss x 1e4
5_equities_only,-0.1752196279506575,0.08788251410302655,-0.36737854209592385,-0.022690666475565464,-0.39651840976181096,0.046079153860496026,60,999,110,9,2.518120744153043,loss x 1e4
6_fx_bonds_commodities,-0.11236058309584475,0.05358378732832968,-0.221761675398376,-0.015547383728622077,-0.24729102951759666,0.02256986332590716,60,999,110,9,2.518120744153043,loss x 1e4
7_crypto_only,-0.3298180280973829,0.5175558058056645,-1.4107662910166794,0.6496873246892437,-1.6330860389534707,0.9734499827587046,60,999,20,9,2.518120744153043,loss x 1e4
8_pair_normalised,-0.0010957644699552355,0.0004793879607519584,-0.0021237589438177443,-0.0002563007714040776,-0.0023029212384219665,0.00011139229851149578,60,999,240,9,2.518120744153043,loss / calibration SD
9_date_weighted,-0.03200308337977001,0.12804024279442722,-0.32322657842461444,0.1727726462452348,-0.3544238748468094,0.29041770808726936,60,999,240,9,2.518120744153043,loss x 1e4
