model,asset,class,scale,n_test,first,last,raw_QS,static_QS,pair_mean_x1e4
PatchTST-FM,ASX200,Equity,0.0098791339619696,1868,2019-04-12,2026-08-31,0.0003674219952958,0.0003489856005723,-0.18436394723499963
PatchTST-FM,AUDUSD,FX,0.008368413515667,1430,2021-03-02,2026-08-31,0.0002166288144041,0.0002147502927524,-0.01878521651699997
PatchTST-FM,BOVESPA,Equity,0.0172601508078106,1829,2019-04-29,2026-08-31,0.0005058630053171,0.0004902056168683,-0.1565738844880001
PatchTST-FM,BTC,Crypto,0.0383551877639138,1157,2023-07-02,2026-08-31,0.0008954629576454,0.0008680553088166,-0.2740764882880006
PatchTST-FM,CBU0,Bond ETF,0.0035368502012146,1010,2022-08-26,2026-08-28,0.0001378393399767,0.00013710656044,-0.007327795367000078
PatchTST-FM,DJCI,Commodity,0.0100065113645155,765,2023-08-15,2026-08-31,0.0003993481865282,0.000376905969611,-0.2244221691719998
PatchTST-FM,ETH,Crypto,0.0446096041450179,812,2024-06-11,2026-08-31,0.0014145463377178,0.0012546480625856,-1.598982751321999
PatchTST-FM,EURUSD,FX,0.0077506781122502,1617,2020-06-12,2026-08-31,0.0001478388041825,0.0001417209140086,-0.061178901738999876
PatchTST-FM,FCHI,Equity,0.0140936993430336,1891,2019-04-11,2026-08-31,0.000459643899656,0.0004431084121946,-0.16535487461399997
PatchTST-FM,FTSE100,Equity,0.0115693646178242,1867,2019-04-05,2026-08-28,0.0003937828885905,0.0003796070542697,-0.14175834320799954
PatchTST-FM,GBPUSD,FX,0.0060802286644251,1621,2020-06-08,2026-08-31,0.0001767080950892,0.0001724627513062,-0.04245343783000003
PatchTST-FM,GDAXI,Equity,0.014478995016093,1878,2019-04-10,2026-08-31,0.0004843429954311,0.0004641027934316,-0.20240201999499954
PatchTST-FM,GLD,Commodity,0.0114369559261639,1490,2020-09-24,2026-08-31,0.0004545819585182,0.0004357149474853,-0.1886701103290001
PatchTST-FM,HSI,Equity,0.0141829837790171,1817,2019-04-11,2026-08-31,0.0005492471053814,0.0005306706364636,-0.18576468917799954
PatchTST-FM,IBGL,Bond ETF,0.0083358024631309,1260,2021-08-27,2026-08-28,0.0002451579420877,0.00024201035791,-0.03147584177699977
PatchTST-FM,ICLN,Equity,0.0166727084166706,1219,2021-10-21,2026-08-31,0.0005799630664593,0.0005469829761147,-0.3298009034460002
PatchTST-FM,NIFTY,Equity,0.0111053090853164,1242,2021-08-23,2026-08-31,0.0003104493829966,0.0003164197994763,0.059704164797000095
PatchTST-FM,NIKKEI,Equity,0.0148454072765171,1806,2019-04-04,2026-08-31,0.0005108976247144,0.0004972979741922,-0.13599650522200007
PatchTST-FM,SP500,Equity,0.0118181211292622,1858,2019-04-10,2026-08-31,0.0004520351923605,0.0004345520086743,-0.17483183686200035
PatchTST-FM,STOXX,Equity,0.0125285803262286,1532,2020-07-30,2026-08-31,0.0003345224948683,0.0003442459580094,0.09723463141100017
PatchTST-FM,TLT,Bond ETF,0.0084890156265447,1665,2020-01-15,2026-08-31,0.0003185227183047,0.000319678981719,0.011562634142999621
PatchTST-FM,UNG,Commodity,0.0264690710409275,1309,2021-06-15,2026-08-31,0.0013756983513709,0.0013362978352436,-0.3940051612729995
PatchTST-FM,USDJPY,FX,0.0076269346047361,1923,2019-04-10,2026-08-31,0.0002271688468143,0.0002093851463697,-0.177837004446
PatchTST-FM,USO,Commodity,0.0246468201080063,1386,2021-02-24,2026-08-31,0.0009411474468409,0.0009100045513344,-0.3114289550650007
Chronos-2,ASX200,Equity,0.0098791339619696,1868,2019-04-12,2026-08-31,0.0003576584318807,0.0003454581131478,-0.12200318732900016
Chronos-2,AUDUSD,FX,0.008368413515667,1430,2021-03-02,2026-08-31,0.000213159708969,0.0002139894337484,0.008297247794000047
Chronos-2,BOVESPA,Equity,0.0172601508078106,1829,2019-04-29,2026-08-31,0.0004716762754927,0.0004636671016662,-0.08009173826500025
Chronos-2,BTC,Crypto,0.0383551877639138,1157,2023-07-02,2026-08-31,0.0008179785720218,0.0008324484076209,0.1446983559910003
Chronos-2,CBU0,Bond ETF,0.0035368502012146,1010,2022-08-26,2026-08-28,0.0001368270269791,0.0001368320618326,5.034853499993452e-05
Chronos-2,DJCI,Commodity,0.0100065113645155,765,2023-08-15,2026-08-31,0.0003391875949808,0.0003281465502811,-0.11041044699699988
Chronos-2,ETH,Crypto,0.0446096041450179,812,2024-06-11,2026-08-31,0.0012498682222092,0.0012490511375262,-0.008170846829999405
Chronos-2,EURUSD,FX,0.0077506781122502,1617,2020-06-12,2026-08-31,0.0001405093741432,0.0001407861955768,0.0027682143360002265
Chronos-2,FCHI,Equity,0.0140936993430336,1891,2019-04-11,2026-08-31,0.0004760033818427,0.0004680453762433,-0.0795800559939998
Chronos-2,FTSE100,Equity,0.0115693646178242,1867,2019-04-05,2026-08-28,0.0003926345606911,0.0003940176991487,0.013831384576000232
Chronos-2,GBPUSD,FX,0.0060802286644251,1621,2020-06-08,2026-08-31,0.000180466786836,0.0001785317750894,-0.019350117466000044
Chronos-2,GDAXI,Equity,0.014478995016093,1878,2019-04-10,2026-08-31,0.0004571579379364,0.0004430480946381,-0.141098432983
Chronos-2,GLD,Commodity,0.0114369559261639,1490,2020-09-24,2026-08-31,0.0004311767677641,0.0004307985129745,-0.003782547895999971
Chronos-2,HSI,Equity,0.0141829837790171,1817,2019-04-11,2026-08-31,0.0005570084521849,0.0005578778536651,0.008694014802000183
Chronos-2,IBGL,Bond ETF,0.0083358024631309,1260,2021-08-27,2026-08-28,0.0002322520457528,0.0002296418097942,-0.026102359585999935
Chronos-2,ICLN,Equity,0.0166727084166706,1219,2021-10-21,2026-08-31,0.0005751138813728,0.0005761104551248,0.009965737519999733
Chronos-2,NIFTY,Equity,0.0111053090853164,1242,2021-08-23,2026-08-31,0.0003098598029086,0.0003117960362854,0.019362333767999982
Chronos-2,NIKKEI,Equity,0.0148454072765171,1806,2019-04-04,2026-08-31,0.0004818621853244,0.0004909513347953,0.09089149470900007
Chronos-2,SP500,Equity,0.0118181211292622,1858,2019-04-10,2026-08-31,0.000424276743671,0.0004099867811281,-0.14289962542899998
Chronos-2,STOXX,Equity,0.0125285803262286,1532,2020-07-30,2026-08-31,0.0003556088440244,0.0003574123127308,0.01803468706400009
Chronos-2,TLT,Bond ETF,0.0084890156265447,1665,2020-01-15,2026-08-31,0.0003014566602683,0.0003015970349619,0.001403746935999678
Chronos-2,UNG,Commodity,0.0264690710409275,1309,2021-06-15,2026-08-31,0.0012365941314886,0.0012356952191897,-0.008989122989000974
Chronos-2,USDJPY,FX,0.0076269346047361,1923,2019-04-10,2026-08-31,0.0002148048879139,0.0002116772505516,-0.03127637362300022
Chronos-2,USO,Commodity,0.0246468201080063,1386,2021-02-24,2026-08-31,0.0008298117078556,0.0008238612058615,-0.05950501994100052
TS-ICL,ASX200,Equity,0.0098791339619696,1868,2019-04-12,2026-08-31,0.0003676909262205,0.0003666513426573,-0.01039583563199975
TS-ICL,AUDUSD,FX,0.008368413515667,1430,2021-03-02,2026-08-31,0.0002149873970132,0.0002149238896197,-0.0006350739349998019
TS-ICL,BOVESPA,Equity,0.0172601508078106,1829,2019-04-29,2026-08-31,0.0005076407569636,0.0005073972686126,-0.00243488351000078
TS-ICL,BTC,Crypto,0.0383551877639138,1157,2023-07-02,2026-08-31,0.0008173382487474,0.0008215700482795,0.04231799532099971
TS-ICL,CBU0,Bond ETF,0.0035368502012146,1010,2022-08-26,2026-08-28,0.000133461287374,0.0001334503489614,-0.0001093841260000868
TS-ICL,DJCI,Commodity,0.0100065113645155,765,2023-08-15,2026-08-31,0.0003314833729054,0.0003346734881278,0.03190115222400009
TS-ICL,ETH,Crypto,0.0446096041450179,812,2024-06-11,2026-08-31,0.0013045712330781,0.0012910246391179,-0.13546593960199949
TS-ICL,EURUSD,FX,0.0077506781122502,1617,2020-06-12,2026-08-31,0.0001418367412895,0.0001421026571497,0.0026591586019998766
TS-ICL,FCHI,Equity,0.0140936993430336,1891,2019-04-11,2026-08-31,0.0004792698063082,0.0004770109334951,-0.022588728130999974
TS-ICL,FTSE100,Equity,0.0115693646178242,1867,2019-04-05,2026-08-28,0.0004132548724022,0.0004130543065167,-0.002005658855000307
TS-ICL,GBPUSD,FX,0.0060802286644251,1621,2020-06-08,2026-08-31,0.0001764180506756,0.0001775898179716,0.011717672960000182
TS-ICL,GDAXI,Equity,0.014478995016093,1878,2019-04-10,2026-08-31,0.0004917109515298,0.0004905253566775,-0.011855948522999146
