innovation,truth,n_cal,alpha,method,mean_expected_QS,mean_excess_QS,excess_QS_MCSE,difference_vs_shift_ERM,difference_MCSE,integrated_squared_bias,integrated_variance,integrated_MSE
normal,constant,1000,0.01,Raw,0.0003557010829564,1.7022185544859595e-05,8.493722129849982e-21,1.4364236226443144e-05,1.6777665898776145e-07,1.249999999999992e-05,4.286886685613218e-18,1.2500000000000095e-05
normal,constant,1000,0.01,Shift-CP,0.000341377199183,2.6983017714630863e-06,1.6785770298980705e-07,4.0352453046648386e-08,1.0037960996066133e-07,3.056834472480963e-08,2.5882165379898107e-06,2.6187848827145704e-06
normal,constant,1000,0.01,Shift-ERM,0.0003413368467299,2.6579493184164395e-06,1.6777665898776158e-07,0.0,0.0,1.0390878308289529e-07,2.236090679665981e-06,2.3399994627488237e-06
normal,constant,1000,0.01,State2-ERM,0.0003440047951734,5.3258977619289935e-06,2.42804962924611e-07,2.6679484435125536e-06,2.0739057240331986e-07,7.192553453250969e-08,5.081985313903717e-06,5.153910848436256e-06
normal,constant,1000,0.01,State4-ERM,0.0003509665978926,1.2287700481052644e-05,9.068165680790972e-07,9.629751162636206e-06,8.934170449990717e-07,3.8496765315658595e-07,1.071390676179741e-05,1.1098874414954036e-05
normal,constant,1000,0.01,Vol-CP,0.0003413536534492,2.6747560376974536e-06,1.468349544589188e-07,1.6806719281013943e-08,8.885580872997682e-08,4.089752224914548e-07,2.278074339486073e-06,2.6870495619774845e-06
normal,constant,1000,0.01,Vol-ERM,0.000341549954771,2.8710573595387404e-06,1.5521850491063293e-07,2.1310804112230213e-07,7.216888085389262e-08,4.340098065166737e-07,2.195152442770327e-06,2.62916224928696e-06
normal,constant,1000,0.05,Raw,0.0013717921798738,6.12084114279439e-05,6.066944378464272e-22,5.797941495943259e-05,1.9453949557002386e-07,1.2499999999999989e-05,2.066389814386069e-18,1.2500000000000094e-05
normal,constant,1000,0.05,Shift-CP,0.0013138326700596,3.2489016137503252e-06,1.913285625130667e-07,1.9905145238950825e-08,5.169556171655884e-08,8.531793100616953e-09,7.79314251064016e-07,7.87846044164644e-07
normal,constant,1000,0.05,Shift-ERM,0.0013138127649144,3.2289964685113693e-06,1.9453949557002378e-07,0.0,0.0,9.406889418554538e-10,7.705913035627782e-07,7.715319925046094e-07
