comparator,reference,block_calendar_days,B,difference,lower,upper,simultaneous_lower,simultaneous_upper,simultaneous_family_size,simultaneous_critical
Raw,Shift-CP,20,999,0.1752389302256879,0.021297570015960172,0.35244211538053755,-0.026452535881416245,0.376930396332792,6.0,2.402322759777529
Shift-ERM,Shift-CP,20,999,-0.006662648884531554,-0.01322531589315412,0.0009131232339011711,-0.015654621493457567,0.002329323724394459,6.0,2.402322759777529
Vol-CP,Shift-CP,20,999,-0.025900233829723306,-0.07883768419244161,0.021073204069741783,-0.0876690251478833,0.03586855748843669,6.0,2.402322759777529
Vol-ERM,Shift-CP,20,999,-0.04304587150366418,-0.10701282352254578,0.01195024595732134,-0.11559902766009142,0.02950728465276306,6.0,2.402322759777529
State2-ERM,Shift-CP,20,999,-0.016094260849983024,-0.06725847873961403,0.029515717382206975,-0.07625774727820059,0.04406922557823453,6.0,2.402322759777529
State4-ERM,Shift-CP,20,999,0.01588237386668603,-0.06095307164937438,0.09591379364021564,-0.07896046612619777,0.11072521385956983,6.0,2.402322759777529
Gate-static,Shift-CP,20,999,-0.00032409590831428223,-0.012065673639415124,0.013741707203092748,,,,
Rolling125,Shift-CP,20,999,0.4942097581445143,0.2811029102691697,0.6819634479990443,,,,
Rolling250,Shift-CP,20,999,0.2537257504928327,0.12035851190999333,0.36044120305604055,,,,
Rolling500,Shift-CP,20,999,0.07166369627644971,-0.016483555066386813,0.15999600232962413,,,,
Gate-rolling125,Shift-CP,20,999,0.4186457911154975,0.22824562693741182,0.5900725016196918,,,,
Gate-rolling250,Shift-CP,20,999,0.22390204330972505,0.09405456574829053,0.32626841026325326,,,,
Gate-rolling500,Shift-CP,20,999,0.06231638851576338,-0.02304646665217707,0.15329733811922408,,,,
Selected-rolling,Shift-CP,20,999,0.10528371985012554,0.017604992193670656,0.18662380194458716,,,,
Gate-selected-rolling,Shift-CP,20,999,0.09307296000965015,0.0020578586581899883,0.17605277413049492,,,,
Gate-selected-rolling,Selected-rolling,20,999,-0.01221075984047539,-0.02174331481997601,-0.0027036865483210243,,,,
Gate-rolling250,Rolling250,20,999,-0.02982370718310765,-0.04515088403835596,-0.012951499554360155,,,,
Gate-rolling500,Rolling500,20,999,-0.009347307760686338,-0.017532098727895577,-0.0007269678108397116,,,,
Selected-rolling,Rolling250,20,999,-0.14844203064270717,-0.23282035831547965,-0.05596746319054246,,,,
Vol-CP,Vol-ERM,20,999,0.017145637673940874,0.00021235604279152718,0.03248534489835793,,,,
State2-ERM,Shift-ERM,20,999,-0.00943161196545147,-0.061500891471096795,0.03344722356624388,,,,
State4-ERM,State2-ERM,20,999,0.031976634716669054,-0.009240407096212629,0.08651073241223199,,,,
Raw,Shift-CP,60,999,0.1752389302256879,0.018232407466546325,0.347523764125238,-0.03284192150741558,0.38331978195879135,6.0,2.468592335068897
Shift-ERM,Shift-CP,60,999,-0.006662648884531554,-0.013453762730053699,0.0008535246307806895,-0.015912003655412,0.0025867058863488918,6.0,2.468592335068897
Vol-CP,Shift-CP,60,999,-0.025900233829723306,-0.07822611981050928,0.01972587648135434,-0.088380727833717,0.03658026017427039,6.0,2.468592335068897
Vol-ERM,Shift-CP,60,999,-0.04304587150366418,-0.10481362167580988,0.011053573140277355,-0.11679221903184467,0.03070047602451631,6.0,2.468592335068897
State2-ERM,Shift-CP,60,999,-0.016094260849983024,-0.06929462812017774,0.0329338693252617,-0.08092428043400988,0.04873575873404383,6.0,2.468592335068897
State4-ERM,Shift-CP,60,999,0.01588237386668603,-0.04437427076051431,0.0820600083270036,-0.06386038701188543,0.0956251347452575,6.0,2.468592335068897
Gate-static,Shift-CP,60,999,-0.00032409590831428223,-0.011430229240694124,0.013196600661537772,,,,
Rolling125,Shift-CP,60,999,0.4942097581445143,0.2719833409019889,0.7090343555890641,,,,
Rolling250,Shift-CP,60,999,0.2537257504928327,0.1152622402412358,0.38770309829018346,,,,
Rolling500,Shift-CP,60,999,0.07166369627644971,-0.011832597361012493,0.15508862539347212,,,,
Gate-rolling125,Shift-CP,60,999,0.4186457911154975,0.21173042669299574,0.6130975594593998,,,,
Gate-rolling250,Shift-CP,60,999,0.22390204330972505,0.08685822732667328,0.34844937013694116,,,,
Gate-rolling500,Shift-CP,60,999,0.06231638851576338,-0.02208866576727868,0.14421448873371726,,,,
Selected-rolling,Shift-CP,60,999,0.10528371985012554,0.01430095623863127,0.18528146395579537,,,,
Gate-selected-rolling,Shift-CP,60,999,0.09307296000965015,0.0015177678611457948,0.17630328837050516,,,,
Gate-selected-rolling,Selected-rolling,60,999,-0.01221075984047539,-0.021414107215222196,-0.00218393764566576,,,,
Gate-rolling250,Rolling250,60,999,-0.02982370718310765,-0.04757661430858438,-0.01090624233558192,,,,
Gate-rolling500,Rolling500,60,999,-0.009347307760686338,-0.018298969727688456,-0.0014562114596056292,,,,
Selected-rolling,Rolling250,60,999,-0.14844203064270717,-0.25635897017116976,-0.05182090176806997,,,,
Vol-CP,Vol-ERM,60,999,0.017145637673940874,0.0001916147118138397,0.030905529581414355,,,,
State2-ERM,Shift-ERM,60,999,-0.00943161196545147,-0.06367331512813132,0.03754820646391099,,,,
State4-ERM,State2-ERM,60,999,0.031976634716669054,-0.010921803930637283,0.08061598543022092,,,,
