alpha,method,state,pairs,QS,violation_rate,mean_absolute_threshold,test_observations,violations,kupiec_rejections,green
0.01,Raw,All,168,0.0004911576024723548,0.018516431708187547,0.03118351943628946,263179,4943,109,67
0.01,Raw,High,161,0.0009021587428446253,0.02022274834012875,0.04836003589094358,24424,496,35,92
0.01,Raw,Other,168,0.00045285602684942564,0.018096431750729287,0.02951772283036064,238755,4447,96,71
0.01,Shift-CP,All,168,0.0004736337094497827,0.009483206450001853,0.03723451676533344,263179,2594,29,165
0.01,Shift-CP,High,161,0.000863469545062967,0.014194981311275008,0.05360542547565901,24424,331,22,111
0.01,Shift-CP,Other,168,0.0004391292169448714,0.009029419296706545,0.03556872015940461,238755,2263,32,159
0.01,Shift-ERM,All,168,0.0004729674445613292,0.009747507077670213,0.0369302057497895,263179,2662,32,163
0.01,Shift-ERM,High,161,0.0008637348200964491,0.014604543807418104,0.05335413486349566,24424,340,22,109
0.01,Shift-ERM,Other,168,0.0004383365386722423,0.009276983602575525,0.03526440914386068,238755,2322,31,159
0.01,State2-ERM,All,168,0.0004720242833647857,0.010408323478852347,0.036853590416907486,263179,2847,32,156
0.01,State2-ERM,High,161,0.0008281152432389304,0.01016415015100838,0.05659434419279993,24424,242,11,131
0.01,State2-ERM,Other,168,0.0004399756612918369,0.010337403463956249,0.03489895306659357,238755,2605,36,155
0.01,State4-ERM,All,168,0.00047522194683645235,0.010936237517201382,0.03660053819912753,263179,2986,38,153
0.01,State4-ERM,High,161,0.0008346217414839628,0.010106812580478686,0.059157616125994676,24424,270,13,124
0.01,State4-ERM,Other,168,0.00044069514301879164,0.010821903247317235,0.0345230852126294,238755,2716,34,151
0.01,Vol-CP,All,168,0.0004710436860668107,0.009806965499698905,0.037168052766593886,263179,2695,24,160
0.01,Vol-CP,High,161,0.0008466052315925608,0.009801137802028605,0.059547295085444166,24424,227,14,127
0.01,Vol-CP,Other,168,0.00043774134729088866,0.009757457070817004,0.035036301525904125,238755,2468,31,158
0.01,Vol-ERM,All,168,0.00046932912229941316,0.010116112225001002,0.036657462016916505,263179,2780,32,154
0.01,Vol-ERM,High,161,0.0008328262722803857,0.009141487920353396,0.05900650431515302,24424,211,9,129
0.01,Vol-ERM,Other,168,0.00043705498969782975,0.010179080842715307,0.03453865393611024,238755,2569,36,151
0.025,Raw,All,168,0.0009517976596594601,0.03760512331005759,0.02454109546599679,263179,9954,82,0
0.025,Raw,High,161,0.0016800014908416683,0.03938103183089782,0.03786487516441284,24424,1014,48,47
0.025,Raw,Other,168,0.0008801199441788982,0.036982599960589425,0.023234726611822524,238755,8940,81,1
0.025,Shift-CP,All,168,0.0009268214468914951,0.023600818308276886,0.02796836062307852,263179,6309,18,9
0.025,Shift-CP,High,161,0.0016218376691369129,0.02969479276848038,0.040980526550838656,24424,770,36,61
0.025,Shift-CP,Other,168,0.0008606916032835423,0.022682206274593098,0.026661991768904242,238755,5539,20,15
0.025,Shift-ERM,All,168,0.0009267182136983482,0.02388638189623162,0.0278562205017988,263179,6375,17,7
0.025,Shift-ERM,High,161,0.0016214308746205677,0.02978195898001976,0.04088112600866129,24424,774,36,60
0.025,Shift-ERM,Other,168,0.0008605159912220906,0.022979568547424622,0.02654985164762453,238755,5601,18,13
0.025,State2-ERM,All,168,0.0009228975856891535,0.024444041431606268,0.02782503090724367,263179,6547,26,10
0.025,State2-ERM,High,161,0.0015593574665264992,0.022557775735007172,0.043137067264117035,24424,597,16,66
0.025,State2-ERM,Other,168,0.0008623872304330749,0.024222861920963942,0.02631147353388838,238755,5950,21,10
0.025,State4-ERM,All,168,0.0009220374266223125,0.0249747321087645,0.027744062371401063,263179,6656,18,8
0.025,State4-ERM,High,161,0.0015339072718501602,0.019126655250539623,0.045476311515753876,24424,556,18,77
0.025,State4-ERM,Other,168,0.0008613464004259988,0.024977542519733303,0.02606075364732657,238755,6100,14,8
0.025,Vol-CP,All,168,0.0009232859892260114,0.024023438138744687,0.027939526846942613,263179,6433,17,11
0.025,Vol-CP,High,161,0.0015913903015503936,0.02147212716664718,0.04479556740674806,24424,568,29,82
0.025,Vol-CP,Other,168,0.0008602550515966482,0.023924048495096904,0.02632562721913762,238755,5865,17,13
0.025,Vol-ERM,All,168,0.0009226250008004476,0.024290987994909675,0.02779646411625974,263179,6504,31,9
0.025,Vol-ERM,High,161,0.0015685575928789076,0.02005361660398358,0.044555891237521086,24424,542,25,79
0.025,Vol-ERM,Other,168,0.0008613217337615339,0.0243199089894658,0.026187145599925632,238755,5962,37,15
0.05,Raw,All,168,0.0015503173137368393,0.06468463531241883,0.019667735662331057,263179,17059,60,0
0.05,Raw,High,161,0.0026550503659254795,0.06522694239295884,0.030337130830207105,24424,1740,52,28
0.05,Raw,Other,168,0.0014372514022091964,0.06378708881575104,0.018613538177643267,238755,15319,61,0
0.05,Shift-CP,All,168,0.0015259911237425565,0.04736238245581995,0.021866967399664133,263179,12545,19,0
0.05,Shift-CP,High,161,0.002594273957833378,0.054497048757460295,0.03238734595775913,24424,1462,38,30
0.05,Shift-CP,Other,168,0.001418858961498478,0.04599784116895399,0.020812769914976343,238755,11083,23,0
0.05,Shift-ERM,All,168,0.0015258645280634975,0.047581217108827026,0.02182487200498719,263179,12601,19,0
0.05,Shift-ERM,High,161,0.0025944478926345224,0.05475035782065013,0.032351287391483054,24424,1467,39,30
0.05,Shift-ERM,Other,168,0.0014186496909681784,0.046205122714042236,0.020770674520299407,238755,11134,22,0
0.05,State2-ERM,All,168,0.0015196383873059788,0.04852597916311742,0.021777117043668043,263179,12883,25,0
0.05,State2-ERM,High,161,0.0025088778627980687,0.044921515968103676,0.034334515373932346,24424,1225,21,33
0.05,State2-ERM,Other,168,0.0014199581397469304,0.0480847420025066,0.02054904353633386,238755,11658,22,0
0.05,State4-ERM,All,168,0.0015191323480501077,0.04908846174157582,0.02171714672958382,263179,13017,25,0
0.05,State4-ERM,High,161,0.0024994782399655664,0.03864730747468389,0.03645474223257761,24424,1108,23,34
0.05,State4-ERM,Other,168,0.001417919826561709,0.04923125055611424,0.020305062201933698,238755,11909,17,0
0.05,Vol-CP,All,168,0.0015189039005061471,0.04788302966812708,0.021837440630034077,263179,12700,14,0
0.05,Vol-CP,High,161,0.0025475920981887744,0.044209942600789066,0.03492336904283992,24424,1213,30,34
0.05,Vol-CP,Other,168,0.0014162062144655553,0.047532122256460606,0.020577516389794576,238755,11487,8,0
0.05,Vol-ERM,All,168,0.0015181547433123594,0.04725764788491481,0.02193404278569335,263179,12537,24,0
0.05,Vol-ERM,High,161,0.002514436772112498,0.04188145167173066,0.03511126152521478,24424,1157,24,33
0.05,Vol-ERM,Other,168,0.0014178659891811649,0.04706990547333192,0.02065923519739686,238755,11380,27,0
0.1,Raw,All,168,0.002455732469811004,0.1140956371811008,0.014711475954194015,263179,30014,51,0
0.1,Raw,High,161,0.004082887119005563,0.1105758898106974,0.022659264230671265,24424,2984,58,16
0.1,Raw,Other,168,0.0022851450744468065,0.11307642847882816,0.01392228009537321,238755,27030,46,0
0.1,Shift-CP,All,168,0.0024300730046923425,0.09754600575989295,0.015613335075232496,263179,25539,23,0
0.1,Shift-CP,High,161,0.004016089874427297,0.09850136630253252,0.023627358957783912,24424,2679,47,18
0.1,Shift-CP,Other,168,0.002264517774096603,0.09621750154957412,0.014824182816919731,238755,22860,23,0
0.1,Shift-ERM,All,168,0.0024301773755139727,0.09776839131386456,0.015592586881341217,263179,25591,23,0
0.1,Shift-ERM,High,161,0.004015742369093195,0.09859065939358024,0.023608495416961316,24424,2682,47,18
0.1,Shift-ERM,Other,168,0.0022645942013440595,0.09644327386546417,0.01480343447856678,238755,22909,22,0
0.1,State2-ERM,All,168,0.00242568883435556,0.0988016700322083,0.015632377903620414,263179,25902,36,0
0.1,State2-ERM,High,161,0.003951233667565822,0.08745319860950194,0.025011426134197975,24424,2420,31,20
0.1,State2-ERM,Other,168,0.002265950569153278,0.0983883052342928,0.014725750682055531,238755,23482,26,0
0.1,State4-ERM,All,168,0.0024264135158224,0.10042800754208271,0.015586507736870977,263179,26288,29,0
0.1,State4-ERM,High,161,0.003924158633985422,0.08111162720963079,0.026571187459852538,24424,2281,27,18
0.1,State4-ERM,Other,168,0.002266997628162858,0.10073732862728474,0.014534201001610477,238755,24007,18,0
0.1,Vol-CP,All,168,0.002421290854658484,0.09761872967100035,0.015699628351808628,263179,25621,14,0
0.1,Vol-CP,High,161,0.00397128702214284,0.08873466208171432,0.024984388281564157,24424,2458,42,21
0.1,Vol-CP,Other,168,0.0022592560975392435,0.09720914805298055,0.014787484435597145,238755,23163,6,0
0.1,Vol-ERM,All,168,0.0024209715657976315,0.09582510451468965,0.015904617512513746,263179,25190,22,0
0.1,Vol-ERM,High,161,0.003948758566462282,0.08595990013720928,0.025288657550294146,24424,2387,34,20
0.1,Vol-ERM,Other,168,0.0022611871847175538,0.09549660182555145,0.014975063026814218,238755,22803,25,0
