alpha,n_cal,method,pairs,QS,violation_rate,mean_absolute_threshold,test_observations,violations,kupiec_rejections,green
0.025,125,Vol-CP,168,0.0009918203476639465,0.02170228401346061,0.031244391981742357,263179,5512,111,82
0.025,125,Vol-ERM,168,0.0009777764907539792,0.028017340569798623,0.028533655578791072,263179,7023,102,53
0.025,250,Raw,168,0.0009517976596594601,0.03760512331005759,0.02454109546599679,263179,9954,82,0
0.025,250,Shift-CP,168,0.000973013210367228,0.02024121560483268,0.031125835794322043,263179,5291,102,75
0.025,250,Shift-ERM,168,0.0009645677359292447,0.023820271861993182,0.029545439248847612,263179,6172,89,56
0.025,250,State2-ERM,168,0.0010341872322283637,0.030796003518478072,0.02926798314313849,263179,7804,100,49
0.025,250,State4-ERM,168,0.0027798416515342358,0.05868922952611889,0.032808694959274534,263179,15433,116,26
0.025,250,Vol-CP,168,0.0009597539924097043,0.018820315792574926,0.03132554221938205,263179,4923,113,88
0.025,250,Vol-ERM,168,0.0009496353301773685,0.022431833213050378,0.029390475053332577,263179,5844,88,55
0.025,500,Raw,168,0.0009517976596594601,0.03760512331005759,0.02454109546599679,263179,9954,82,0
0.025,500,Shift-CP,168,0.0009440727944796327,0.021947621984019648,0.029240270048683164,263179,5969,67,42
0.025,500,Shift-ERM,168,0.0009421364622970221,0.023506648147538917,0.028485746028473688,263179,6383,60,30
0.025,500,State2-ERM,168,0.0009454549289669024,0.024467459638403567,0.02877622201332301,263179,6571,86,42
0.025,500,State4-ERM,168,0.0013674045167478756,0.03447207487815446,0.02920007223070717,263179,9610,102,23
0.025,500,Vol-CP,168,0.000938896486641204,0.021018809845666467,0.029653236814591026,263179,5661,78,54
0.025,500,Vol-ERM,168,0.0009375218161968868,0.02285028319408879,0.02881577150506312,263179,6146,75,43
0.025,1000,Raw,168,0.0009517976596594601,0.03760512331005759,0.02454109546599679,263179,9954,82,0
0.025,1000,Shift-CP,168,0.0009301825668080578,0.02389269682711352,0.028041801274990574,263179,6400,43,21
0.025,1000,Shift-ERM,168,0.000929932196788128,0.02469982065722408,0.027744979097300265,263179,6617,43,17
0.025,1000,State2-ERM,168,0.000931183456297716,0.024392814730123717,0.02826392208603218,263179,6535,57,27
0.025,1000,State4-ERM,168,0.0009748779194026036,0.02723270931267044,0.02839452130363343,263179,7328,74,21
0.025,1000,Vol-CP,168,0.000928101062074719,0.023359769893920298,0.02845772396552957,263179,6258,46,29
0.025,1000,Vol-ERM,168,0.000928284560648062,0.023694594615094332,0.028380324468983316,263179,6361,49,31
0.05,125,Raw,168,0.0015503173137368393,0.06468463531241883,0.019667735662331057,263179,17059,60,0
0.05,125,Shift-CP,168,0.0016193876083745375,0.04383428969797541,0.023751171430812325,263179,11253,119,13
0.05,125,Shift-ERM,168,0.0016179776917681053,0.05186375513091016,0.02223005597485655,263179,13279,112,6
0.05,125,State2-ERM,168,0.0017480514383949233,0.06329378476676606,0.022331681399322383,263179,16073,119,5
0.05,125,State4-ERM,168,0.006393750315199973,0.10667488070618421,0.029477035620263624,263179,28515,144,4
0.05,125,Vol-CP,168,0.0015880625292942637,0.041895241019282006,0.023963154799659353,263179,10735,124,7
0.05,125,Vol-ERM,168,0.0015708762128375166,0.04983550043339171,0.022206730655992206,263179,12746,109,4
0.05,250,Raw,168,0.0015503173137368393,0.06468463531241883,0.019667735662331057,263179,17059,60,0
0.05,250,Shift-CP,168,0.0015593670973267674,0.042012646087819315,0.023142351792766414,263179,10962,111,5
0.05,250,Shift-ERM,168,0.0015559657084801507,0.04532897551046321,0.022502339066182223,263179,11791,101,5
0.05,250,State2-ERM,168,0.001627021326050175,0.051421573955239976,0.022529402494554995,263179,13218,106,5
0.05,250,State4-ERM,168,0.003182891659813545,0.07813331360989441,0.02571747218189212,263179,21135,125,1
0.05,250,Vol-CP,168,0.0015538420059375546,0.040632972708052925,0.023558221427998922,263179,10514,113,2
0.05,250,Vol-ERM,168,0.0015481460715092489,0.04533996932230696,0.02270304676049972,263179,11805,99,4
0.05,500,Raw,168,0.0015503173137368393,0.06468463531241883,0.019667735662331057,263179,17059,60,0
0.05,500,Shift-CP,168,0.0015349162597250053,0.04633972672199854,0.022120650188727886,263179,12417,63,0
0.05,500,Shift-ERM,168,0.0015338936319216465,0.04791985231765714,0.02185735639021203,263179,12840,62,0
0.05,500,State2-ERM,168,0.0015399500905984669,0.04686614846435295,0.02221261005306441,263179,12458,76,0
0.05,500,State4-ERM,168,0.0019043616657729327,0.05776416803415817,0.022516387801988107,263179,15640,105,0
0.05,500,Vol-CP,168,0.0015276580911014314,0.04567907414670465,0.022333806318823018,263179,12159,68,0
0.05,500,Vol-ERM,168,0.001529526247527016,0.04609258577793552,0.022301041815666705,263179,12265,67,0
0.05,1000,Raw,168,0.0015503173137368393,0.06468463531241883,0.019667735662331057,263179,17059,60,0
0.05,1000,Shift-CP,168,0.0015275138481679739,0.04799508230517643,0.02182648400627437,263179,12812,33,0
0.05,1000,Shift-ERM,168,0.0015270546440419662,0.04902421093351879,0.021668148638083147,263179,13080,30,0
0.05,1000,State2-ERM,168,0.0015285304128538257,0.049002943338626107,0.02190412669503527,263179,13068,48,0
0.05,1000,State4-ERM,168,0.0015952450871645155,0.05104546913133621,0.022046537862599712,263179,13639,49,0
0.05,1000,Vol-CP,168,0.0015212564906848815,0.04724846856558774,0.022043064242512383,263179,12597,36,0
0.05,1000,Vol-ERM,168,0.0015212450741428516,0.04768350090021286,0.021994078895658388,263179,12728,41,0
0.1,125,Raw,168,0.002455732469811004,0.1140956371811008,0.014711475954194015,263179,30014,51,0
0.1,125,Shift-CP,168,0.0025073918436217943,0.08724518139739054,0.016881900231531077,263179,22525,123,3
0.1,125,Shift-ERM,168,0.002497944747726195,0.09462407054501693,0.016150584005625922,263179,24483,112,2
0.1,125,State2-ERM,168,0.0027167746713477963,0.10712311403252281,0.01616642752373561,263179,27537,106,0
0.1,125,State4-ERM,168,0.006246594291774291,0.15177943103647804,0.022663083108600462,263179,40509,138,0
0.1,125,Vol-CP,168,0.0024849309212802593,0.08602190229466256,0.016904637536232954,263179,22176,120,0
0.1,125,Vol-ERM,168,0.002482011980570879,0.09542594226966222,0.0160574918413699,263179,24665,116,0
0.1,250,Raw,168,0.002455732469811004,0.1140956371811008,0.014711475954194015,263179,30014,51,0
0.1,250,Shift-CP,168,0.0024703490275705723,0.09165202749603597,0.016456141715095712,263179,23872,104,0
0.1,250,Shift-ERM,168,0.00246712044175288,0.095815321934503,0.016074207139591692,263179,24931,97,0
0.1,250,State2-ERM,168,0.002531125453795976,0.09793261966636149,0.01629136109565534,263179,25474,112,0
0.1,250,State4-ERM,168,0.0036155399153882557,0.11553000507659303,0.018293684585378507,263179,30305,124,0
0.1,250,Vol-CP,168,0.0024544868745804867,0.09013215649421001,0.016572259263526908,263179,23424,107,0
0.1,250,Vol-ERM,168,0.002448714812825941,0.09258035053983758,0.016427201936874403,263179,24163,93,0
0.1,500,Raw,168,0.002455732469811004,0.1140956371811008,0.014711475954194015,263179,30014,51,0
0.1,500,Shift-CP,168,0.0024383271865942493,0.09760718279636589,0.015668756052749016,263179,25766,70,0
0.1,500,Shift-ERM,168,0.0024383966075400077,0.09960127768617477,0.015513045684033246,263179,26287,70,0
0.1,500,State2-ERM,168,0.002451001123224128,0.09719759022772714,0.015885397881838077,263179,25542,86,0
0.1,500,State4-ERM,168,0.002842513472095938,0.10970676446580929,0.01603640386167407,263179,29377,106,0
0.1,500,Vol-CP,168,0.0024297330166306082,0.09666493475559511,0.01578250376162383,263179,25424,70,0
0.1,500,Vol-ERM,168,0.0024319392468581612,0.09610960167228978,0.01588754217532099,263179,25276,68,0
0.1,1000,Raw,168,0.002455732469811004,0.1140956371811008,0.014711475954194015,263179,30014,51,0
0.1,1000,Shift-CP,168,0.0024312443865546116,0.10097316108386835,0.015418837898607459,263179,26584,37,0
0.1,1000,Shift-ERM,168,0.002431512275366402,0.10188299528035644,0.015343284657480699,263179,26821,38,0
0.1,1000,State2-ERM,168,0.00244369573529676,0.10215765156938336,0.015497823122327822,263179,26774,53,0
0.1,1000,State4-ERM,168,0.0025048513640759324,0.10342919183325702,0.01565315358379961,263179,27188,52,0
0.1,1000,Vol-CP,168,0.002422841306419594,0.0995055620285969,0.015598564916151561,263179,26226,37,0
0.1,1000,Vol-ERM,168,0.00242388923754621,0.09856239897596861,0.015772714356465378,263179,26016,36,0
