alpha,n_cal,method,pairs,QS,violation_rate,mean_absolute_threshold,test_observations,violations,kupiec_rejections,green
0.01,125,Raw,168,0.0004911576024723548,0.018516431708187547,0.03118351943628946,263179,4943,109,67
0.01,125,Shift-CP,168,0.0007670401156821346,0.014325430674189335,0.04318942105467339,263179,3456,119,145
0.01,125,Shift-ERM,168,0.0008457812356362828,0.02656332832600358,0.03493927878597722,263179,6346,104,104
0.01,125,State2-ERM,168,0.0010080537420136852,0.041201720759252,0.03643738714370705,263179,10429,119,91
0.01,125,State4-ERM,168,0.011469025707339656,0.0915997710800706,0.052257384534799944,263179,24088,150,29
0.01,125,Vol-CP,168,0.00057032658620585,0.009835564349548279,0.0446275468179217,263179,2320,111,145
0.01,125,Vol-ERM,168,0.0005397457017728506,0.017697062160090295,0.03529137783583716,263179,4336,97,106
0.01,250,Raw,168,0.0004911576024723548,0.018516431708187547,0.03118351943628946,263179,4943,109,67
0.01,250,Shift-CP,168,0.0005356670689453655,0.007720546916008685,0.04542099472721427,263179,1986,104,155
0.01,250,Shift-ERM,168,0.0005141685116931232,0.012295235536726012,0.0396954186302534,263179,3145,90,135
0.01,250,State2-ERM,168,0.0006204825430974255,0.019936615605545202,0.038882693954871775,263179,4743,98,123
0.01,250,State4-ERM,168,0.003570751793056904,0.05255648921040633,0.04376518065560847,263179,14249,124,65
0.01,250,Vol-CP,168,0.0005095479995408595,0.007188900271331937,0.04400379871687286,263179,1850,98,153
0.01,250,Vol-ERM,168,0.00048689124656822974,0.010584139287034413,0.03838642419947457,263179,2759,80,138
0.01,500,Raw,168,0.0004911576024723548,0.018516431708187547,0.03118351943628946,263179,4943,109,67
0.01,500,Shift-CP,168,0.0004899518632292887,0.009242102194223431,0.039229702153063616,263179,2559,65,151
0.01,500,Shift-ERM,168,0.0004856096468223036,0.010824775686965505,0.03747802969061339,263179,2977,73,134
0.01,500,State2-ERM,168,0.0004960090604626708,0.011052107671440306,0.03886951744475451,263179,2963,84,131
0.01,500,State4-ERM,168,0.0016174044215752168,0.028570840131614546,0.039685751092640525,263179,8394,106,82
0.01,500,Vol-CP,168,0.0004860734104998476,0.008726191977982184,0.039643231778005904,263179,2391,75,152
0.01,500,Vol-ERM,168,0.0004822241126683202,0.010068451183079806,0.03796807869954409,263179,2720,71,139
0.01,1000,Raw,168,0.0004911576024723548,0.018516431708187547,0.03118351943628946,263179,4943,109,67
0.01,1000,Shift-CP,168,0.00047687065265744285,0.009801040119413181,0.03760920409350325,263179,2688,39,154
0.01,1000,Shift-ERM,168,0.00047512177035914047,0.010592153598320537,0.036686068059022296,263179,2894,40,150
0.01,1000,State2-ERM,168,0.00047885014277718093,0.010250590609351918,0.03799269070925235,263179,2811,55,141
0.01,1000,State4-ERM,168,0.0005498659885659536,0.012776528627966879,0.0389985952099014,263179,3571,74,121
0.01,1000,Vol-CP,168,0.00047493668484768515,0.00945565710989101,0.038048728398720526,263179,2580,35,154
0.01,1000,Vol-ERM,168,0.00047449044285184996,0.009847230790020822,0.03749759510833141,263179,2701,47,148
0.025,125,Raw,168,0.0009517976596594601,0.03760512331005759,0.02454109546599679,263179,9954,82,0
0.025,125,Shift-CP,168,0.0010693996197159732,0.025541480130045393,0.030882805897430855,263179,6470,111,74
0.025,125,Shift-ERM,168,0.0010707951984278148,0.03377830087035954,0.02790399697328699,263179,8411,100,46
0.025,125,State2-ERM,168,0.0011787545215124929,0.038089880952497775,0.030107148459097705,263179,9393,122,47
0.025,125,State4-ERM,168,0.008565679360925206,0.1117604181157594,0.03843189742209262,263179,30450,144,14
