origin,method,state,pairs,QS,violation_rate,mean_absolute_threshold,test_observations,violations,kupiec_rejections,green
Origin50,Gate-rolling125,All,168,0.0004881535951404387,0.010149333349642206,0.04006035143950536,87671,885,9,151
Origin50,Gate-rolling125,High,106,0.0010932598841226207,0.013777910475295167,0.07312966411954602,3539,52,4,82
Origin50,Gate-rolling125,Other,168,0.0004579274663262649,0.00980032268598282,0.03858110178614067,84132,833,7,155
Origin50,Gate-rolling250,All,168,0.0004649881788624381,0.010389701031038728,0.03748684448643794,87671,905,14,147
Origin50,Gate-rolling250,High,106,0.0010071720399328187,0.01532395309213648,0.06254161794181265,3539,66,6,74
Origin50,Gate-rolling250,Other,168,0.00043818359006996113,0.00983729008806984,0.03647115112580742,84132,839,13,149
Origin50,Gate-rolling500,All,168,0.00045163536303216074,0.012051301780870835,0.03479300065472834,87671,1057,12,137
Origin50,Gate-rolling500,High,106,0.0010024538513012792,0.021584021917981606,0.05650436047239088,3539,85,10,66
Origin50,Gate-rolling500,Other,168,0.0004232006085671805,0.011270971448187391,0.03389894500190867,84132,972,10,140
Origin50,Gate-selected-rolling,All,168,0.0004583630940369387,0.011576714736637767,0.03591724953646283,87671,1010,11,139
Origin50,Gate-selected-rolling,High,106,0.0010203458183156567,0.01986224392880423,0.06065062952986442,3539,79,9,68
Origin50,Gate-selected-rolling,Other,168,0.0004301424258592048,0.010871111005395348,0.03493606683659216,84132,931,9,144
Origin50,Gate-static,All,168,0.000451796197839328,0.010190959342358771,0.03535141875333053,87671,880,34,142
Origin50,Gate-static,High,106,0.001014935045582683,0.019214480780364068,0.05552468958352002,3539,86,12,71
Origin50,Gate-static,Other,168,0.0004221346415051512,0.009380628387693386,0.034493664384338416,84132,794,29,143
Origin50,Raw,All,168,0.00047078724984709344,0.019536792426782093,0.029661499916592483,87671,1709,80,64
Origin50,Raw,High,106,0.0010773835342986066,0.030684514512457656,0.04939838473128963,3539,122,17,60
Origin50,Raw,Other,168,0.0004378057227592326,0.018691704119845977,0.028803745547600373,84132,1587,75,73
Origin50,Rolling125,All,168,0.0004985578613700268,0.009394955334077125,0.042101721443362945,87671,822,1,162
Origin50,Rolling125,High,106,0.0010309921976337463,0.01142305394710957,0.07829496210936762,3539,45,2,82
Origin50,Rolling125,Other,168,0.0004693554176260661,0.009101808519084056,0.04041849103390062,84132,777,1,165
Origin50,Rolling250,All,168,0.0004683596155803458,0.009720463594717763,0.03888501063351595,87671,849,6,156
Origin50,Rolling250,High,106,0.000963974899339185,0.015004157761148312,0.06505423594744204,3539,64,5,74
Origin50,Rolling250,Other,168,0.0004428854089221891,0.009151772206504974,0.037841132259947556,84132,785,7,158
Origin50,Rolling500,All,168,0.00045288645286052615,0.011708821373601321,0.035512437330692766,87671,1029,6,141
Origin50,Rolling500,High,106,0.0009823325652459358,0.021424124252487523,0.05761769491340204,3539,84,10,66
Origin50,Rolling500,Other,168,0.0004252356105508759,0.010917054662598572,0.034612969892036896,84132,945,5,146
Origin50,Selected-rolling,All,168,0.00046080652755403216,0.01104643742060323,0.036924358665308174,87671,964,4,146
Origin50,Selected-rolling,High,106,0.0010021559342372416,0.019702346263310147,0.062191010317435666,3539,78,9,68
Origin50,Selected-rolling,Other,168,0.0004334315999119776,0.010322148820300974,0.03593371365823032,84132,886,3,153
Origin50,Static,All,168,0.0004516510450700185,0.00960115821161509,0.03596894615936214,87671,831,28,149
Origin50,Static,High,106,0.0010091972428286405,0.019214480780364068,0.056311448944672715,3539,86,12,71
Origin50,Static,Other,168,0.00042212822697153106,0.008767159195286795,0.035111191790370026,84132,745,25,150
Origin60,Gate-rolling125,All,168,0.000548143164890978,0.010633609823653436,0.04373331298222058,87703,935,12,149
Origin60,Gate-rolling125,High,105,0.001078389822218537,0.008601897589721977,0.08308615347891508,6443,66,5,83
Origin60,Gate-rolling125,Other,168,0.0004876043058879506,0.010583164390033532,0.039933545503377195,81260,869,11,150
Origin60,Gate-rolling250,All,168,0.0005283960903684976,0.010840566499910748,0.040549420808121975,87703,952,17,145
Origin60,Gate-rolling250,High,105,0.0010210317962352782,0.012093150884271231,0.067072646028514,6443,88,6,72
Origin60,Gate-rolling250,Other,168,0.00046816773329501365,0.010482223319390645,0.037849100709050516,81260,864,12,150
Origin60,Gate-rolling500,All,168,0.0005098534344405542,0.012890979725870718,0.03624904928080229,87703,1131,23,132
Origin60,Gate-rolling500,High,105,0.0010240611543969322,0.0171809303061454,0.05736482438406464,6443,126,12,64
Origin60,Gate-rolling500,Other,168,0.0004457118909782708,0.012082475615708486,0.03393108637186937,81260,1005,19,137
Origin60,Gate-selected-rolling,All,168,0.0005172841956184453,0.012354542561421928,0.03823413438725972,87703,1085,22,134
Origin60,Gate-selected-rolling,High,105,0.0010088834033735524,0.015122771725594146,0.0640222581406441,6443,105,9,72
Origin60,Gate-selected-rolling,Other,168,0.0004570315256417619,0.011828419700767881,0.03525127479922089,81260,980,17,138
Origin60,Gate-static,All,168,0.0005064830422949369,0.011454947959089176,0.03555626893908457,87703,981,28,127
Origin60,Gate-static,High,105,0.0010585936218215715,0.020240620643976408,0.05419119669168889,6443,152,17,57
Origin60,Gate-static,Other,168,0.000436647980711147,0.010372237534186177,0.03333068105804329,81260,829,23,141
Origin60,Raw,All,168,0.0005323830911346482,0.021327967168628528,0.030061504641654774,87703,1840,88,53
Origin60,Raw,High,105,0.0011203197131458714,0.027462282270787123,0.05005609855113151,6443,206,27,49
Origin60,Raw,Other,168,0.00045716770444442073,0.02025242621737839,0.027835916760613505,81260,1634,79,57
Origin60,Rolling125,All,168,0.0005492763090839476,0.009543019115744187,0.04530635055898657,87703,847,7,157
Origin60,Rolling125,High,105,0.001055509868612079,0.005486907040558305,0.08577853376801144,6443,44,1,89
Origin60,Rolling125,Other,168,0.0004934276946820637,0.009660153535768516,0.041329083568352465,81260,803,7,157
Origin60,Rolling250,All,168,0.000531561507808828,0.009879422762301096,0.04199540139731001,87703,872,11,153
Origin60,Rolling250,High,105,0.0010080386199975563,0.009530659810935533,0.06957978520490365,6443,68,2,77
Origin60,Rolling250,Other,168,0.000473808237359706,0.00964132616931582,0.03914449375111494,81260,804,8,159
Origin60,Rolling500,All,168,0.0005099069812011673,0.012440766052299318,0.03691411111363773,87703,1096,18,136
Origin60,Rolling500,High,105,0.0010134546588405839,0.015414760225458327,0.058356323498633844,6443,112,10,67
Origin60,Rolling500,Other,168,0.0004472692345187024,0.011760662341201975,0.03458185042951383,81260,984,13,141
Origin60,Selected-rolling,All,168,0.0005166178406732785,0.011837344131430758,0.038909764155578536,87703,1041,18,139
Origin60,Selected-rolling,High,105,0.0009962712502752866,0.013311678015077781,0.06519317781193945,6443,90,7,75
Origin60,Selected-rolling,Other,168,0.0004581718031712875,0.011419494062279038,0.03585194039469793,81260,951,13,143
Origin60,Static,All,168,0.0005069794585657578,0.010730684736168256,0.036147874830345726,87703,927,25,134
Origin60,Static,High,105,0.0010559468735307248,0.019788561409031173,0.054332011912628,6443,147,15,57
Origin60,Static,Other,168,0.00043740846294771074,0.009698094630205217,0.03392228694930445,81260,780,21,147
Origin70,Gate-rolling125,All,168,0.0005466033755934018,0.009841151493214514,0.04569033514043151,87699,874,8,157
Origin70,Gate-rolling125,High,138,0.0009799789792778702,0.00802443550155048,0.07998715734632152,11229,92,3,108
Origin70,Gate-rolling125,Other,168,0.0004886968822679654,0.011092674148206801,0.04111860243356832,76470,782,9,145
Origin70,Gate-rolling250,All,168,0.0005463747752638583,0.009343623836707081,0.04514461857426612,87699,833,12,155
Origin70,Gate-rolling250,High,138,0.0009709735620590094,0.011055072203240653,0.06922880611863855,11229,126,7,94
Origin70,Gate-rolling250,Other,168,0.0004914255235677131,0.010036761333348604,0.04184281601423471,76470,707,15,150
Origin70,Gate-rolling500,All,168,0.0005265941206504857,0.010305816985427459,0.04159729403259878,87699,939,19,154
Origin70,Gate-rolling500,High,138,0.000990374903906934,0.01639235676460158,0.06044881820300706,11229,175,16,84
Origin70,Gate-rolling500,Other,168,0.0004675254262485565,0.009949687580365222,0.03884760183615457,76470,764,16,151
Origin70,Gate-selected-rolling,All,168,0.000528275932418428,0.010298113287142144,0.04197986493987058,87699,931,13,155
Origin70,Gate-selected-rolling,High,138,0.000983998599548358,0.014131356501404006,0.0635690338407926,11229,153,10,89
Origin70,Gate-selected-rolling,Other,168,0.0004699365688907131,0.010174214444590855,0.03890139511714071,76470,778,12,148
Origin70,Gate-static,All,168,0.0005194170054661208,0.011747146211493056,0.038964815742223914,87699,1101,34,130
Origin70,Gate-static,High,138,0.0010250124272087014,0.020014557959277885,0.055270466178165584,11229,208,24,83
Origin70,Gate-static,Other,168,0.0004556156657761559,0.011285852950827582,0.036316174966944566,76470,893,28,131
Origin70,Raw,All,168,0.0005495371466488363,0.021518469937602796,0.03324429368051942,87699,1938,90,53
Origin70,Raw,High,138,0.0010950122732583912,0.026321546009795648,0.051165717978664156,11229,295,32,72
Origin70,Raw,Other,168,0.00048088419897657203,0.021267013301414606,0.03059565290524007,76470,1643,83,52
Origin70,Rolling125,All,168,0.000550598843810919,0.009419699574294203,0.04656526872070884,87699,839,5,160
Origin70,Rolling125,High,138,0.0009830134679898602,0.006619728352201715,0.0813687090429875,11229,80,0,112
Origin70,Rolling125,Other,168,0.0004921573036864792,0.010711296024624156,0.04181523031614168,76470,759,7,147
Origin70,Rolling250,All,168,0.0005481955405484471,0.008884956512913059,0.04573488250865603,87699,793,9,158
Origin70,Rolling250,High,138,0.0009730418647711639,0.010021125497456006,0.06996482514337794,11229,119,5,97
Origin70,Rolling250,Other,168,0.0004932331078822738,0.009533136220399177,0.042411875311918076,76470,674,15,153
Origin70,Rolling500,All,168,0.0005268674925755643,0.010055659224258438,0.041856084945581636,87699,917,18,155
Origin70,Rolling500,High,138,0.0009902267476128506,0.015945875591715314,0.06073276529141364,11229,168,14,85
Origin70,Rolling500,Other,168,0.0004680376416042422,0.00968032504682774,0.03911942565752255,76470,749,17,151
Origin70,Selected-rolling,All,168,0.0005274266685378524,0.01001005135206511,0.042215825844087194,87699,905,10,157
Origin70,Selected-rolling,High,138,0.0009842535043032964,0.013416491002162401,0.06399116627462963,11229,145,8,91
Origin70,Selected-rolling,Other,168,0.0004689835880384369,0.009873692693989375,0.03912018244710619,76470,760,11,149
Origin70,Static,All,168,0.0005192633111680245,0.011354948703778314,0.0392952910095634,87699,1071,33,133
Origin70,Static,High,138,0.00102386609733615,0.019627591578522684,0.05538341424320704,11229,206,23,83
Origin70,Static,Other,168,0.0004556886828083881,0.010853506189996953,0.03664665023428405,76470,865,28,133
Origin80,Gate-rolling125,All,168,0.00046772391061696667,0.008948558456891293,0.03951790887406796,87703,768,6,162
Origin80,Gate-rolling125,High,126,0.0005849596016138143,0.0023550387505871886,0.05694395343152865,6078,28,2,119
Origin80,Gate-rolling125,Other,168,0.00046040457104480235,0.009423828293912726,0.03840672008061167,81625,740,6,159
Origin80,Gate-rolling250,All,168,0.0004530411441739595,0.008667464899093607,0.038251004095930866,87703,743,12,161
Origin80,Gate-rolling250,High,126,0.0005307699959639429,0.0028175330739059956,0.0512137567649549,6078,30,1,116
Origin80,Gate-rolling250,Other,168,0.0004469825443698208,0.009150854213060373,0.03726257218082699,81625,713,12,154
Origin80,Gate-rolling500,All,168,0.00044057603578408986,0.008441693026077075,0.036839122931412664,87703,705,16,158
Origin80,Gate-rolling500,High,126,0.0004824907964083849,0.003767360781297993,0.045488122667095385,6078,42,2,116
Origin80,Gate-rolling500,Other,168,0.00043638693133718097,0.008739211091031778,0.03615378731555861,81625,663,17,155
Origin80,Gate-selected-rolling,All,168,0.00044209529680095717,0.00845071287661549,0.037281513482713365,87703,711,14,161
Origin80,Gate-selected-rolling,High,126,0.0005049097303335722,0.0033320835101640967,0.0481185653598878,6078,37,1,116
Origin80,Gate-selected-rolling,Other,168,0.0004370978646770286,0.008799778091175006,0.036509698603919324,81625,674,13,156
Origin80,Gate-static,All,168,0.0004354449565788399,0.007527229488164595,0.037184410160496124,87703,661,37,163
Origin80,Gate-static,High,126,0.0004748697538388214,0.004229520358802955,0.04466949955147025,6078,50,2,116
Origin80,Gate-static,Other,168,0.00043126375723049937,0.007753557734789236,0.03652713074411571,81625,611,33,159
