method,asset,asset_label,n_total,n_cal,n_test,q_hat_V,q_hat_E,n_violations_cal,raw_pi_hat,raw_TL,raw_Z2,corr_pi_hat,corr_TL,corr_Z2,raw_avg_var,corr_avg_var
GARCH-N(250),CRIX,CRIX,2130,1491,638,0.025240,0.012932,31,0.018809,Y,0.126870,0.006270,G,0.683740,0.067357,0.092596
GARCH-N(250),SP500,S&P 500,356,249,106,-0.006889,0.000000,0,0.000000,G,1.000000,0.028302,Y,0.210890,0.020051,0.013162
GARCH-N(250),SPGTCLTR,SPGTCLTR,387,270,116,0.006167,0.000824,3,0.000000,G,1.000000,0.000000,G,1.000000,0.031636,0.037803
GARCH-N(250),stoxx,STOXX,377,263,113,0.002204,0.004236,4,0.000000,G,1.000000,0.000000,G,1.000000,0.016486,0.018691
GARCH-N(250),cact,CACT,374,261,112,0.005081,0.002636,3,0.000000,G,1.000000,0.000000,G,1.000000,0.019549,0.024629
GARCH-N(250),gdaxi,GDAXI,374,261,113,0.003206,0.000119,2,0.000000,G,1.000000,0.000000,G,1.000000,0.018852,0.022058
GARCH-N(250),cbu,CBU0.L,362,253,108,-0.000545,0.000000,0,0.009259,G,0.629970,0.009259,G,0.629970,0.012821,0.012276
GARCH-N(250),ftse,FTSE100,360,251,108,0.006744,0.001912,4,0.000000,G,1.000000,0.000000,G,1.000000,0.016449,0.023194
GARCH-N(250),djci,DJCI,361,252,108,-0.005167,0.000000,0,0.000000,G,1.000000,0.027778,Y,0.131229,0.019765,0.014598
GAS-N(250),CRIX,CRIX,2123,1486,636,0.026998,0.013580,30,0.018868,Y,0.113201,0.004717,G,0.748939,0.067171,0.094169
GAS-N(250),SP500,S&P 500,363,254,108,-0.007207,0.000000,0,0.000000,G,1.000000,0.027778,Y,0.217472,0.020066,0.012859
GAS-N(250),SPGTCLTR,SPGTCLTR,388,271,116,0.006472,0.002079,3,0.000000,G,1.000000,0.000000,G,1.000000,0.031709,0.038180
GAS-N(250),stoxx,STOXX,379,265,113,0.002210,0.004226,4,0.000000,G,1.000000,0.000000,G,1.000000,0.016726,0.018936
GAS-N(250),cact,CACT,377,263,113,0.006671,-0.000277,3,0.000000,G,1.000000,0.000000,G,1.000000,0.019650,0.026321
GAS-N(250),gdaxi,GDAXI,377,263,113,0.003279,0.000736,3,0.000000,G,1.000000,0.000000,G,1.000000,0.019044,0.022324
GAS-N(250),cbu,CBU0.L,362,253,108,-0.000755,0.000000,0,0.009259,G,0.640475,0.009259,G,0.640475,0.013076,0.012321
GAS-N(250),ftse,FTSE100,366,256,109,0.006698,0.001897,3,0.000000,G,1.000000,0.000000,G,1.000000,0.016551,0.023250
GAS-N(250),djci,DJCI,363,254,108,-0.005577,0.000000,0,0.000000,G,1.000000,0.037037,R,-0.093036,0.019760,0.014183
GAS-t(250),CRIX,CRIX,2119,1483,635,-0.009326,0.047000,9,0.011024,G,0.565460,0.015748,G,0.616613,0.087365,0.078040
GAS-t(250),SP500,S&P 500,365,255,109,-0.018683,0.000000,0,0.000000,G,1.000000,0.055046,R,0.210431,0.028533,0.009850
GAS-t(250),SPGTCLTR,SPGTCLTR,386,270,115,-0.006934,0.000000,0,0.000000,G,1.000000,0.017391,Y,0.541114,0.043201,0.036267
GAS-t(250),stoxx,STOXX,372,260,111,-0.001108,0.001713,1,0.000000,G,1.000000,0.000000,G,1.000000,0.022528,0.021421
GAS-t(250),cact,CACT,379,265,113,0.005917,0.002130,2,0.000000,G,1.000000,0.000000,G,1.000000,0.027646,0.033564
GAS-t(250),gdaxi,GDAXI,376,263,112,-0.008203,0.000000,0,0.000000,G,1.000000,0.000000,G,1.000000,0.026266,0.018062
GAS-t(250),cbu,CBU0.L,366,256,109,-0.005979,0.000000,0,0.000000,G,1.000000,0.009174,G,0.768902,0.017487,0.011508
GAS-t(250),ftse,FTSE100,362,253,108,0.002215,0.009724,2,0.000000,G,1.000000,0.000000,G,1.000000,0.022816,0.025031
GAS-t(250),djci,DJCI,363,254,108,-0.016870,0.000000,0,0.000000,G,1.000000,0.092593,R,-0.397647,0.028069,0.011199
GARCH-LPA,CRIX,CRIX,2294,1605,688,0.033893,0.018355,34,0.017442,Y,0.146831,0.007267,G,0.636965,0.074443,0.108336
GARCH-LPA,SP500,S&P 500,528,369,158,0.003127,0.004040,6,0.006329,G,0.777150,0.000000,G,1.000000,0.018476,0.021603
GARCH-LPA,SPGTCLTR,SPGTCLTR,552,386,165,0.014533,0.005247,5,0.018182,Y,0.142941,0.006061,G,0.705161,0.035434,0.049968
GARCH-LPA,stoxx,STOXX,544,380,163,0.006904,0.000023,8,0.000000,G,1.000000,0.000000,G,1.000000,0.017468,0.024372
GARCH-LPA,cact,CACT,543,380,162,0.008972,0.003239,8,0.000000,G,1.000000,0.000000,G,1.000000,0.020999,0.029971
GARCH-LPA,gdaxi,GDAXI,541,378,162,0.007537,0.000831,7,0.000000,G,1.000000,0.000000,G,1.000000,0.020107,0.027644
GARCH-LPA,cbu,CBU0.L,530,371,158,0.000127,0.000371,3,0.012658,G,0.470076,0.012658,G,0.484678,0.012804,0.012930
GARCH-LPA,ftse,FTSE100,530,371,158,0.009178,0.003912,11,0.000000,G,1.000000,0.000000,G,1.000000,0.017605,0.026782
GARCH-LPA,djci,DJCI,528,369,158,0.011452,0.003629,7,0.000000,G,1.000000,0.000000,G,1.000000,0.020700,0.032152
EWMA-N(120),CRIX,CRIX,2261,1582,678,0.038828,0.012696,39,0.026549,Y,-0.377086,0.008850,G,0.432939,0.064943,0.103772
EWMA-N(120),SP500,S&P 500,495,346,148,0.005417,0.005578,8,0.013514,G,0.487694,0.000000,G,1.000000,0.017224,0.022641
EWMA-N(120),SPGTCLTR,SPGTCLTR,519,363,155,0.016812,0.002474,7,0.012903,G,0.447027,0.000000,G,1.000000,0.034600,0.051412
EWMA-N(120),stoxx,STOXX,511,357,153,0.009432,0.000677,7,0.000000,G,1.000000,0.000000,G,1.000000,0.014610,0.024042
EWMA-N(120),cact,CACT,510,357,152,0.011685,0.004009,7,0.006579,G,0.717270,0.000000,G,1.000000,0.017206,0.028891
EWMA-N(120),gdaxi,GDAXI,508,355,152,0.009552,0.004760,7,0.006579,G,0.748008,0.000000,G,1.000000,0.015851,0.025403
EWMA-N(120),cbu,CBU0.L,497,347,149,0.002146,0.000483,5,0.013423,G,0.354506,0.013423,G,0.380775,0.011580,0.013726
EWMA-N(120),ftse,FTSE100,497,347,149,0.008523,0.001842,9,0.006711,G,0.727446,0.000000,G,1.000000,0.015168,0.023691
EWMA-N(120),djci,DJCI,495,346,148,0.003918,0.004690,7,0.013514,G,0.449430,0.006757,G,0.756605,0.017278,0.021196
EWMA-DCS(120),CRIX,CRIX,2261,1582,678,-0.001697,0.017895,13,0.008850,G,0.531503,0.008850,G,0.606693,0.108357,0.106660
EWMA-DCS(120),SP500,S&P 500,495,346,148,-0.000848,0.005734,2,0.000000,G,1.000000,0.000000,G,1.000000,0.023188,0.022340
EWMA-DCS(120),SPGTCLTR,SPGTCLTR,519,363,155,0.009947,-0.005279,3,0.006452,G,0.765370,0.000000,G,1.000000,0.055531,0.065478
EWMA-DCS(120),stoxx,STOXX,511,357,153,0.003633,0.002126,5,0.000000,G,1.000000,0.000000,G,1.000000,0.019431,0.023065
EWMA-DCS(120),cact,CACT,510,357,152,0.004511,-0.000811,3,0.006579,G,0.761618,0.000000,G,1.000000,0.024123,0.028635
EWMA-DCS(120),gdaxi,GDAXI,508,355,152,0.002674,0.003756,4,0.000000,G,1.000000,0.000000,G,1.000000,0.021391,0.024065
EWMA-DCS(120),cbu,CBU0.L,497,347,149,-0.000466,0.002780,2,0.006711,G,0.757399,0.006711,G,0.800378,0.017985,0.017520
EWMA-DCS(120),ftse,FTSE100,497,347,149,0.004159,-0.002305,3,0.000000,G,1.000000,0.000000,G,1.000000,0.021390,0.025549
EWMA-DCS(120),djci,DJCI,495,346,148,-0.001427,0.006727,2,0.006757,G,0.755942,0.006757,G,0.815263,0.022734,0.021307
