model,asset,defect_label,defect_family,qV,raw_width,R,pihat_raw,p_kup,p_cc,n_test
Chronos-Small,SP500,top_k_truncation,foundation,0.03116672240790403,0.0014490333509894367,21.50863014065384,0.3930921052631579,0.0,0.952372383634844,1824
Chronos-Small,STOXX,top_k_truncation,foundation,0.034435598743315726,0.0009516420707003178,36.18545228667161,0.40053404539385845,0.0,0.3496126129420176,1498
Chronos-Small,GDAXI,top_k_truncation,foundation,0.039583067493618763,0.0015966742162903628,24.790948015421822,0.38524145415084105,0.0,0.536136410498249,1843
Chronos-Small,FCHI,top_k_truncation,foundation,0.036039821760051584,0.001357471638176105,26.54922633114795,0.40625,0.0,0.20794046947748135,1856
Chronos-Small,FTSE100,top_k_truncation,foundation,0.030329217709992418,0.0014991635598362281,20.230759686625284,0.37315875613747956,0.0,0.68887083598158,1833
Chronos-Small,ICLN,top_k_truncation,foundation,0.04212352727056173,0.005469816266622492,7.701086328549059,0.3721518987341772,0.0,0.268260479769036,1185
Chronos-Small,NIKKEI,top_k_truncation,foundation,0.038378394714549076,0.0021134338869164978,18.15925965422235,0.3905191873589165,0.0,0.548862195154276,1772
Chronos-Small,HSI,top_k_truncation,foundation,0.038906545780363636,0.0035584566667512594,10.93354491116619,0.3806053811659193,0.0,0.3886391236974266,1784
Chronos-Small,BOVESPA,top_k_truncation,foundation,0.0418381945086304,0.0026116464027496032,16.019854167310765,0.38127090301003347,0.0,0.2732296278780675,1794
Chronos-Small,NIFTY,top_k_truncation,foundation,0.0242198267630135,0.0011048586809569692,21.92119877452163,0.42632450331125826,0.0,0.1355455710175838,1208
Chronos-Small,ASX200,top_k_truncation,foundation,0.026479514057737817,0.0008053818777349111,32.87820944296622,0.41843971631205673,0.0,0.00511441238291821,1833
Chronos-Small,CBU0,top_k_truncation,foundation,0.008038061683034886,0.001558759049708658,5.156705704154373,0.35348360655737704,0.0,0.2391834539864076,976
Chronos-Small,TLT,top_k_truncation,foundation,0.019462675096885023,0.0029081003077376707,6.6925735144348675,0.40220723482526055,0.0,0.8859284360565314,1631
Chronos-Small,IBGL,top_k_truncation,foundation,0.019096905566302277,0.0027516899169409393,6.940064521344162,0.38499184339314846,0.0,0.3912303671000945,1226
Chronos-Small,DJCI,top_k_truncation,foundation,0.01857924247195986,0.0016232310739165514,11.445839579162097,0.39105339105339104,0.0,0.647027482282207,693
Chronos-Small,GOLD,top_k_truncation,foundation,0.031126434335503515,0.0011691087987998287,26.624069861981162,0.38531073446327685,0.0,0.017808158366193094,1770
Chronos-Small,WTI,top_k_truncation,foundation,0.05519727078867386,0.0034149855588950884,16.16325159703833,0.41252821670428896,0.0,0.9753091284780693,1772
Chronos-Small,NATGAS,top_k_truncation,foundation,0.07054923311252861,0.010745825846364972,6.565268609521859,0.38622247317899494,0.0,0.36966482780428755,1771
Chronos-Small,BTC,top_k_truncation,foundation,0.10761549021774856,0.005771017550836152,18.647576319042102,0.33875338753387535,0.0,0.3812428420326881,1107
Chronos-Small,ETH,top_k_truncation,foundation,0.12616460281247144,0.006853106936890255,18.40984008776045,0.39501312335958005,0.0,0.9678586589057332,762
Chronos-Small,EURUSD,top_k_truncation,foundation,0.015414008109286406,0.0010917628637626927,14.118457973705928,0.38495575221238937,0.0,0.047920426733504495,1582
Chronos-Small,GBPUSD,top_k_truncation,foundation,0.015203177062875935,0.0012170372521551637,12.491957034144782,0.38485804416403785,0.0,0.8246664622395341,1585
Chronos-Small,USDJPY,top_k_truncation,foundation,0.016733083111953113,0.0008144626610864612,20.544935834912106,0.3919491525423729,0.0,0.7132049934675174,1888
Chronos-Small,AUDUSD,top_k_truncation,foundation,0.021631863257192623,0.001593892186445536,13.571723006831988,0.382078853046595,0.0,0.06200916012312496,1395
Chronos-Mini,SP500,top_k_truncation,foundation,0.03242629503592577,0.001999870437765696,16.214197891816042,0.39418859649122806,0.0,0.6366876245305474,1824
Chronos-Mini,STOXX,top_k_truncation,foundation,0.03590803355319631,0.0008958523288148987,40.08253637147784,0.40520694259012013,0.0,0.31735381527373197,1498
Chronos-Mini,GDAXI,top_k_truncation,foundation,0.0411064567169019,0.0011956236308316918,34.380766369018396,0.40748779164405863,0.0,0.5126339389311045,1843
Chronos-Mini,FCHI,top_k_truncation,foundation,0.0378795796003128,0.00126708243118019,29.895118634886984,0.41163793103448276,0.0,0.028314028994417706,1856
Chronos-Mini,FTSE100,top_k_truncation,foundation,0.030749208822588116,0.00107830359971467,28.516281342958205,0.40480087288597927,0.0,0.6193520121569615,1833
Chronos-Mini,ICLN,top_k_truncation,foundation,0.042703255140236755,0.003759522766782451,11.3586903948407,0.42362869198312236,0.0,0.02814050978235294,1185
Chronos-Mini,NIKKEI,top_k_truncation,foundation,0.039270611287087094,0.0012753350010908098,30.792388865277324,0.4204288939051919,0.0,0.20544150197190103,1772
Chronos-Mini,HSI,top_k_truncation,foundation,0.03768070967099364,0.002155444608501553,17.48164138497113,0.4198430493273543,0.0,0.45757615511584926,1784
Chronos-Mini,BOVESPA,top_k_truncation,foundation,0.043729029913938094,0.0025734500299783285,16.992375761928567,0.4096989966555184,0.0,0.17471104952919858,1794
Chronos-Mini,NIFTY,top_k_truncation,foundation,0.02596414856642934,0.0009849510265665152,26.360852332870728,0.42218543046357615,0.0,0.14030738971672285,1208
Chronos-Mini,ASX200,top_k_truncation,foundation,0.025212723744431523,0.0010629600505594216,23.71935213478851,0.41680305510092747,0.0,0.04737582970388288,1833
Chronos-Mini,CBU0,top_k_truncation,foundation,0.008317245147305714,0.0009885107046221705,8.41391510321048,0.41905737704918034,0.0,0.7654097099516954,976
Chronos-Mini,TLT,top_k_truncation,foundation,0.020034603633416286,0.001833029357331173,10.929777831046838,0.44819129368485594,0.0,0.6608481796912601,1631
Chronos-Mini,IBGL,top_k_truncation,foundation,0.019918195424019333,0.0019734980911718337,10.092837440847083,0.4371941272430669,0.0,0.17567029537552747,1226
Chronos-Mini,DJCI,top_k_truncation,foundation,0.019775894804161705,0.0010677703211421764,18.52073841405121,0.4054834054834055,0.0,0.7652958186979476,693
Chronos-Mini,GOLD,top_k_truncation,foundation,0.03167960736979117,0.0005731960571729343,55.26836232272507,0.415819209039548,0.0,0.0014878777644556918,1770
Chronos-Mini,WTI,top_k_truncation,foundation,0.05598975664497916,0.0033859546448032686,16.535885006880324,0.42663656884875845,0.0,0.82375471353604,1772
Chronos-Mini,NATGAS,top_k_truncation,foundation,0.07638513391380006,0.007095791665942314,10.764850140742709,0.42857142857142855,0.0,0.07971649166923722,1771
Chronos-Mini,BTC,top_k_truncation,foundation,0.1093308046365461,0.003355622301235473,32.58137979244347,0.4010840108401084,0.0,0.11868352376088509,1107
Chronos-Mini,ETH,top_k_truncation,foundation,0.1312263188759762,0.004058360478477388,32.334810959229905,0.42913385826771655,0.0,0.1998146243989617,762
Chronos-Mini,EURUSD,top_k_truncation,foundation,0.01622539326522643,0.0007520750443179454,21.574167881000744,0.4393173198482933,0.0,0.644537193659513,1582
Chronos-Mini,GBPUSD,top_k_truncation,foundation,0.015332036362671955,0.0008013003472164395,19.133944489020188,0.42902208201892744,0.0,0.6876909178520513,1585
Chronos-Mini,USDJPY,top_k_truncation,foundation,0.016922191158423323,0.0005455517606083537,31.018488767322665,0.4152542372881356,0.0,0.4302455377414063,1888
Chronos-Mini,AUDUSD,top_k_truncation,foundation,0.022505440541051823,0.001024454111766592,21.968227061183764,0.421505376344086,0.0,0.0016413403561580386,1395
TimesFM-2.5,SP500,sign_flip,foundation,0.10995501789983163,0.025674848946776383,4.282596486848546,0.9939692982456141,0.0,,1824
TimesFM-2.5,STOXX,sign_flip,foundation,0.09574986611278366,0.025084761047628627,3.817053147565674,0.9979973297730307,0.0,,1498
TimesFM-2.5,GDAXI,sign_flip,foundation,0.1102889788057189,0.0295864448189615,3.727686090051495,0.9913185024416712,0.0,,1843
TimesFM-2.5,FCHI,sign_flip,foundation,0.10204240881087168,0.028412620673974195,3.59144656108199,0.9935344827586207,0.0,,1856
TimesFM-2.5,FTSE100,sign_flip,foundation,0.08992953475905024,0.023335747760658807,3.853724152377939,0.9934533551554828,0.0,,1833
