model,asset,n,N_ref,days,n_cal,qV,sd_over_VaR_median,sd_over_qV_median,bias_over_VaR_median,bias_over_absqV_median,qV_over_VaR,pool_violations,expected_redrawn_violations
Moirai-1.1,BTC,1000,10000,300,2697,0.022615959169785052,0.09827713095240541,0.2536711668778703,0.010324732312423927,0.023779526520435985,0.4000784709515905,7,7.065
Moirai-1.1,BTC,5000,10000,300,2697,0.022615959169785052,0.04482064346212501,0.11768713039433285,0.0006441595950523156,0.0019047204922721791,0.4000784709515905,7,6.725
Moirai-1.1,SP500,1000,10000,300,4334,0.0024530336436822658,0.10764907294952727,0.9604769826032133,0.009938140406858857,0.0885501881171149,0.10908641511704054,3,3.18
Moirai-1.1,SP500,5000,10000,300,4334,0.0024530336436822658,0.04947237330578262,0.4446702235337415,0.000500676864042595,0.00463108825752021,0.10908641511704054,3,3.005
Lag-Llama,BTC,1000,5000,150,2697,0.03686595187484931,0.10802366814546374,0.1389351960769277,0.009213116072236367,0.012601480999324042,0.7651576402345882,1,1.36
Lag-Llama,SP500,1000,5000,150,4334,0.008755692629862243,0.11498184895964828,0.2513519894845796,0.005443933569776819,0.012038502547272687,0.4666008894540629,5,5.775
